Date : 2025-09-20 18:57:44
Directory : t:\apps\contract-ai-core
Total : 529 files,  44888 codes, 834 comments, 13479 blanks, all 59201 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Markdown         |         44 |     17,430 |          0 |     11,664 |     29,094 |
| JSON             |        409 |     17,036 |          0 |        409 |     17,445 |
| Python           |         43 |      9,057 |        825 |      1,358 |     11,240 |
| CSV              |         29 |      1,240 |          0 |         29 |      1,269 |
| toml             |          1 |         68 |          0 |         10 |         78 |
| YAML             |          2 |         44 |          9 |          7 |         60 |
| pip requirements |          1 |         13 |          0 |          2 |         15 |
+------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                   |        529 |     44,888 |        834 |     13,479 |     59,201 |
| . (Files)                                                                                           |          4 |        181 |          9 |         53 |        243 |
| .github                                                                                             |          1 |         31 |          0 |          3 |         34 |
| .github\workflows                                                                                   |          1 |         31 |          0 |          3 |         34 |
| dataset                                                                                             |        477 |     35,481 |          0 |     12,002 |     47,483 |
| dataset\contract_types                                                                              |         10 |        243 |          0 |         10 |        253 |
| dataset\documents                                                                                   |         39 |     17,205 |          0 |     11,564 |     28,769 |
| dataset\documents\amendments                                                                        |         15 |      3,552 |          0 |      2,719 |      6,271 |
| dataset\documents\amendments\amendment                                                              |         12 |      2,239 |          0 |      1,549 |      3,788 |
| dataset\documents\amendments\initial                                                                |          3 |      1,313 |          0 |      1,170 |      2,483 |
| dataset\documents\contracts                                                                         |         21 |     10,509 |          0 |      6,957 |     17,466 |
| dataset\documents\contracts\ISDA                                                                    |         21 |     10,509 |          0 |      6,957 |     17,466 |
| dataset\documents\specific                                                                          |          3 |      3,144 |          0 |      1,888 |      5,032 |
| dataset\gold                                                                                        |        428 |     18,033 |          0 |        428 |     18,461 |
| dataset\gold\clauses                                                                                |          2 |        344 |          0 |          2 |        346 |
| dataset\gold\clauses\ISDA                                                                           |          2 |        344 |          0 |          2 |        346 |
| dataset\gold\datapoints                                                                             |         20 |        700 |          0 |         20 |        720 |
| dataset\gold\datapoints\ISDA                                                                        |         20 |        700 |          0 |         20 |        720 |
| dataset\gold\filter                                                                                 |        175 |      2,436 |          0 |        175 |      2,611 |
| dataset\gold\filter\GMRA                                                                            |          7 |        140 |          0 |          7 |        147 |
| dataset\gold\filter\ISDA                                                                            |        152 |      1,976 |          0 |        152 |      2,128 |
| dataset\gold\filter\VSA                                                                             |         16 |        320 |          0 |         16 |        336 |
| dataset\gold\organizer                                                                              |        231 |     14,553 |          0 |        231 |     14,784 |
| documentation                                                                                       |          4 |        138 |          0 |         63 |        201 |
| src                                                                                                 |         12 |      3,243 |        416 |        495 |      4,154 |
| src\contract_ai_core                                                                                |         12 |      3,243 |        416 |        495 |      4,154 |
| tests                                                                                               |          8 |        348 |         42 |         63 |        453 |
| tools                                                                                               |         23 |      5,466 |        367 |        800 |      6,633 |
| tools (Files)                                                                                       |         15 |      2,596 |        233 |        474 |      3,303 |
| tools\pages                                                                                         |          8 |      2,870 |        134 |        326 |      3,330 |
+-----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                            | language         | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| t:\apps\contract-ai-core\.github\workflows\ci.yml                                                   | YAML             |         31 |          0 |          3 |         34 |
| t:\apps\contract-ai-core\.pre-commit-config.yaml                                                    | YAML             |         13 |          9 |          4 |         26 |
| t:\apps\contract-ai-core\README.md                                                                  | Markdown         |         87 |          0 |         37 |        124 |
| t:\apps\contract-ai-core\dataset\contract_types\GMRA.json                                           | JSON             |         17 |          0 |          1 |         18 |
| t:\apps\contract-ai-core\dataset\contract_types\ISDA.json                                           | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\contract_types\ISDA_clauses.csv                                    | CSV              |         81 |          0 |          1 |         82 |
| t:\apps\contract-ai-core\dataset\contract_types\ISDA_datapoints.csv                                 | CSV              |         31 |          0 |          1 |         32 |
| t:\apps\contract-ai-core\dataset\contract_types\ISDA_enums.csv                                      | CSV              |         18 |          0 |          1 |         19 |
| t:\apps\contract-ai-core\dataset\contract_types\ISDA_guidelines.csv                                 | CSV              |         15 |          0 |          1 |         16 |
| t:\apps\contract-ai-core\dataset\contract_types\ISDA_structure_elements.csv                         | CSV              |         14 |          0 |          1 |         15 |
| t:\apps\contract-ai-core\dataset\contract_types\ISDA_structures.csv                                 | CSV              |          4 |          0 |          1 |          5 |
| t:\apps\contract-ai-core\dataset\contract_types\VSA.json                                            | JSON             |         17 |          0 |          1 |         18 |
| t:\apps\contract-ai-core\dataset\contract_types\lookup_values.csv                                   | CSV              |         33 |          0 |          1 |         34 |
| t:\apps\contract-ai-core\dataset\documents\amendments\amendment\4b5d1fdfb11450aaab7654927eb24d06.md | Markdown         |        165 |          0 |         89 |        254 |
| t:\apps\contract-ai-core\dataset\documents\amendments\amendment\a3d3c63ab55d566e91e0e3ce6830d68e.md | Markdown         |        131 |          0 |        129 |        260 |
| t:\apps\contract-ai-core\dataset\documents\amendments\amendment\c84c5268bdee5180ba49892afa16b432.md | Markdown         |        442 |          0 |        345 |        787 |
| t:\apps\contract-ai-core\dataset\documents\amendments\amendment\c8c864c684b2597ab50fb6efed20a0cc.md | Markdown         |         90 |          0 |         54 |        144 |
| t:\apps\contract-ai-core\dataset\documents\amendments\amendment\ce55ff67b6fc5cbb8579d511562bd5c2.md | Markdown         |        107 |          0 |         92 |        199 |
| t:\apps\contract-ai-core\dataset\documents\amendments\amendment\cf03a7317a7450fc8dd7d38465363fe5.md | Markdown         |        406 |          0 |        349 |        755 |
| t:\apps\contract-ai-core\dataset\documents\amendments\amendment\d1693a73bba15778a8b71808782fe1f4.md | Markdown         |        117 |          0 |         83 |        200 |
| t:\apps\contract-ai-core\dataset\documents\amendments\amendment\d9d15bbf3127582f9d9fae56614149fe.md | Markdown         |        110 |          0 |         59 |        169 |
| t:\apps\contract-ai-core\dataset\documents\amendments\amendment\db89a40b5c635952b05fceb3053c178c.md | Markdown         |        166 |          0 |         89 |        255 |
| t:\apps\contract-ai-core\dataset\documents\amendments\amendment\e9208e2b562852d68594841c03fc1e2d.md | Markdown         |        243 |          0 |        157 |        400 |
| t:\apps\contract-ai-core\dataset\documents\amendments\amendment\f8d899c06aab5d53add0c799ec85f966.md | Markdown         |         81 |          0 |         33 |        114 |
| t:\apps\contract-ai-core\dataset\documents\amendments\amendment\fa99d30bb3625bfa84995e303ef07610.md | Markdown         |        181 |          0 |         70 |        251 |
| t:\apps\contract-ai-core\dataset\documents\amendments\initial\4b5d1fdfb11450aaab7654927eb24d06.md   | Markdown         |        641 |          0 |        576 |      1,217 |
| t:\apps\contract-ai-core\dataset\documents\amendments\initial\a3d3c63ab55d566e91e0e3ce6830d68e.md   | Markdown         |        336 |          0 |        297 |        633 |
| t:\apps\contract-ai-core\dataset\documents\amendments\initial\ce55ff67b6fc5cbb8579d511562bd5c2.md   | Markdown         |        336 |          0 |        297 |        633 |
| t:\apps\contract-ai-core\dataset\documents\contracts\ISDA\025cb4065e6e551db1bfe44ef44eb83b.md       | Markdown         |        551 |          0 |        215 |        766 |
| t:\apps\contract-ai-core\dataset\documents\contracts\ISDA\0b4058ba0dcd589c94e0ef1969f2fe13.md       | Markdown         |        448 |          0 |        396 |        844 |
| t:\apps\contract-ai-core\dataset\documents\contracts\ISDA\0b4058ba0dcd589c94e0ef1969f2fe13_Copy.md  | Markdown         |        448 |          0 |        396 |        844 |
| t:\apps\contract-ai-core\dataset\documents\contracts\ISDA\1ac97046876756bb8bcc28581198bdeb.md       | Markdown         |        692 |          0 |        303 |        995 |
| t:\apps\contract-ai-core\dataset\documents\contracts\ISDA\1d7c4032c83b5569a8e06ae1044acead.md       | Markdown         |        604 |          0 |        330 |        934 |
| t:\apps\contract-ai-core\dataset\documents\contracts\ISDA\3aa24fc8e5e95724b53d37347cd28c50.md       | Markdown         |        582 |          0 |        340 |        922 |
| t:\apps\contract-ai-core\dataset\documents\contracts\ISDA\3ab9f5646fdc56eaa53dfdc67849c114.md       | Markdown         |        335 |          0 |        297 |        632 |
| t:\apps\contract-ai-core\dataset\documents\contracts\ISDA\44b1a05087fa5df2aefd185b306464c7.md       | Markdown         |        618 |          0 |        255 |        873 |
| t:\apps\contract-ai-core\dataset\documents\contracts\ISDA\4986adbaccdf53b8b2b59669fa5f9210.md       | Markdown         |        365 |          0 |        315 |        680 |
| t:\apps\contract-ai-core\dataset\documents\contracts\ISDA\4b5d1fdfb11450aaab7654927eb24d06.md       | Markdown         |        638 |          0 |        565 |      1,203 |
| t:\apps\contract-ai-core\dataset\documents\contracts\ISDA\4f373aa105575bc19f67ea9efea926b6.md       | Markdown         |        893 |          0 |        609 |      1,502 |
| t:\apps\contract-ai-core\dataset\documents\contracts\ISDA\6a83b9c4a62052f8989cd748dca0ab97.md       | Markdown         |        618 |          0 |        241 |        859 |
| t:\apps\contract-ai-core\dataset\documents\contracts\ISDA\7fc1ca3135555cd98794717a904fe5d2.md       | Markdown         |        351 |          0 |        324 |        675 |
| t:\apps\contract-ai-core\dataset\documents\contracts\ISDA\81bd69c83e4c5232a081ec0540950c94.md       | Markdown         |        320 |          0 |        275 |        595 |
| t:\apps\contract-ai-core\dataset\documents\contracts\ISDA\83061e641bb157ceac4a5346c1659b91.md       | Markdown         |        449 |          0 |        382 |        831 |
| t:\apps\contract-ai-core\dataset\documents\contracts\ISDA\856ab885a80d50b8908539c16aa2ad16.md       | Markdown         |        290 |          0 |        378 |        668 |
| t:\apps\contract-ai-core\dataset\documents\contracts\ISDA\9f041ef804325654bbac2eae8db1c7cc.md       | Markdown         |        425 |          0 |        127 |        552 |
| t:\apps\contract-ai-core\dataset\documents\contracts\ISDA\a68440b7c9ea57c39f2756e432f5cbbf.md       | Markdown         |        566 |          0 |        454 |      1,020 |
| t:\apps\contract-ai-core\dataset\documents\contracts\ISDA\b3a9dfdfb64a5be28e0fada558c51770.md       | Markdown         |        508 |          0 |        227 |        735 |
| t:\apps\contract-ai-core\dataset\documents\contracts\ISDA\bff87a6d4f755c0998fd9d57a056dc6f.md       | Markdown         |        208 |          0 |        130 |        338 |
| t:\apps\contract-ai-core\dataset\documents\contracts\ISDA\c5ef841693d651229f98f0e474aded4b.md       | Markdown         |        600 |          0 |        398 |        998 |
| t:\apps\contract-ai-core\dataset\documents\specific\24eca2091b785c938bddc1cbed26748d.md             | Markdown         |        720 |          0 |        276 |        996 |
| t:\apps\contract-ai-core\dataset\documents\specific\61144fd96fa95672bf5e800a986c8722.md             | Markdown         |        736 |          0 |        279 |      1,015 |
| t:\apps\contract-ai-core\dataset\documents\specific\7139cc85a8965b8bb389aaaf31a6ed6b.md             | Markdown         |      1,688 |          0 |      1,333 |      3,021 |
| t:\apps\contract-ai-core\dataset\gold\clauses\ISDA\025cb4065e6e551db1bfe44ef44eb83b.csv             | CSV              |        202 |          0 |          1 |        203 |
| t:\apps\contract-ai-core\dataset\gold\clauses\ISDA\0b4058ba0dcd589c94e0ef1969f2fe13.csv             | CSV              |        142 |          0 |          1 |        143 |
| t:\apps\contract-ai-core\dataset\gold\datapoints\ISDA\025cb4065e6e551db1bfe44ef44eb83b.csv          | CSV              |         35 |          0 |          1 |         36 |
| t:\apps\contract-ai-core\dataset\gold\datapoints\ISDA\0b4058ba0dcd589c94e0ef1969f2fe13.csv          | CSV              |         35 |          0 |          1 |         36 |
| t:\apps\contract-ai-core\dataset\gold\datapoints\ISDA\1ac97046876756bb8bcc28581198bdeb.csv          | CSV              |         35 |          0 |          1 |         36 |
| t:\apps\contract-ai-core\dataset\gold\datapoints\ISDA\1d7c4032c83b5569a8e06ae1044acead.csv          | CSV              |         35 |          0 |          1 |         36 |
| t:\apps\contract-ai-core\dataset\gold\datapoints\ISDA\3aa24fc8e5e95724b53d37347cd28c50.csv          | CSV              |         35 |          0 |          1 |         36 |
| t:\apps\contract-ai-core\dataset\gold\datapoints\ISDA\3ab9f5646fdc56eaa53dfdc67849c114.csv          | CSV              |         35 |          0 |          1 |         36 |
| t:\apps\contract-ai-core\dataset\gold\datapoints\ISDA\44b1a05087fa5df2aefd185b306464c7.csv          | CSV              |         35 |          0 |          1 |         36 |
| t:\apps\contract-ai-core\dataset\gold\datapoints\ISDA\4986adbaccdf53b8b2b59669fa5f9210.csv          | CSV              |         35 |          0 |          1 |         36 |
| t:\apps\contract-ai-core\dataset\gold\datapoints\ISDA\4b5d1fdfb11450aaab7654927eb24d06.csv          | CSV              |         35 |          0 |          1 |         36 |
| t:\apps\contract-ai-core\dataset\gold\datapoints\ISDA\4f373aa105575bc19f67ea9efea926b6.csv          | CSV              |         35 |          0 |          1 |         36 |
| t:\apps\contract-ai-core\dataset\gold\datapoints\ISDA\6a83b9c4a62052f8989cd748dca0ab97.csv          | CSV              |         35 |          0 |          1 |         36 |
| t:\apps\contract-ai-core\dataset\gold\datapoints\ISDA\7fc1ca3135555cd98794717a904fe5d2.csv          | CSV              |         35 |          0 |          1 |         36 |
| t:\apps\contract-ai-core\dataset\gold\datapoints\ISDA\81bd69c83e4c5232a081ec0540950c94.csv          | CSV              |         35 |          0 |          1 |         36 |
| t:\apps\contract-ai-core\dataset\gold\datapoints\ISDA\83061e641bb157ceac4a5346c1659b91.csv          | CSV              |         35 |          0 |          1 |         36 |
| t:\apps\contract-ai-core\dataset\gold\datapoints\ISDA\856ab885a80d50b8908539c16aa2ad16.csv          | CSV              |         35 |          0 |          1 |         36 |
| t:\apps\contract-ai-core\dataset\gold\datapoints\ISDA\9f041ef804325654bbac2eae8db1c7cc.csv          | CSV              |         35 |          0 |          1 |         36 |
| t:\apps\contract-ai-core\dataset\gold\datapoints\ISDA\a68440b7c9ea57c39f2756e432f5cbbf.csv          | CSV              |         35 |          0 |          1 |         36 |
| t:\apps\contract-ai-core\dataset\gold\datapoints\ISDA\b3a9dfdfb64a5be28e0fada558c51770.csv          | CSV              |         35 |          0 |          1 |         36 |
| t:\apps\contract-ai-core\dataset\gold\datapoints\ISDA\bff87a6d4f755c0998fd9d57a056dc6f.csv          | CSV              |         35 |          0 |          1 |         36 |
| t:\apps\contract-ai-core\dataset\gold\datapoints\ISDA\c5ef841693d651229f98f0e474aded4b.csv          | CSV              |         35 |          0 |          1 |         36 |
| t:\apps\contract-ai-core\dataset\gold\filter\GMRA\013f592ccc84517182f4c5a3b7641149.json             | JSON             |         20 |          0 |          1 |         21 |
| t:\apps\contract-ai-core\dataset\gold\filter\GMRA\240b8bed8e9a5512b289dbc1a19f4297.json             | JSON             |         20 |          0 |          1 |         21 |
| t:\apps\contract-ai-core\dataset\gold\filter\GMRA\24ee6bc974f45415b122da9c85a34c24.json             | JSON             |         20 |          0 |          1 |         21 |
| t:\apps\contract-ai-core\dataset\gold\filter\GMRA\323d3c0abdc656b2a4e43b6b23966897.json             | JSON             |         20 |          0 |          1 |         21 |
| t:\apps\contract-ai-core\dataset\gold\filter\GMRA\4ca1095bd9d454a88d3180594f07154d.json             | JSON             |         20 |          0 |          1 |         21 |
| t:\apps\contract-ai-core\dataset\gold\filter\GMRA\5fc7cb9313d15511834a4ffd25af3b67.json             | JSON             |         20 |          0 |          1 |         21 |
| t:\apps\contract-ai-core\dataset\gold\filter\GMRA\a957a2573ca25c5a913f0e96e32d0002.json             | JSON             |         20 |          0 |          1 |         21 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\00fb0862161354c996ba812525e0c209.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\025cb4065e6e551db1bfe44ef44eb83b.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\057d9f25d7635925b66afd94be03fa10.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\072e2c5f957e5bce8aea0b2f6e82b01d.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\07723bbef4c15ad594583954bfe733e5.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\07fa350f98f25961a33573aabd9da6d6.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\0b4058ba0dcd589c94e0ef1969f2fe13.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\0b6bc60d83645d25af0d17040887e126.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\0c9e47dc758752f6995bf2dc196297e1.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\11dab7c47eb55453b74c1653f1b62ce3.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\150449ff60495a6ba999893a09fd46fe.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\16800388b951529f9e35659108c2f7f1.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\1904d5968c2c5061b094ff389e501651.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\1ac97046876756bb8bcc28581198bdeb.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\1acc4999ab0950bd92e59bfa201013c7.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\1aecc12bda995eda92e3be9bb37281ae.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\1d7c4032c83b5569a8e06ae1044acead.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\215f6054a66b53a99193d9ee5d1f8eae.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\24eca2091b785c938bddc1cbed26748d.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\26229cc9defb5f40a1666c9aaaaaa02d.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\287fb7a2e6395439aedd7834af1913ef.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\2b142bc050975d54984e367462b2fffd.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\334088f9de685837a7525f4b2175e3e4.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\347f78b02fe15cdabecb546be184c964.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\35bbecfce1f85bd4b9f7ac211f7ad902.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\36eed4189a145f6b9813868c78e0b921.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\3aa24fc8e5e95724b53d37347cd28c50.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\3ab55b7529af50e4a9fb191f7549ddd6.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\3ab9f5646fdc56eaa53dfdc67849c114.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\3c0883eac8d85c4dad32e4b06ccf7388.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\3cc4c1e23c5d52adbbc6baae97fadd4a.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\417c9bbfa52f54eca5eff22887e3f941.json             | JSON             |         13 |          0 |          1 |         14 |
| t:\apps\contract-ai-core\dataset\gold\filter\ISDA\432762f78c425f1fbac75b88fd552975.json             | JSON             |         13 |          0 |          1 |         14 |
