key,title,description,sort_order
specified_entity,Specified Entity,"In part 1. only, defines which affiliates are considered when assessing Termination Events or Events of Default. NB: it excludes specified entity mentioned in the clause Absence of litigation",1
specified_transaction,Specified Transaction,Defines what types of transactions qualify for cross-default or other provisions.,2
cross_default,Cross Default,Election of whether cross default applies and threshold amounts.,3
specified_indebtness,Specified Indebtness,This defines the type of indebtedness that counts for purposes of the Cross-Default provision,4
threshold_amount,Threshold amount,This is the minimum aggregate amount of Specified Indebtedness defaults that must occur before a Cross-Default is triggered,5
credit_event_upon_merger,Credit Event Upon Merger,"This is an optional Termination Event where if a party (or sometimes its Specified Entities) merges, consolidates, or transfers substantially all its assets and the resulting entity is not as creditworthy, the counterparty may terminat",6
automatic_early_termination,Automatic Early Termination,Election whether AET applies in the event of insolvency.,7
payments_early_termination,Payments on Early Termination,Section under the 1992 ISDA,8
termination_currency,Termination Currency,Specifies the default currency for close-out calculations.,9
force_majeure,Force Majeure ,Election and modifications to the Force Majeure provision in the 2002 Agreement.,10
additional_termination_events,Additional Termination Events,"Custom termination events agreed by the parties (e.g. credit rating downgrade, regulatory changes).",11
credit_rating_downgrade,Credit Rating Downgrade,"Termination event  triggered if a party or its credit support provider is downgraded below a specified rating by a rating agency, often linked to collateral posting or termination.",12
credit_support_provider_event,Credit Support Provider Event,"Termination event  occurs if a guarantor, parent, or other credit support provider fails to maintain creditworthiness or withdraws its support.",13
hedging_disruption,Hedging Disruption,Termination event if a party is unable to hedge its exposure due to changes in market conditions or liquidity constraints.,14
increased_costs_of_hedging,Increased Costs of Hedging,Termination event  triggered when regulatory or legal changes make the transaction more expensive or unlawful to perform.,15
tax_event,Tax Event / Tax Event Upon Merger (Expanded),"Termination event when tax law changes that increase a party's tax burden, or adverse tax consequences arising from a merger or reorganization.",16
ownership,Ownership / Change of Control,"Termination event  triggered if a party undergoes a merger, acquisition, privatization, or change in controlling ownership.",17
document_event,Failure to comply with documents,Termination event if failure to comply with pecific  documents,18
regulatory_event,Regulatory Event / Dodd-Frank / EMIR Event,"Termination event occurs if compliance with derivatives regulations (e.g., clearing, margin, registration) prevents or burdens performance.",19
nav_decline,NAV per share decline (for Funds),Termination event if a fund's Net Asset Value per share declines below a specified threshold or by a certain percentage.,20
asset_floor,AUM/Asset Floor,Termination event if total Net Asset Value or Assets under management fall below an agreed level.,21
investor_redemptions,Investor Redemptions,"Termination event if redemptions exceed a set percentage (e.g., 25, 30% of NAV in a quarter).",22
key_person,Key Person Event,"Termination event if a named portfolio manager (or team) departs, termination can be triggered.",23
change_investment_manager,Change of investment manager,Termination event if there is a change of investment manager,23
breach_investment_guidelines,Breach of Investment Guidelines,"Termination event if Material breach of agreed trading restrictions (e.g., leverage caps, concentration limits).",24
fund_termination,Fund Termination / Liquidation,Termination event if the fund itself winds up or enters liquidation.,25
portfolio_trigger,Portfolio/Asset Trigger,"Termination event linked to performance or impairment of a specified pool of assets, often in structured finance swaps.",26
loss_of_hedge_provider,Loss of Hedge Provider Status,"Termination event  if a party ceases to qualify as a registered swap dealer, bank, or other regulated trading entity.",27
governmental_intervention,Governmental Intervention / Bail-in,Termination event  triggered by regulatory intervention such as resolution authority action under EU BRRD or similar regimes.,28
delivery_failure,Delivery Failure,"Termination event  if a party fails to deliver under a physically-settled derivative, common in commodity or equity swaps.",29
specified_transaction_termination,Specified Transaction Termination Event,"Termination event If a related financing, loan, or hedge transaction outside the ISDA is terminated, causing linked exposure.",30
sanctions_event,Sanctions Event,"Termination event occurs if a party becomes subject to international sanctions, making performance illegal or impractical.",31
non_posting_of_collateral,Non-Posting of Collateral,Termination event If a party fails to post collateral as agreed (sometimes treated as a Termination Event instead of Event of Default).,32
other_termination_events,Other Termination events,Termination event not listed above,33
failure_to_pay,Failure to pay or deliver,Failure to pay or deliver,34
tax_representations,Tax representations,Part 2. Tax representations,35
payer_representations,Payer Representations,Party representations about eligibility for tax exemptions.,35
payee_representations,Payee Representations,Party representations about eligibility for tax exemptions.,36
delivery_of_tax_forms,Delivery of Tax Forms,"Obligations to deliver forms such as IRS W-8, W-9, etc.",37
tax_provisions,Tax Provisions,Elections on tax gross-up obligations and exemptions.,38
documents,Documents,Part 3. Documents,39
corporate_documents,Corporate Documents,"Charter documents, certificates of incumbency, and authorizations.",39
financial_statements,Financial Statements,Agreement to provide audited or unaudited financials periodically.,40
legal_opinions,Legal Opinions,Opinions from counsel regarding enforceability or capacity.,41
guarantees,Guarantees,Delivery of parent guarantees or other credit support documents.,42
other_documents,Other Documents,Any bespoke documents the parties agree to provide.,43
address_for_notices,Address for Notices,Specifies mailing/email addresses and contacts for official notices.,44
process_agent,Process Agent,"If required, designates a process agent for service of process.",45
offices,Offices,"Usually in part 4., provisions of Section 10(a)",46
multibranch_party,Multibranch Party,Specifies if a party may transact through multiple branches.,47
calculation_agent,Calculation Agent,Designation of which party (or third party) will act as Calculation Agent.,48
credit_support_document,Credit Support Document,"In Part 4, this refers to any collateral or guarantee agreement provided to secure the obligations under the ISDA Master Agreement",49
credit_support_provider,Credit Support Provider,"This is any third party (often an affiliate, parent company, or guarantor) that provides credit support (via the Credit Support Document)",50
governing_law,Governing Law,Choice of governing law (usually New York or English law).,51
jurisdiction,Jurisdiction,Selection of courts with jurisdiction and whether jurisdiction is exclusive or non-exclusive.,52
waiver_of_right,Waiver of Right to Trial,Each party waives its right to a jury trial in any litigation relating to the ISDA.,53
arbitration,Arbitration,"Sometimes, instead of courts, the parties agree to resolve disputes by arbitration (e.g., under ICC or LCIA rules).",54
affiliate,Affiliate,Affiliate is already defined in Section 14 of the Master Agreement (control / controlled by / under common control).,55
absence_of_litigation,Absence of Litigation,This is an additional representation confirming that there is no pending or threatened litigation that would materially impair a party�s ability to perform its ISDA obligations.,56
no_agency,No Agency,"Confirms that the relationship is principal-to-principal, not agent-to-agent.",57
additional_representation,Additional Representation,"This is a catch-all for any bespoke representation the parties want to include beyond the standard ISDA reps (e.g., eligibility, regulatory status, compliance).",58
additional_events_of_default,Additional Events of Default,Bespoke default provisions (e.g. failure to deliver collateral).,59
amendments,Amendments,Bespoke clause related to the management of amendments,60
netting_of_payments,Netting of Payments,This confirms (or customizes) the ISDAs netting provisions.,61
set-off,Set-off,Optional clause giving set-off rights upon default or termination.,62
recording_of_conversations,Recording of Conversations,Election to allow recording of telephone conversations.,63
confidentiality,Confidentiality,Custom confidentiality obligations.,64
erisa,ERISA,A representation relating to the U.S. Employee Retirement Income Security Act of 1974 (ERISA).,65
severability,Severability,"Standard contract clause: if one provision is invalid or unenforceable, the rest remain effective.",66
escrow_payments,Escrow Payments,"Provides that if there is a dispute over a payment obligation, the disputed amount may be placed in escrow pending resolution.",67
limitation_of_liability,Limitation of Liability,Caps or excludes certain liabilities.,68
2002_protocol,2002 Master Agreement Protocol.,"The ISDA 2002 Protocol introduced standard amendments (close-out methodology, set-off, etc.).",69
hire_act_protocols,HIRE Act Protocols,"Refers to the ISDA Protocol implementing the U.S. Hiring Incentives to Restore Employment (HIRE) Act of 2010, which imposed withholding tax rules.",70
fatca,Foreign Account Tax Compliance Act,Specific provisopn related to FATCA (withholding is carved out from tax gross-up obligations),71
dodd_frank,Dodd-Frank,Clause related to DODD FRANK regulation,72
us_qfc,U.S. QFC,Clause related to US QF Stay regulation,73
transfer_restrictions,Transfer Restrictions,Restrictions on assigning rights and obligations.,74
fx_transactions,Foreign Exchange and Foreign Exchange Option Transactions,Foreign Exchange and Foreign Exchange Option Transactions,75
commodity,Commodity transactions,Commodity transactions (full section related to FX transactions),76
forms,Forms,Forms in appendix,77
