index,text,clause_key,confidence
0,SCHEDULE,,100
1,to the,,100
2,2002 Master Agreement,,100
3,"dated as of June 13th, 2022",,100
4,between,,100
5,SOCIÉTÉ GÉNÉRALE,,100
6,"( ""Party A"")",,100
7,and,,100
8,"each entity listed on Appendix I to the Schedule hereto, severally and not jointly (each such entity, ""Party B"")",,100
9,"Each party listed on Appendix I hereto, which may be amended from time to time, shall be referred to individually as ""Party B"". It is understood and agreed that this Agreement (the ISDA Master Agreement, Schedule and Credit Support Annex) shall take effect as a separate agreement between Party A and each Party B in respect of Transactions entered into between them as if each Party B had executed a separate document naming only itself as Party B (a ""Separate Agreement"") and that no party listed on this Appendix I shall have any liability under this document for the obligations of any other party so listed.",,95
10,"In particular, without limitation, Section 1(c) shall take effect so that a single agreement shall be formed by the Agreement and all Confirmations between Party A and each individual Party B and the provisions of Section 5 and 6 shall apply separately in relation to each Party B so that an Event of Default in respect of one Party B shall not be treated as an Event of Default in respect of any other Party B.",,95
11,"With respect to any particular Party B, only Confirmations of Transactions between Party A and that particular Party B shall be part of the Separate Agreement between Party A and that Party B, references in the Agreement to the Schedule shall be deemed to refer to the Schedule as prepared for such party and the term ""this Agreement"" shall be construed accordingly.",,95
12,Part 1,,100
13,Termination Provisions,,100
14,"(a)	 "" Specified Entity"" means in relation to Party A for the purpose of:―",specified_entity,100
15,Section 5(a)(v): Not applicable Section 5(a)(vi): Not applicable Section 5(a)(vii): Not applicable Section 5(b)(v): Not applicable,specified_entity,100
16,and in relation to Party B for the purpose of:,specified_entity,100
17,Section 5(a)(v): Not applicable Section 5(a)(vi): Not applicable Section 5(a)(vii): Not applicable Section 5(b)(v): Not applicable,specified_entity,100
18,"(b)	 _Notwithstanding the provisions of Section 14, unless otherwise agreed to by the parties, the ""Default Rate"" shall be a rate per annum equal to the Federal Funds (Effective) rate in effect for such day as published in the most recent weekly statistical release designated as H.15(519) or any successor publication, published by the Board of Governors of the Federal Reserve System, plus 1%._",,80
19,"(c)	 "" Specified Transaction"" will have the meaning specified in Section 14 of this Agreement.",specified_transaction,100
20,"(d)	 The "" Cross-Default"" provisions of Section 5(a)(vi) will apply to Party A and to Party B, provided that (i) the phrase ""or becoming capable at such time of being declared"" shall be deleted from clause (1) of such Section 5(a)(vi); and (ii) the following language shall be added to the end thereof:--",cross_default,100
21,"""Notwithstanding the foregoing, a default under subsection (2) hereof shall not constitute an Event of Default if (i) the default was caused solely by error or omission of an administrative or operational nature; (ii) funds were available to enable the party to make the payment when due; and (iii) the payment is made within two Local Business Days of such party's receipt of written notice of its failure to pay.""",cross_default,95
22,"""Specified Indebtedness"" in relation to Party A, will have the meaning specified in Section 14 of this Agreement but shall exclude indebtedness in respect of deposits received in the ordinary course of business.",specified_indebtness,100
23,"""Threshold Amount"" means with respect to Party A, an amount equal to 3% of shareholder's equity, and with respect to Party B: 3% of its Net Asset Value.",threshold_amount,100
24,"(e)	 The "" Credit Event Upon Merger"" provisions of Section 5(b)(v) will apply to Party A and Party B.",credit_event_upon_merger,100
25,"(f)	 The "" Automatic Early Termination"" provision of Section 6(a) will not apply to Party A and Party B.",automatic_early_termination,100
26,"(g)	 "" Termination Currency"" means USD.",termination_currency,100
27,"(h)	 Additional Termination Event. The occurrence of the following event shall constitute an Additional Termination Event with respect to Party A, with Party A as the sole Affected Party and all Transactions as Affected Transactions:",additional_termination_events,100
28,""" Ratings Event"" means, with respect to Party A:",credit_rating_downgrade,100
29,"On any day during the term hereof, the rating of the long-term, unsecured and unsubordinated indebtedness of Party A or its Credit Support Provider, if any, is withdrawn, suspended or reduced below BBB-, if rated by Standard & Poor's Ratings Group and Baa2, if rated by Moody's Investors Service, Inc., or if Party A's aforementioned obligations do not have a rating by at least one of these agencies. For the purpose of this event, Party A will be the sole Affected Party.",credit_rating_downgrade,100
30,The occurrence of the following event shall constitute an Additional Termination Event with respect to Party B with Party B as the sole Affected Party and all Transactions as the Affected Transactions:,additional_termination_events,100
31,"(1)	 ""Total Net Assets ( ""TNA"") Decline Event"" means, with respect to Party B, the TNA of Party B as of any date is less than $1.5 billion.",asset_floor,100
32,"""Total Net Assets"" or ""TNA"" means, as used with respect to Party B, the total assets minus the total liabilities of Party B, as indicated on Party B's website or in any communication from Party B to Party A, or from Party B to any of its investors, which statement of TNA shall be prepared in accordance with generally accepted accounting principles in the United States of America for balance sheet purposes.",asset_floor,95
33,"(2)	 ""Material Amendment "" means with respect to Party B, any of the constituent documents of Party B (including without limitation the investment restrictions of Party B) is amended or modified in a manner which, in the reasonable judgment of Party A, materially and adversely affects Party A's rights or remedies or the authority or ability of Party B to perform timely and in full any of its obligations under this Agreement or any Transaction hereunder.",breach_investment_guidelines,100
34,"(3)	 ""Key Person(s)/ General Partner Event "" means with respect to Party B:",key_person,100
35,"United States Commodity Funds LLC (or any successor or affiliate of United States Commodity Funds LLC) ceases to be the commodity pool operator or the General Partner of Party B, and, in the reasonable judgment of Party A, such event materially and adversely affects Party A's rights or remedies or the authority or ability of Party B to perform timely and in full any of its obligations under this Agreement or any Transaction hereunder.",key_person,100
36,"(4)	 "" Minimum Net Asset Value Event"" means with respect to Party B:",nav_decline,100
37,"During any calendar month, the Net Asset Value of Party B (inclusive of shareholder redemptions and withdrawals) declines 35% or more from the immediately preceding calendar month-end.",nav_decline,100
