index,clause_key,confidence,text
0,,100,SCHEDULE to the 2002 ISDA Master Agreement
1,,100,"dated as of June 4, 2019"
2,,100,between
3,,100,"WELLS FARGO BANK, NATIONAL ASSOCIATION (""Party A"" or ""Counterparty"")"
4,,100,and
5,,100,"VERIZON OWNER TRUST 2019-B (""Party B"" or ""Trust"")"
6,,100,Part 1. Termination Provisions
7,specified_entity,100,"(a) 	  ""Specified Entity"" means in relation to Party A for the purpose of:"
8,specified_entity,100,"Section 5(a)(v), Not applicable Section 5(a)(vi), Not applicable Section 5(a)(vii), Not applicable Section 5(b)(v), Not applicable"
9,specified_entity,100,and in relation to Party B for the purpose of:
10,specified_entity,100,"Section 5(a)(v), Not applicable Section 5(a)(vi), Not applicable Section 5(a)(vii), Not applicable Section 5(b)(v), Not applicable"
11,specified_transaction,100,"(b) 	  ""Specified Transaction"" will have the meaning specified in Section 14 of this Agreement."
12,specified_transaction_termination,90,"(c) 	  The ""Default Under Specified Transaction"" provisions of Section 5(a)(v) will not apply to Party A or Party B."
13,cross_default,100,"(d) 	  The ""Cross Default"" provisions of Section 5(a)(vi) will not apply to Party A and Party B."
14,other_termination_events,80,"(e) 	  No Bankruptcy Petition. The Counterparty agrees, for itself and any Affiliate of the Counterparty, that, prior to the date that is one year and one day after the payment in full of all the obligations of the Trust under the Indenture, no such entity shall acquiesce, petition or otherwise, directly or indirectly, invoke, or cause the Trust to invoke, the process of any Governmental Authority for the purpose of (i) commencing or sustaining a case against the Trust under any federal or state bankruptcy, insolvency or similar law (including the Bankruptcy Code), (ii) appointing a receiver, liquidator, assignee, trustee, custodian, sequestrator or other similar official for the Trust, or any substantial part of its property, or (iii) ordering the winding up or liquidation of the affairs of the Trust; provided that the foregoing shall not be deemed to prevent Party B or the Indenture Trustee from filing a proof of claim in any such proceeding. The provisions of this Part 1(e) will survive"
15,other_termination_events,80,termination of this Agreement. Capitalized terms used herein and not otherwise defined herein shall have the meaning set forth in the Indenture.
16,other_termination_events,80,(f) 	  Events of Default and Termination Events.
17,additional_events_of_default,90,"(i) 	  The ""Events of Default"" specified in Sections 5(a)(ii), 5(a)(iii), 5(a)(iv) and 5(a)(v) shall not apply to Party B, except that Section 5(a)(iii)(1) will apply in respect of Party B's obligations under the Credit Support Annex."
18,non_posting_of_collateral,100,"(g) 	  Notwithstanding anything to the contrary in Section 5(a)(iii)(1) or Paragraph 7(i) of the Credit Support Annex, the failure of Party A to post collateral in accordance with the Credit Support Annex will not constitute an Event of Default, but rather will constitute an Additional Termination Event under Part 1(m)(i) or (ii), as applicable."
19,other_termination_events,80,"(h) 	  Bankruptcy definition in relation to Party B. With respect to the Party B only, Section 5(a)(vii) (Bankruptcy) is deemed to be amended such that:"
20,other_termination_events,80,"(i) 	  Section 5(a)(vii)(2), (7) and (9) will not apply in respect of Party B;"
21,other_termination_events,80,"(ii) 	  Section 5(a)(vii)(3) will not apply in respect of Party B to the extent that it refers to any assignment, arrangement or composition that is effected by or pursuant to the Transaction Documents;"
