index,clause_key,confidence,text
0,,100,EX-10.2 3 exhibit102-scheduletotheis.htm EXHIBIT 10.2
1,,100,Execution Copy
2,,100,Ref. No. CB25-792
3,,100,SCHEDULE
4,,100,to the
5,,100,ISDA 2002 Master Agreement
6,,100,"dated as of March 20, 2019"
7,,100,between
8,,100,"CITIBANK, N.A.,"
9,,100,"a national banking association organized under the laws of the United States,"
10,,90,"acting through its Office located in New York, London, Singapore, Sydney"
11,,100,"(""Party A"")"
12,,100,and
13,,100,"FARMER BROS. CO.,"
14,,100,a corporation organized and existing
15,,100,under the laws of Delaware
16,,100,"(""Party B"")"
17,,100,Part 1
18,,100,Termination Provisions
19,,100,In this Agreement:
20,specified_entity,100,"(a) ""Specified Entity"" means for the purpose of Section 5(a)(v) of this Agreement, (i) in relation to Party A, Citigroup Global Markets Limited, Citigroup Global Markets Inc., Citigroup Global Markets Commercial Corp., Citicorp Securities Services, Inc., Citibank Europe PLC, Citigroup Global Markets Deutschland AG, Citigroup Energy Inc., Citibank Japan Ltd., Citibank Canada, Citigroup Energy Canada ULC, and Citigroup Financial Products Inc."
21,specified_entity,100,"(individually a ""Section 5(a)(v) Affiliate""), and (ii) in relation to Party B, Not Applicable."
22,specified_transaction,100,"(b) ""Specified Transaction"" will have the meaning specified in Section 14 of this Agreement. For purposes of clause (c) of such definition, Specified Transaction includes any securities options, margin loans, short sales, any agreement governing the purchase, sale, transfer, exchange or option of a commodity, or any other commodity trading transaction and any other similar transaction now existing or hereafter entered into between Party A (or any Section 5(a)(v) Affiliate) and Party B (or any Affiliate of Party B). For this purpose, ""commodity"" means any tangible or intangible commodity of any type or"
23,,100,Execution Copy
24,,100,Ref. No. CB25-792
25,specified_transaction,90,"description, including without limitation power, natural gas, petroleum (and the products and by-products thereof), emissions allowances, precious metals and coal."
26,cross_default,100,"(c) The ""Cross Default"" provisions of Section 5(a)(vi) will apply to Party A and will apply to Party B., provided that Section 5(a)(vi) is hereby amended by deleting the words "", or becoming capable at such time of being declared"" in the seventh line thereof,"
27,cross_default,100,"For purposes of Section 5(a)(vi), the following provisions apply:"
28,specified_indebtness,100,"""Specified Indebtedness"" shall have the meaning set forth in Section 14 of this Agreement, provided, however, that Specified Indebtedness shall not include deposits received in the course of a party's ordinary banking business."
29,threshold_amount,100,"""Threshold Amount"" means"
30,threshold_amount,100,"(i) with respect to Party A, 2% of the stockholders' equity of Party A; and"
31,threshold_amount,100,"(ii) with respect to Party B, USD 10,000,000"
32,threshold_amount,90,"including the U.S. Dollar equivalent, as determined by the Calculation Agent, on the date of any default, event of default or other similar condition or event of any obligation stated in any other currency."
33,threshold_amount,80,"For purposes of the above, stockholders' equity shall be determined by reference to the relevant party's most recent consolidated (quarterly, in the case of a U.S. incorporated party) balance sheet and shall include, in the case of a U.S. incorporated party, legal capital, paid-in capital, retained earnings and cumulative translation adjustments. Such balance sheet shall be prepared in accordance with accounting principles that are generally accepted in such party's country of organization."
34,credit_event_upon_merger,100,"(d) The ""Credit Event Upon Merger"" provisions of Section 5(b)(v) of this Agreement will apply to Party A and will apply to Party B."
35,automatic_early_termination,100,"(e) The ""Automatic Early Termination"" provisions of Section 6(a) will not apply to Party A and will not apply to Party B; provided, however, that with respect to a party, where the Event of Default specified in Section 5(a)(vii)(1), (3), (4), (5), (6) or to the extent analogous thereto, (8) is governed by a system of law which does not permit termination to take place after the occurrence of the relevant Event of Default, then the Automatic Early Termination provisions of Section 6(a) will apply to such party."
36,termination_currency,100,"(f) ""Termination Currency"" will have the meaning specified in Section 14 of this Agreement."
37,additional_termination_events,100,"(g) ""Additional Termination Event"" will apply. It shall constitute an Additional Termination Event, Party B shall be the sole Affected Party and Party A shall be the party entitled to determine the Close-out Amount, if at any time:"
38,,100,Execution Copy
39,,90,Ref. No. CB25-792
40,specified_transaction_termination,90,"(i)  the Credit Agreement (as defined below) shall for any reason, cease to be in full force and effect;"
41,specified_transaction_termination,90,(ii)  Party A or an Affiliate of Party A shall for any reason cease to be a party to the Credit Agreement;
42,credit_support_document,90,"(iii) all or any portion of the Collateral (as defined in the Credit Support Documents) shall be released from the Lien(s) (as defined in the Credit Support Documents) of the Credit Support Documents, other than a release of collateral that is specifically permitted by the Credit Agreement or consented to by all Required Lenders or other necessary parties under the Credit Agreement;"
43,guarantees,90,(iii) the obligations of Party B with respect to Transactions hereunder are no longer guaranteed pursuant to the Loan Guaranty (as such term is defined in the Credit Agreement); or
44,credit_support_document,90,"(iv) the obligations of Party B under this Agreement shall for any reason not be secured or not be secured equally and ratably and on a pari passu basis with the Lenders (as defined in the Credit Agreement) under and pursuant to the Loan Guaranty and Collateral Documents each as defined in the Credit Agreement, other than in connection with a release of collateral that is specifically permitted by the Credit Agreement or consented to by all Required Lenders or other necessary parties under the Credit Agreement;"
