key,title,value,confidence,explanation,evidence
specified_entity_A,Specified entity Party A,,100,"The text explicitly states: 'Specified Entity' means in relation to Party A, None.","[14, 15, 16, 17, 107, 108]"
specified_entity_B,Specified entity Party B,,100,"The text explicitly states: 'Specified Entity' means in relation to Party B, None.","[14, 15, 16, 17, 107, 108]"
specified_transaction,Specified transaction scope,STD,90,"The text states that 'Specified Transaction' will have the meaning specified in Section 14 of this Agreement, indicating the standard ISDA definition is used.","[19, 122]"
cross_default,Cross default applicable parties,AB,100,The text explicitly states that the Cross-Default provisions apply to Party A and to Party B.,"[20, 21]"
specified_indebtness_borrowed_money,Specified indebtness includes borrowed_money,,50,"The text does not mention 'borrowed money' explicitly, nor does it state whether it is included or excluded from Specified Indebtedness.",[22]
specified_indebtness_deposits,Specified indebtness excludes deposits,True,100,The text explicitly states that Specified Indebtedness shall exclude indebtedness in respect of deposits received in the ordinary course of business.,[22]
threshold_A,Threshold amount for Party A,"{'amount': {'value': None, 'confidence': 1.0, 'explanation': 'No fixed amount is stated for Party A, only a percentage.'}, 'currency': {'value': None, 'confidence': 1.0, 'explanation': 'No currency is specified, as the threshold is a percentage.'}, 'percent': {'value': 3.0, 'confidence': 1.0, 'explanation': ""The text states 'an amount equal to 3% of shareholder's equity' for Party A.""}, 'percent_reference': {'value': 'SHAREHOLDER', 'confidence': 1.0, 'explanation': ""The reference is explicitly 'shareholder's equity', which matches the enum SHAREHOLDER.""}}",100,All information for Party A is explicitly stated in the text.,[23]
threshold_B,Threshold amount for Party B,"{'amount': {'value': None, 'confidence': 1.0, 'explanation': 'No fixed amount is stated for Party B, only a percentage.'}, 'currency': {'value': None, 'confidence': 1.0, 'explanation': 'No currency is specified, as the threshold is a percentage.'}, 'percent': {'value': 3.0, 'confidence': 1.0, 'explanation': ""The text states '3% of its Net Asset Value' for Party B.""}, 'percent_reference': {'value': 'NAV', 'confidence': 1.0, 'explanation': ""The reference is explicitly 'Net Asset Value', which matches the enum NAV.""}}",100,All information for Party B is explicitly stated in the text.,[23]
credit_event_upon_merger,Credit Event Upon Merger  applicable parties,AB,100,The text explicitly states that the 'Credit Event Upon Merger' provisions apply to Party A and Party B.,[24]
automatic_early_termination,Automatic Early Termination  applicable parties,NONE,100,The text explicitly states that Automatic Early Termination will not apply to Party A and Party B.,[25]
termination_currency,Termination Currency,USD,100,The text explicitly states: 'Termination Currency' means USD.,[26]
notices_A,Email for notices for Party A,us-legal-nego@sgcib.com,95,The email address for Party A is explicitly listed under both (i) and (ii) as 'E-mail: us-legal-nego@sgcib.com'.,"[60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82]"
notices_B,Email for notices for Party B,trading@uscfinvestments.com,95,"The primary email for notices to Party B is listed as 'E-mail: trading@uscfinvestments.com'; a copy is to be sent to 'dfrydman@uscfinvestments.com', but the main address is 'trading@uscfinvestments.com'.","[60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82]"
process_agent_A,Process agent for party A,"{'is_process_agent': {'value': True, 'confidence': 1.0, 'explanation': 'The text explicitly states that Party A appoints Societe Generale, New York Branch as its Process Agent.'}, 'process_agent_name': {'value': 'Societe Generale, New York Branch', 'confidence': 1.0, 'explanation': 'The name is directly stated in the text as the appointed Process Agent for Party A.'}, 'process_agent_address': {'value': '245 Park Avenue, 11th Floor, New York, NY 10167', 'confidence': 1.0, 'explanation': ""The address is explicitly provided in the text following the Process Agent's name.""}}",100,All details for Party A's Process Agent are explicitly stated in the text.,"[83, 84, 85, 86, 87, 88]"
process_agent_B,Process agent for party B,"{'is_process_agent': {'value': True, 'confidence': 1.0, 'explanation': ""The text states that Party B's Process Agent will be its legal officer at its address for notices.""}, 'process_agent_name': {'value': ""Party B's legal officer"", 'confidence': 0.9, 'explanation': 'The text specifies the legal officer of Party B as the Process Agent, though the actual name is not given.'}, 'process_agent_address': {'value': ""Party B's address for notices"", 'confidence': 0.9, 'explanation': ""The address is described as Party B's address for notices, but the specific address is not provided in the text.""}}",95,"The role and address for Party B's Process Agent are described, but not named specifically.","[83, 84, 85, 86, 87, 88]"
multibranch_party_A,Multibranch for Party A,"{'is_multibranch': {'value': True, 'confidence': 1.0, 'explanation': ""The text explicitly states 'Party A is a Multibranch Party'.""}, 'multibranch_offices': {'value': ['Paris', 'London'], 'confidence': 1.0, 'explanation': 'The text states Party A may act through its head Office in Paris and its branch Office in London.'}}",100,Both the multibranch status and offices for Party A are explicitly stated.,"[90, 91, 92]"
multibranch_party_B,Multibranch for Party B,"{'is_multibranch': {'value': False, 'confidence': 1.0, 'explanation': ""The text explicitly states 'Party B is not a Multibranch Party.'""}, 'multibranch_offices': {'value': None, 'confidence': 1.0, 'explanation': 'Party B is not a Multibranch Party, so no offices are listed.'}}",100,Party B's status is explicitly stated as not a Multibranch Party.,"[90, 91, 92]"
calculation_agent,Party for calculation agent,A,95,"The text explicitly states 'The Calculation Agent is Party A, unless otherwise specified in a Confirmation in relation to the relevant Transaction.' This is a clear assignment for business as usual situations.",[93]
governing_law,Governing Law,NEW-YORK,100,The text explicitly states that the Agreement will be governed by and construed in accordance with the laws of the State of New York.,"[99, 100]"
