key,title,confidence,value,evidence,explanation
date,Date of the contract,100,2008-03-06,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","The text states: 'ISDA Master Agreement dated as of March 6, 2008'."
party_A,Party A,100,"Wells Fargo Bank, N.A.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","The text states: 'between Wells Fargo Bank, N.A.(""Party A"") and Barnes Group Inc. ... (""Party B"")'."
party_B,party_B,100,Barnes Group Inc.,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","The text states: 'between Wells Fargo Bank, N.A.(""Party A"") and Barnes Group Inc. ... (""Party B"")'."
specified_entity_A,Specified entity Party A,100,None,"[7, 8, 9, 10]","For all relevant sections, the text explicitly states 'None' for Party A."
specified_entity_B,Specified entity Party B,100,"Subsidiaries (and Significant Subsidiaries for Bankruptcy), as defined in the Credit Agreement","[7, 8, 9, 10]","For Party B, the text specifies 'Subsidiaries, as defined in the Credit Agreement' for most sections, and 'Significant Subsidiaries, as defined in the Credit Agreement' for Bankruptcy."
specified_transaction,Specified transaction scope,100,STD,[11],"The text states that 'Specified Transaction' will have the meaning specified in Section 14, indicating the standard definition is used."
cross_default,Cross default applicable parties,100,AB,"[12, 13, 14]","The text states that the Cross-Default provisions will apply to Party A and to Party B, indicating both parties are covered."
specified_indebtness_borrowed_money,Specified indebtness includes borrowed_money,50,None,[15],"The text does not mention 'borrowed money' explicitly, nor does it specify whether it is included or excluded from Specified Indebtedness."
specified_indebtness_deposits,Specified indebtness excludes deposits,100,True,[15],The text explicitly states that Specified Indebtedness shall not include deposits and obligations in respect of deposits for Party A.
threshold_amount_A_amount,amount for Party A,100,None,"[16, 17]",No fixed amount is specified for Party A; only a percentage is given.
threshold_amount_A_currency,currency for Party A ,100,None,"[16, 17]",No currency is specified for Party A's threshold amount; it is defined as a percentage of Shareholders Equity.
threshold_amount_A_percent,percentage for Party A ,100,3.0,"[16, 17]",The text states 'an amount equal to 3% of the Shareholders Equity (as hereinafter defined) of Party A'.
threshold_amount_A_percent_reference,percentage reference for Party A ,100,SHAREHOLDER,"[16, 17]",The percentage is explicitly referenced to 'Shareholders Equity'.
threshold_amount_B_amount,amount for Party B,100,20000000.0,"[16, 17]","For Party B, $20,000,000 is specified as the threshold amount for any Specified Indebtedness other than that owing to Party A."
threshold_amount_B_currency,currency for Party B,100,USD,"[16, 17]","The threshold amount for Party B is specified as $20,000,000, which denotes USD."
threshold_amount_B_percent,percentage for Party B,100,None,"[16, 17]",No percentage threshold is specified for Party B; only fixed amounts are given.
threshold_amount_B_percent_reference,percentage reference for Party B,100,None,"[16, 17]","No percentage threshold is specified for Party B, so no reference applies."
credit_event_upon_merger,Credit Event Upon Merger  applicable parties,100,AB,[18],"The text states that the 'Credit Event Upon Merger' provisions will apply to Party A and to Party B, indicating both parties are applicable."
automatic_early_termination,Automatic Early Termination  applicable parties,100,NONE,[19],"The text states that Automatic Early Termination will not apply to Party A or to Party B, so it applies to no party."
termination_currency,Termination Currency,100,USD,[21],The text explicitly states that 'Termination Currency' means United States Dollars. The ISO code for United States Dollars is USD.
notices_A,Email for notices for Party A,100,None,"[40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51]","No email address is provided for Party A (Wells Fargo Bank, N.A.) in the given text; only physical addresses, telephone, and facsimile numbers are listed."
notices_B,Email for notices for Party B,100,None,"[40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51]",No email address is provided for Party B (Barnes Group Inc.) in the given text; only physical addresses and facsimile numbers are listed.
process_agent_A,Process agent for party A,100,False,[52],The text explicitly states that neither Party A nor Party B will appoint a Process Agent.
process_agent_name_A,Name of process agent for party A,100,None,[52],"No process agent is appointed for Party A, so no name is provided."
process_agent_address_A,Address of process agent for party A,100,None,[52],"No process agent is appointed for Party A, so no address is provided."
process_agent_B,Process agent for party B,100,False,[52],The text explicitly states that neither Party A nor Party B will appoint a Process Agent.
process_agent_name_B,Name of process agent for party B,100,None,[52],"No process agent is appointed for Party B, so no name is provided."
process_agent_address_B,Address of process agent for party B,100,None,[52],"No process agent is appointed for Party B, so no address is provided."
multibranch_party_A,Party A is a Multibranch party,100,False,"[54, 55, 56]",The text explicitly states 'Party A is not a Multibranch Party.'
multibranch_party_A_offices,Party A offices,100,None,"[54, 55, 56]","Party A is not a Multibranch Party, so no offices are specified."
multibranch_party_B,Party B is a Multibranch party,100,False,"[54, 55, 56]",The text explicitly states 'Party B is not a Multibranch Party.'
multibranch_party_B_offices,Party B offices,100,None,"[54, 55, 56]","Party B is not a Multibranch Party, so no offices are specified."
calculation_agent,Party for calculation agent,98,Party A,[57],"The text states 'The Calculation Agent is Party A, unless Party A is a Defaulting Party...' indicating Party A is the Calculation Agent under normal circumstances."
governing_law,Governing Law,100,NEW-YORK,[64],The text explicitly states that the agreement will be governed by the laws of the State of New York.
