filename,contract_type,contract_type_confidence,contract_type_explanation,contract_date,contract_date_confidence,contract_date_explanation,amendment_date,amendment_date_confidence,amendment_date_explanation,amendment_number,amendment_number_confidence,amendment_number_explanation,version_type,version_type_confidence,version_type_explanation,status,status_confidence,status_explanation
00fb0862161354c996ba812525e0c209.txt,ISDA,100,"The document is titled 'ISDA MASTER AGREEMENT' and references the International Swap Dealers Association, Inc., indicating it is an ISDA Master Agreement.",2010-02-04,100,"The agreement is stated to be 'dated as of February 4, 2010', which is the main contract date.",,100,There is no indication that this document is an amendment; it is the original master agreement.,,100,There is no mention of an amendment number or that this is an amendment.,INITIAL,100,"The document is the original ISDA Master Agreement, not an amendment or restated version.",EXECUTED,90,"The agreement is dated and appears to be the final version, not a draft. There is no explicit 'draft' watermark or language."
013f592ccc84517182f4c5a3b7641149.txt,GMRA,100,"The document is titled 'GLOBAL MASTER REPURCHASE AGREEMENT' and references TBMA/ISMA, which is the standard for GMRA agreements.",2013-04-23,100,"The agreement is stated as 'Dated as of April 23, 2013', which is the main date associated with the contract.",,100,"Although the agreement is 'amended and restated', there is no specific amendment date provided; the date given is for the restated agreement, which serves as the contract date.",,100,There is no mention of an amendment number in the provided text.,RESTATED,100,"The agreement is explicitly labeled 'AMENDED AND RESTATED GLOBAL MASTER REPURCHASE AGREEMENT', indicating it is an amended and restated version.",EXECUTED,90,"The agreement is dated and lists the parties, which typically indicates execution. There is no indication that it is a draft."
025cb4065e6e551db1bfe44ef44eb83b.txt,ISDA,100,"The document is titled 'ISDA MASTER AGREEMENT (SERIES 2008-A CLASS A)' and references the International Swap Dealers Association, Inc. Master Agreement, which matches the ISDA code.",2008-09-12,100,"The agreement is stated as 'dated as of September 12, 2008', which is the main contract date.",,100,There is no indication that this document is an amendment; it appears to be the initial contract.,,100,There is no mention of any amendment number or indication that this is an amendment.,INITIAL,100,"The document is the original ISDA Master Agreement, not an amendment or restated version.",EXECUTED,90,"The document is dated and formatted as a final agreement between the parties, which typically indicates execution, though explicit signatures are not shown in the provided text."
051bb5d2c633574eb9aab46bc62231ab.txt,VSA,100,"The document is titled '2016 Credit Support Annex for Variation Margin (VM)' and repeatedly refers to itself as a Credit Support Annex, which matches the VSA code.",2017-07-12,95,"The text states 'ISDA Master Agreement dated July 12, 2017', which is the main agreement date referenced for this annex.",,100,There is no indication that this document is an amendment; it is a standalone annex to the master agreement.,,100,There is no amendment number mentioned and the document is not an amendment.,INITIAL,95,"This is the initial Credit Support Annex for Variation Margin, not an amendment or restated version.",EXECUTED,80,"The annex is presented as part of the executed ISDA Master Agreement, not as a draft, and is not marked as 'draft' anywhere."
057d9f25d7635925b66afd94be03fa10.txt,ISDA,100,"The document is titled 'ISDA International Swap Dealers Association, Inc. MASTER AGREEMENT' and references the ISDA Master Agreement, schedule, and confirmations.",2008-10-27,100,"The agreement is stated as 'dated as of October 27, 2008' near the top of the document.",,100,There is no indication that this document is an amendment; it is the initial master agreement.,,100,There is no mention of any amendment number or that this is an amendment.,INITIAL,100,"The document is the original ISDA Master Agreement, not an amendment or restated version.",EXECUTED,80,"The agreement is dated and appears to be a finalized version, not marked as draft. However, the actual signatures are not shown in the provided text."
072e2c5f957e5bce8aea0b2f6e82b01d.txt,ISDA,100,"The document is titled '2002 MASTER AGREEMENT' and refers to the International Swaps and Derivatives Association, Inc., which matches the ISDA Master Agreement code.",2022-06-13,100,"The agreement is stated as 'dated as of June 13th, 2022', which is the main contract date.",,100,There is no indication that this document is an amendment; it is the initial agreement.,,100,There is no amendment number mentioned and the document is not an amendment.,INITIAL,100,"The document is the initial 2002 ISDA Master Agreement, not an amendment or restated version.",EXECUTED,90,"The agreement is dated and appears to be finalized between the parties, indicating executed status. There is no indication it is a draft."
07723bbef4c15ad594583954bfe733e5.txt,ISDA,100,"The document is titled 'ISDA International Swap Dealers Association, Inc. MASTER AGREEMENT' and refers to the ISDA Master Agreement, which matches the ISDA code.",2008-04-23,100,"The agreement is stated as 'dated as of April 23, 2008', which is the main contract date.",,100,There is no indication that this document is an amendment; it is the initial master agreement.,,100,"There is no amendment number mentioned, and the document is not an amendment.",INITIAL,100,"The document is the original ISDA Master Agreement, not an amendment or restatement.",EXECUTED,90,"The agreement is dated and appears to be the final executed version, not a draft. There is no indication it is a draft."
07fa350f98f25961a33573aabd9da6d6.txt,ISDA,100,"The document is titled 'ISDA MASTER AGREEMENT' and references the International Swap Dealers Association, Inc., which matches the ISDA contract type.",2005-02-22,100,"The agreement is stated as 'dated as of February 22, 2005', which is the main contract date.",,100,There is no indication that this document is an amendment; it is the initial agreement.,,100,"There is no amendment number mentioned, and the document is not an amendment.",INITIAL,100,The document is the original 'MASTER AGREEMENT' and not an amendment or restated version.,EXECUTED,95,"The document is labeled 'Execution copy', which typically indicates an executed version."
0a0acc69e9325b0e94a7611d0ce572d0.txt,SWAP,95,The document is titled 'SWAP TRANSFER AND ASSIGNMENT AGREEMENT' and refers to the transfer of rights and obligations under a swap transaction.,2004-07-16,90,"The 'Transferred Master Agreement' is dated July 16, 2004, which is the date of the original contract being referenced and transferred.",2012-04-12,95,"The agreement is 'dated as of April 12, 2012', which is the date of this transfer/amendment.",,100,No amendment number is mentioned in the provided text.,AMENDMENT,95,"This is an amendment to the original contract, as it is a transfer and assignment agreement modifying the parties to the original swap agreement.",EXECUTED,90,"The agreement refers to the delivery of executed counterparts as a condition for effectiveness, indicating it is executed."
0b4058ba0dcd589c94e0ef1969f2fe13.txt,ISDA,100,"The document is titled 'ISDA MASTER AGREEMENT' and references the International Swap Dealers Association, Inc., which matches the ISDA contract type.",2012-11-15,100,"The agreement is stated as 'dated as of November 15, 2012', which is the main effective date of the contract.",,100,There is no indication that this document is an amendment; it is the initial master agreement.,,100,"There is no mention of an amendment number, and the document is not an amendment.",INITIAL,100,"The document is the original ISDA Master Agreement, not an amendment or restated version.",EXECUTED,90,"The agreement is dated and appears to be a finalized contract, not a draft. The use of 'dated as of' typically indicates execution."
0b6bc60d83645d25af0d17040887e126.txt,ISDA,100,"The document is titled 'ISDA International Swaps and Derivatives Association, Inc. SCHEDULE to the 2002 Master Agreement', indicating it is an ISDA Master Agreement.",2020-04-07,100,"The text states '2002 Master Agreement dated as of April 7, 2020', which is the effective date of the contract.",,100,There is no indication that this document is an amendment; it is the schedule to the initial master agreement.,,100,There is no mention of an amendment number or that this is an amendment.,INITIAL,100,"The document is the schedule to the initial ISDA Master Agreement, not an amendment or restatement.",EXECUTED,95,"The document is labeled 'Execution Copy', which typically indicates an executed version."
0c9e47dc758752f6995bf2dc196297e1.txt,ISDA,95,"The document is titled 'ISDA MASTER AGREEMENT (CURRENCY SWAP AGREEMENT)' and refers to a Schedule to the Master Agreement, indicating it is an ISDA Master Agreement.",2003-03-13,98,"The text states 'SCHEDULE TO THE MASTER AGREEMENT DATED AS OF 13 MARCH 2003', which is the effective date of the contract.",,100,There is no indication that this document is an amendment; it appears to be the initial contract.,,100,No amendment number is mentioned and the document is not an amendment.,INITIAL,98,"The document is a Schedule to the Master Agreement dated as of 13 March 2003, indicating it is the initial contract.",EXECUTED,80,"The document contains finalized parties and a specific date, suggesting it is executed, though the actual signatures are not shown in the provided text."
1159d683a6005af8aba360d1c04cf5dc.txt,ISDA,100,The document is titled 'FIRST AMENDMENT ... TO THE ISDA MASTER AGREEMENT' and repeatedly references the ISDA Master Agreement and its schedule.,2009-09-22,100,"The ISDA Master Agreement is stated as 'dated as of September 22, 2009' in the amendment's opening paragraph.",2009-09-28,100,"The amendment is titled 'FIRST AMENDMENT DATED AS OF SEPTEMBER 28, 2009'.",1,100,"The document is called 'FIRST AMENDMENT', indicating amendment number 1.",AMENDMENT,100,"The document is an amendment to the ISDA Master Agreement, as stated in the title and throughout the text.",EXECUTED,90,"The amendment is dated and formatted as a formal agreement, not a draft. There is no explicit 'draft' or 'signed' indication, so 'executed' is most likely."
11dab7c47eb55453b74c1653f1b62ce3.txt,ISDA,100,"The document is titled 'SCHEDULE to the 2002 ISDA Master Agreement', indicating it is part of an ISDA Master Agreement.",2017-07-12,100,"The text states '2002 ISDA Master Agreement dated as of July 12, 2017', which is the effective date of the contract.",,100,There is no indication that this is an amendment; it is a schedule to the initial agreement.,,100,"No amendment number is mentioned, and the document is not an amendment.",INITIAL,100,"The document is a schedule to the initial ISDA Master Agreement, not an amendment or restatement.",EXECUTED,90,"The contract is dated and lists both parties, suggesting it is an executed agreement rather than a draft."
150449ff60495a6ba999893a09fd46fe.txt,ISDA,100,"The document is titled 'ISDA Master Agreement' and references the International Swap Dealers Association, Inc., which matches the ISDA contract type.",2005-02-22,100,"The agreement is stated as 'dated as of February 22, 2005', which is the main contract date.",,100,There is no indication that this document is an amendment; it is the initial agreement.,,100,"There is no mention of any amendment number, and the document is not an amendment.",INITIAL,100,"The document is the original ISDA Master Agreement, not an amendment or amended and restated version.",EXECUTED,95,"The document is labeled 'Execution Copy', which typically indicates an executed agreement."
16800388b951529f9e35659108c2f7f1.txt,ISDA,100,"The document is titled 'ISDA MASTER AGREEMENT/SCHEDULE TO ISDA MASTER AGT.' and repeatedly refers to the ISDA Master Agreement, indicating it is an ISDA Master Agreement.",2004-06-30,100,"The text states 'MASTER AGREEMENT dated as of June 30, 2004', which is the effective date of the contract.",,100,There is no indication that this document is an amendment; it is the initial agreement.,,100,"There is no mention of any amendment number, and the document is not an amendment.",INITIAL,100,"The document is the original ISDA Master Agreement, not an amendment or restatement.",EXECUTED,90,"The agreement is dated and appears to be finalized between the parties, suggesting it is executed, though the actual signatures are not shown in the excerpt."
1904d5968c2c5061b094ff389e501651.txt,ISDA,100,"The document is titled '2002 MASTER AGREEMENT' by the International Swaps and Derivatives Association, Inc. (ISDA), and references the ISDA Master Agreement and its Schedule.",2012-05-25,100,"The agreement is stated as 'dated as of May 25, 2012' near the top of the document.",,100,There is no indication that this document is an amendment; it is the initial contract.,,100,"There is no amendment number mentioned, and the document is not an amendment.",INITIAL,100,"The document is the original 2002 ISDA Master Agreement, not an amendment or amended and restated version.",EXECUTED,90,"The agreement is dated and appears to be a finalized contract, not a draft. No explicit 'draft' or 'executed' stamp, but the context and formal language indicate execution."
19e71952e7355a1b9430b779bef312e2.txt,ISDA,98,The document is titled 'AMENDMENT TO ISDA MASTER AGREEMENT' and refers to the ISDA Master Agreement throughout.,2009-03-18,98,"The ISDA Master Agreement being amended is dated as of March 18, 2009, as stated in the text.",2009-06-01,100,"The amendment is 'dated as of June 1, 2009' as stated at the beginning of the document.",,100,There is no mention of an amendment number in the text.,AMENDMENT,100,The document is explicitly titled 'AMENDMENT' and amends the original ISDA Master Agreement.,EXECUTED,95,"The document is labeled 'EXECUTION COPY', which typically indicates an executed agreement."
1a42853f17ac53b1bed201cd4f514e26.txt,ISDA,95,"The document refers to an 'ISDA Master Agreement' and a 'Credit Support Annex', indicating it is related to an ISDA Master Agreement.",2012-11-15,95,"The original ISDA Master Agreement and Credit Support Annex are both dated November 15, 2012, which is the main contract date for amendments.",2013-07-22,98,"The amending agreement is dated as of July 22, 2013, which is the amendment date.",,100,There is no mention of an amendment number in the provided text.,AMENDMENT,100,The document is titled 'AMENDING AGREEMENT' and describes amendments to the original contract.,EXECUTED,90,"The agreement is dated and written in the form of an executed contract, not a draft."
