key,accuracy,support
automatic_early_termination,0.95,20
calculation_agent,0.95,20
credit_event_upon_merger,0.95,20
cross_default,1.0,20
date,1.0,20
governing_law,0.95,20
multibranch_party_A,0.95,20
multibranch_party_A_offices,0.9,20
multibranch_party_B,1.0,20
multibranch_party_B_offices,1.0,20
notices_A,0.95,20
notices_B,1.0,20
party_A,0.95,20
party_B,0.95,20
process_agent_A,1.0,20
process_agent_B,1.0,20
process_agent_address_A,1.0,20
process_agent_address_B,1.0,20
process_agent_name_A,1.0,20
process_agent_name_B,1.0,20
specified_entity_A,1.0,20
specified_entity_B,0.95,20
specified_indebtness_borrowed_money,0.95,20
specified_indebtness_deposits,0.9,20
specified_transaction,1.0,20
termination_currency,0.95,20
threshold_amount_A_amount,1.0,20
threshold_amount_A_currency,1.0,20
threshold_amount_A_percent,1.0,20
threshold_amount_A_percent_reference,1.0,20
threshold_amount_B_amount,0.95,20
threshold_amount_B_currency,1.0,20
threshold_amount_B_percent,1.0,20
threshold_amount_B_percent_reference,1.0,20
