key,accuracy,support
automatic_early_termination,1.0,1
calculation_agent,1.0,1
credit_event_upon_merger,1.0,1
cross_default,1.0,1
date,1.0,1
governing_law,1.0,1
multibranch_party_A,1.0,1
multibranch_party_A_offices,0.0,1
multibranch_party_B,1.0,1
multibranch_party_B_offices,1.0,1
notices_A,1.0,1
notices_B,1.0,1
party_A,1.0,1
party_B,1.0,1
process_agent_A,1.0,1
process_agent_B,1.0,1
process_agent_address_A,1.0,1
process_agent_address_B,1.0,1
process_agent_name_A,1.0,1
process_agent_name_B,1.0,1
specified_entity_A,1.0,1
specified_entity_B,1.0,1
specified_indebtness_borrowed_money,0.0,1
specified_indebtness_deposits,1.0,1
specified_transaction,0.0,1
termination_currency,1.0,1
threshold_amount_A_amount,1.0,1
threshold_amount_A_currency,1.0,1
threshold_amount_A_percent,1.0,1
threshold_amount_A_percent_reference,1.0,1
threshold_amount_B_amount,1.0,1
threshold_amount_B_currency,1.0,1
threshold_amount_B_percent,1.0,1
threshold_amount_B_percent_reference,1.0,1
