filename,field,gold_value,pred_value,gold_explanation
025cb4065e6e551db1bfe44ef44eb83b.txt,parties,Barclays Bank PLC | Party A; World Financial Network Credit Card Master Note Trust | Party B,Barclays Bank PLC; World Financial Network Credit Card | Party A; Master Note Trust | Party B,"The parties are listed as 'Barclays Bank PLC' and 'World Financial Network Credit Card Master Note Trust'. Party A and Party B are referenced, but explicit roles (e.g., Seller/Buyer) are not specified in the provided text."
072e2c5f957e5bce8aea0b2f6e82b01d.txt,parties,"SOCIETE GENERALE | Party A; Each entity listed on Appendix I to the Schedule hereto, severally and not jointly | Party B",SOCIETE GENERALE | Party A; Each entity listed on Appendix I to the Schedule hereto | Party B,"The parties are explicitly named as 'SOCIETE GENERALE (""Party A"")' and 'Each entity listed on Appendix I to the Schedule hereto... (""Party B"")'."
07723bbef4c15ad594583954bfe733e5.txt,parties,"HSBC BANK USA, National Association; Nissan Auto Lease Trust 2008-A","HSBC BANK USA, National Association | Party; Nissan Auto Lease Trust 2008-A | Party",Both parties are explicitly named in the agreement preamble.
07fa350f98f25961a33573aabd9da6d6.txt,parties,"GREENWICH CAPITAL DERIVATIVES, INC. | Party A; NOVASTAR MORTGAGE SUPPLEMENTAL INTEREST TRUST, SERIES 2005-1, a New York common law trust | Party B","GREENWICH CAPITAL DERIVATIVES, INC.; NOVASTAR MORTGAGE SUPPLEMENTAL INTEREST TRUST, SERIES 2005-1, a New York common law trust | Party A",Both parties are clearly named in the agreement with their respective roles as Party A and Party B.
0a0acc69e9325b0e94a7611d0ce572d0.txt,version_type,INITIAL,AMENDMENT,"This is the original transfer and assignment agreement, not an amendment or restatement."
0a0acc69e9325b0e94a7611d0ce572d0.txt,parties,"Merrill Lynch International | Transferee/Assignee; Merrill Lynch Capital Services, Inc. | Transferor/Assignor; PPLUS Trust Series GSC-2 | Counterparty","Merrill Lynch International | Assignee; Merrill Lynch Capital Services, Inc. | Assignor","The parties are explicitly named in the agreement: MLI (Merrill Lynch International), MLCS (Merrill Lynch Capital Services, Inc.), and PPLUS Trust Series GSC-2 as Counterparty."
1159d683a6005af8aba360d1c04cf5dc.txt,parties,SEMPRA ENERGY TRADING LLC | Party A; MXENERGY ELECTRIC INC. | Party B; Specified Entities party thereto,SEMPRA ENERGY TRADING LLC | Party A; MXENERGY ELECTRIC INC. | Party B; THE SPECIFIED ENTITIES PARTY THERETO,"The parties are listed in the opening and recitals: SEMPRA ENERGY TRADING LLC (Party A), MXENERGY ELECTRIC INC. (Party B), and 'Specified Entities party thereto'."
150449ff60495a6ba999893a09fd46fe.txt,parties,"WACHOVIA BANK, NATIONAL ASSOCIATION; NOVASTAR MORTGAGE SUPPLEMENTAL INTEREST TRUST, SERIES 2005-1","WACHOVIA BANK, NATIONAL ASSOCIATION; NOVASTAR MORTGAGE SUPPLEMENTAL INTEREST TRUST, SERIES 2005-1, a New York common law trust | Party A; WACHOVIA BANK, NATIONAL ASSOCIATION; NOVASTAR MORTGAGE SUPPLEMENTAL INTEREST TRUST, SERIES 2005-1, a New York common law trust | Party B","Both party names are listed at the top. Party A and Party B are referenced, but the assignment of which is which is ambiguous in the text provided."
16800388b951529f9e35659108c2f7f1.txt,parties,"Greenwich Capital Derivatives, Inc. | Party A; Deutsche Bank National Trust Company, acting solely as Auction Administrator and intermediary agent for the Holders of the Auction Certificates and not individually or as Trustee or on behalf of Thornburg Mortgage Securities Trust 2004-2 Mortgage Loan Pass-Through Certificates, Series 2004-2 under the Pooling and Servicing Agreement | Party B","Greenwich Capital Derivatives, Inc. | Party A; Deutsche Bank National Trust Company | Party B",Both parties are explicitly named with their respective roles as Party A and Party B.
19e71952e7355a1b9430b779bef312e2.txt,contract_date,2009-03-18,2009-06-01,"The amendment is 'dated as of June 1, 2009', which is the main date associated with this contract."
19e71952e7355a1b9430b779bef312e2.txt,parties,"GMAC Investment Management LLC; Residential Funding Company, LLC","GMAC Investment Management LLC | Party A; Residential Funding Company, LLC | Party B","Both parties are named as entering into the amendment, but specific roles (e.g., Party A/B) are not explicitly assigned in the provided text."
1a42853f17ac53b1bed201cd4f514e26.txt,parties,"THE BANK OF NOVA SCOTIA; HALIFAX FUNDING LLC; CORPORATE CAPITAL TRUST, INC.; THE BANK OF NOVA SCOTIA TRUST COMPANY OF NEW YORK","THE BANK OF NOVA SCOTIA | Party A / Scotia; HALIFAX FUNDING LLC | Party B / Halifax; CORPORATE CAPITAL TRUST, INC. | CCT; THE BANK OF NOVA SCOTIA TRUST COMPANY OF NEW YORK | BNSTrust",All four parties are listed at the beginning of the agreement. No explicit roles are assigned in the provided text.
1acc4999ab0950bd92e59bfa201013c7.txt,parties,Barclays Bank PLC; World Financial Network Credit Card Master Note Trust,Barclays Bank PLC; World Financial Network Credit Card | Party A; Master Note Trust | Party B,"The parties are listed as 'Barclays Bank PLC' and 'World Financial Network Credit Card Master Note Trust'. Roles are not explicitly stated, but they are referred to as Party A and Party B."
1bf939a8b886502e87c23b970ab61d1b.txt,version_type,INITIAL,AMENDMENT,"This is the initial and only version of the Termination Acknowledgment, not an amendment or restatement."
1bf939a8b886502e87c23b970ab61d1b.txt,parties,"Citibank, N.A. | Citibank; EP Investments LLC | Counterparty","Citibank, N.A. | Party; EP Investments LLC | Counterparty","The parties are explicitly named as 'Citibank, N.A.' and 'EP Investments LLC (the Counterparty)' in the reference section."
1d944ee3ddab55fca2012dbe7e8a32a7.txt,version_type,INITIAL,OTHER,"This is a schedule of assumed and assigned executory contracts, which typically accompanies an initial contract or transaction, not an amendment or restatement."
