index,clause_key,confidence,text
0,,10,SCHEDULE
1,,10,to the
2,,10,ISDA 2002 Master Agreement
3,,10,"dated as of March 20, 2019"
4,,10,between
5,,10,"CITIBANK, N.A.,"
6,,10,"a national banking association organized under the laws of the United States,"
7,,10,"acting through its Office located in New York, London, Singapore, Sydney"
8,affiliate,90,"(""Party A"")"
9,,10,and
10,,10,"FARMER BROS. CO.,"
11,,10,a corporation organized and existing
12,,10,under the laws of Delaware
13,affiliate,90,"(""Party B"")"
14,,10,Part 1
15,additional_termination_events,85,Termination Provisions
16,,10,In this Agreement:
17,specified_entity,95,"(a) ""Specified Entity"" means for the purpose of Section 5(a)(v) of this Agreement, (i) in relation to Party A, Citigroup Global Markets Limited, Citigroup Global Markets Inc., Citigroup Global Markets Commercial Corp., Citicorp Securities Services, Inc., Citibank Europe PLC, Citigroup Global Markets Deutschland AG, Citigroup Energy Inc., Citibank Japan Ltd., Citibank Canada, Citigroup Energy Canada ULC, and Citigroup Financial Products Inc."
18,specified_entity,95,"(individually a ""Section 5(a)(v) Affiliate""), and (ii) in relation to Party B, Not Applicable."
19,specified_transaction,95,"(b) ""Specified Transaction"" will have the meaning specified in Section 14 of this Agreement. For purposes of clause (c) of such definition, Specified Transaction includes any securities options, margin loans, short sales, any agreement governing the purchase, sale, transfer, exchange or option of a commodity, or any other commodity trading transaction and any other similar transaction now existing or hereafter entered into between Party A (or any Section 5(a)(v) Affiliate) and Party B (or any Affiliate of Party B). For this purpose, ""commodity"" means any tangible or intangible commodity of any type or"
20,,10,Execution Copy
21,,10,Ref. No. CB25-792
22,specified_transaction,90,"description, including without limitation power, natural gas, petroleum (and the products and by-products thereof), emissions allowances, precious metals and coal."
23,cross_default,95,"(c) The ""Cross Default"" provisions of Section 5(a)(vi) will apply to Party A and will apply to Party B., provided that Section 5(a)(vi) is hereby amended by deleting the words "", or becoming capable at such time of being declared"" in the seventh line thereof,"
24,,10,"For purposes of Section 5(a)(vi), the following provisions apply:"
25,specified_indebtness,95,"""Specified Indebtedness"" shall have the meaning set forth in Section 14 of this Agreement, provided, however, that Specified Indebtedness shall not include deposits received in the course of a party's ordinary banking business."
26,threshold_amount,95,"""Threshold Amount"" means"
27,threshold_amount,95,"(i) with respect to Party A, 2% of the stockholders' equity of Party A; and"
28,threshold_amount,95,"(ii) with respect to Party B, USD 10,000,000"
29,threshold_amount,95,"including the U.S. Dollar equivalent, as determined by the Calculation Agent, on the date of any default, event of default or other similar condition or event of any obligation stated in any other currency."
30,,80,"For purposes of the above, stockholders' equity shall be determined by reference to the relevant party's most recent consolidated (quarterly, in the case of a U.S. incorporated party) balance sheet and shall include, in the case of a U.S. incorporated party, legal capital, paid-in capital, retained earnings and cumulative translation adjustments. Such balance sheet shall be prepared in accordance with accounting principles that are generally accepted in such party's country of organization."
