index,clause_key,confidence,text
0,,100,SCHEDULE
1,,100,to the
2,,100,ISDA 2002 Master Agreement
3,,100,"dated as of January 19, 2016"
4,,100,between
5,,100,"CITIBANK, N.A., a national banking association organized under the laws of the United States (""Party A "")"
6,,100,and
7,,100,"CHELTENHAM FUNDING LLC, a limited liability company formed under the laws of the State of Delaware (""Party B "")"
8,,100,Part 1 Termination Provisions
9,specified_entity,95,In this Agreement:
10,specified_entity,95,"(a)           ""Specified Entity "" means:"
11,specified_entity,95,"(i)            in relation to Party A, for the purpose of Section 5(a)(v) of this Agreement, Citigroup Global Markets Limited, Citigroup Global Markets Inc., Citigroup Global Markets Commercial Corp., Citicorp Securities Services, Inc., Citibank Europe PLC, Citigroup Financial Products Inc., Citigroup Global Markets Deutschland AG, Citigroup Energy Inc., Citibank Canada, Citigroup Energy Canada ULC, Citibank International Limited and Citibank Japan Ltd."
12,specified_entity,90,"(individually a ""Section 5(a)(v) Affiliate ""), and for all other purposes not applicable; and"
13,specified_entity,95,"(ii)            in relation to Party B, for the purpose of Sections 5(a)(v), 5(a)(vi), 5(a)(vii) and 5(b)(v) of this Agreement, FS Investment Corporation IV, a Maryland corporation (the ""Party B Investor "")."
14,specified_transaction,90,"(b)           ""Specified Transaction "" will have the meaning specified in Section 14 of this Agreement. For purposes of clause (c) of such definition, Specified Transaction includes any securities options,"
15,specified_transaction,90,"margin loans, short sales, and any other similar transaction now existing or hereafter entered into between Party A or any Section 5(a)(v) Affiliate, on the one hand, and Party B or any Specified Entity of Party B, on the other hand."
16,cross_default,95,"(c)           The ""Cross Default "" provisions of Section 5(a)(vi) will apply to Party A and will apply to Party B; provided that, notwithstanding the foregoing, an Event of Default shall not occur under either (1) or (2) therein if (a) the event or condition referred to in (1) or the failure to pay referred to in (2) is a failure to pay caused by an error or omission of an administrative or operational nature; (b) funds were available to such party to enable it to make the relevant payment when due; and (c) such relevant payment is made within three Local Business Days following the discovery of the error or failure."
17,cross_default,90,"For purposes of Section 5(a)(vi), the following provisions apply:"
18,specified_indebtness,95,"""Specified Indebtedness "" shall have the meaning set forth in Section 14 of this Agreement; provided that Specified Indebtedness shall not include deposits received in the course of a party's ordinary banking business."
19,threshold_amount,95,"""Threshold Amount "" means"
20,threshold_amount,95,"(i) with respect to Party A, 2% of the stockholders' equity of Party A;"
21,threshold_amount,95,"(ii) with respect to Party B, USD100,000; and"
22,threshold_amount,95,"(iii) with respect to the Party B Investor, the lesser of USD10,000,000 and 2% of the Net Asset Value of the Party B Investor;"
23,threshold_amount,90,"including the U.S. Dollar equivalent on the date of any default, event of default or other similar condition or event of any obligation stated in any other currency."
24,,80,"For purposes of the above, stockholders' equity shall be determined by reference to the relevant party's most recent consolidated (quarterly, in the case of a U.S. organized party) balance sheet and shall include, in the case of a U.S. organized party, legal capital, paid-in capital, retained earnings and cumulative translation adjustments. Such balance sheet shall be prepared in accordance with accounting principles that are generally accepted in such party's country of organization."
25,nav_trigger,85,"For purposes of the above, ""Net Asset Value "" means, in relation to the Party B Investor, its net asset value calculated in accordance with the requirements of the Investment Company Act of 1940, as amended, and all applicable rules and regulations promulgated under the U.S. Federal securities laws, including Regulation S-X."
26,credit_event_upon_merger,95,"(d)          The ""Credit Event Upon Merger "" provisions of Section 5(b)(v) of this Agreement will apply to Party A and will apply to Party B (and to the Party B Investor)."
27,automatic_early_termination,95,"(e)          The ""Automatic Early Termination "" provisions of Section 6(a) will not apply to Party A and will not apply to Party B."
28,,100,2
29,termination_currency,95,"(f)              ""Termination Currency "" means United States Dollars."
30,additional_termination_events,95,"(g)             ""Additional Termination Event "": The following shall constitute Additional Termination Events (and, with respect to each such Additional Termination Event other than that provided under clause (14) below, Party B will be the sole Affected Party, and all Transactions will be Affected Transactions):"
31,ownership,90,"(1)            Without Party A's prior written consent, (x) the Party B Investor changes its jurisdiction of organization and/or organizational form from a corporation incorporated under the laws of the State of Maryland or (y) any amendment, supplement or other modification is made to the articles of incorporation or bylaws of the Party B Investor, in each case, to the extent such change, amendment, supplement or other modification has, or could reasonably be expected to have, a Material Adverse Effect."
