index,clause_key,confidence,text
0,,100,SCHEDULE
1,,100,to the
2,,100,2002 Master Agreement
3,,100,"dated as of June 13th, 2022"
4,,100,between
5,,100,SOCIÉTÉ GÉNÉRALE
6,,100,"( ""Party A"")"
7,,100,and
8,,100,"each entity listed on Appendix I to the Schedule hereto, severally and not jointly (each such entity, ""Party B"")"
9,,95,"Each party listed on Appendix I hereto, which may be amended from time to time, shall be referred to individually as ""Party B"". It is understood and agreed that this Agreement (the ISDA Master Agreement, Schedule and Credit Support Annex) shall take effect as a separate agreement between Party A and each Party B in respect of Transactions entered into between them as if each Party B had executed a separate document naming only itself as Party B (a ""Separate Agreement"") and that no party listed on this Appendix I shall have any liability under this document for the obligations of any other party so listed."
10,,95,"In particular, without limitation, Section 1(c) shall take effect so that a single agreement shall be formed by the Agreement and all Confirmations between Party A and each individual Party B and the provisions of Section 5 and 6 shall apply separately in relation to each Party B so that an Event of Default in respect of one Party B shall not be treated as an Event of Default in respect of any other Party B."
11,,95,"With respect to any particular Party B, only Confirmations of Transactions between Party A and that particular Party B shall be part of the Separate Agreement between Party A and that Party B, references in the Agreement to the Schedule shall be deemed to refer to the Schedule as prepared for such party and the term ""this Agreement"" shall be construed accordingly."
12,,100,Part 1
13,,100,Termination Provisions
14,specified_entity,100,"(a)	 "" Specified Entity"" means in relation to Party A for the purpose of:―"
15,specified_entity,100,Section 5(a)(v): Not applicable Section 5(a)(vi): Not applicable Section 5(a)(vii): Not applicable Section 5(b)(v): Not applicable
16,specified_entity,100,and in relation to Party B for the purpose of:
17,specified_entity,100,Section 5(a)(v): Not applicable Section 5(a)(vi): Not applicable Section 5(a)(vii): Not applicable Section 5(b)(v): Not applicable
18,,90,"(b)	 _Notwithstanding the provisions of Section 14, unless otherwise agreed to by the parties, the ""Default Rate"" shall be a rate per annum equal to the Federal Funds (Effective) rate in effect for such day as published in the most recent weekly statistical release designated as H.15(519) or any successor publication, published by the Board of Governors of the Federal Reserve System, plus 1%._"
19,specified_transaction,100,"(c)	 "" Specified Transaction"" will have the meaning specified in Section 14 of this Agreement."
20,cross_default,100,"(d)	 The "" Cross-Default"" provisions of Section 5(a)(vi) will apply to Party A and to Party B, provided that (i) the phrase ""or becoming capable at such time of being declared"" shall be deleted from clause (1) of such Section 5(a)(vi); and (ii) the following language shall be added to the end thereof:--"
21,cross_default,100,"""Notwithstanding the foregoing, a default under subsection (2) hereof shall not constitute an Event of Default if (i) the default was caused solely by error or omission of an administrative or operational nature; (ii) funds were available to enable the party to make the payment when due; and (iii) the payment is made within two Local Business Days of such party's receipt of written notice of its failure to pay."""
22,specified_indebtness,100,"""Specified Indebtedness"" in relation to Party A, will have the meaning specified in Section 14 of this Agreement but shall exclude indebtedness in respect of deposits received in the ordinary course of business."
23,threshold_amount,100,"""Threshold Amount"" means with respect to Party A, an amount equal to 3% of shareholder's equity, and with respect to Party B: 3% of its Net Asset Value."
24,credit_event_upon_merger,100,"(e)	 The "" Credit Event Upon Merger"" provisions of Section 5(b)(v) will apply to Party A and Party B."
25,automatic_early_termination,100,"(f)	 The "" Automatic Early Termination"" provision of Section 6(a) will not apply to Party A and Party B."
26,termination_currency,100,"(g)	 "" Termination Currency"" means USD."
27,additional_termination_events,100,"(h)	 Additional Termination Event. The occurrence of the following event shall constitute an Additional Termination Event with respect to Party A, with Party A as the sole Affected Party and all Transactions as Affected Transactions:"
28,credit_rating_downgrade,100,""" Ratings Event"" means, with respect to Party A:"
29,credit_rating_downgrade,100,"On any day during the term hereof, the rating of the long-term, unsecured and unsubordinated indebtedness of Party A or its Credit Support Provider, if any, is withdrawn, suspended or reduced below BBB-, if rated by Standard & Poor's Ratings Group and Baa2, if rated by Moody's Investors Service, Inc., or if Party A's aforementioned obligations do not have a rating by at least one of these agencies. For the purpose of this event, Party A will be the sole Affected Party."
30,additional_termination_events,100,The occurrence of the following event shall constitute an Additional Termination Event with respect to Party B with Party B as the sole Affected Party and all Transactions as the Affected Transactions:
31,asset_floor,100,"(1)	 ""Total Net Assets ( ""TNA"") Decline Event"" means, with respect to Party B, the TNA of Party B as of any date is less than $1.5 billion."
