index,clause_key,confidence,text
0,,100,SCHEDULE
1,,100,to the
2,,100,2002 MASTER AGREEMENT
3,,100,"dated as of 5  May, 2008"
4,,100,between
5,,100,"JPMORGAN CHASE BANK, N.A. ( ""Party A"") 	   	 and       	    	  BARNES GROUP INC. ( ""Party B"")"
6,,100,PART 1
7,,100,Termination Provisions
8,specified_entity,100,"(1) 	 ""Specified Entity "" means, in relation to Party A, for the purpose of:"
9,specified_entity,100,"Section  5(a)(v), any Affiliate of Party A;"
10,specified_entity,100,"Section  5(a)(vi), none;"
11,specified_entity,100,"Section  5(a)(vii), none; and"
12,specified_entity,100,"Section  5(b)(v), none;"
13,specified_entity,100,"and, in relation to Party B, for the purpose of:"
14,specified_entity,100,"Section  5(a)(v), any Affiliate of Party B;"
15,specified_entity,100,"Section  5(a)(vi), none;"
16,specified_entity,100,"Section  5(a)(vii), none; and"
17,specified_entity,100,"Section  5(b)(v), none."
18,specified_transaction,100,"(2) 	 ""Specified Transaction "" will have the meaning specified in Section 14 of this Agreement."
19,cross_default,100,"(3) 	 The ""Cross-Default "" provisions of Section 5(a)(vi) will apply to Party A and Party B, and for such purpose:"
20,specified_indebtness,100,"(a) 	 ""Specified Indebtedness "" will have the meaning specified in Section 14 of this Agreement, except that such term shall not include obligations in respect of deposits received in the ordinary course of a party's banking business."
21,threshold_amount,100,"(b) 	 ""Threshold Amount "" means, with respect to Party A, an amount equal to three percent of the shareholders' equity of Party A; and with respect to Party B, USD 20,000,000 or the equivalent thereof in any other currency or currencies."
22,cross_default,100,"(c) 	 Section 5(a)(vi) of this Agreement will be deemed to be amended to include the following Clause ""(3)"":"
23,cross_default,100,"""or (3) a default, event of default, or other similar condition or event (however described) occurs and is continuing which entitles any person or entity to terminate its commitment under any agreement to lend or advance or make available funds to a party (or any applicable Specified Entity) in respect of an aggregate amount in excess of the Threshold Amount."""
24,credit_event_upon_merger,100,"(4) 	 The ""Credit Event Upon Merger "" provisions of Section 5(b)(v) will apply to Party A and Party B; provided, however, that if the applicable party has long term, unsecured and unsubordinated indebtedness or deposits which is or are publicly rated (such rating, a ""Credit Rating"") by Moody's Investor Services, Inc. (""Moody's""), Standard and Poors Ratings Group (""S&P"") or any other internationally recognized rating agency (a ""Rating Agency""), then the words ""materially weaker"" in line 6 of Section 5(b)(v) shall mean that the Credit Rating of such party (or, if applicable, the Credit Support Provider of such party) shall be rated lower than Baa3 by Moody's, or lower than BBB- by S&P or, in the event that there is no Credit Rating by either Moody's or S&P applicable to such party (or, if applicable, the Credit Support Provider of such party) but such party's long-term indebtedness or deposits is or are rated by a Rating Agency, lower than a rating equivalent to the foregoing by such Rating Agency."
25,automatic_early_termination,100,"(5) 	 The ""Automatic Early Termination "" provision of Section 6(a) will not apply to Party A or Party B."
26,termination_currency,100,"(6) 	 ""Termination Currency "" will have the meaning set forth in Section 14 of this Agreement."
27,additional_termination_events,100,(7) 	 Additional Termination Event will not apply.
28,,100,PART 2
29,tax_representations,100,Tax Representations
30,tax_representations,100,(A) 	 Tax  Representations. For the purpose of Section 3(f) of this Agreement:
31,payer_representations,100,"(i) 	 Party A and Party B each represent, respectively, that it is a United States Person for U.S. federal income tax purposes and either (a) is a financial institution or (b) is not acting as an agent for a person that is not a United States Person for U.S. federal income tax purposes."
32,payer_representations,100,(ii) 	 Party B represents in respect of each Transaction where Party A's Office for the Transaction is not located in the United States of America:
33,payer_representations,100,"Party B is fully eligible for the benefits of the ""Business Profits"" or ""Industrial and Commercial Profits"" provision, as the case may be, the ""Interest"" provision and the ""Other Income"" provision (if any) of the income tax treaty (if any), in effect between the jurisdiction of Party A's Office for the Transaction and the United States of America with respect to any payment described in such provisions and received or to be received by it in connection with this Agreement and no such payment is attributable to a trade or business carried on by it through a permanent establishment in the jurisdiction through which Party A has entered the relevant Transaction."
34,,100,PART 3
35,documents,100,Agreement to Deliver Documents
36,documents,100,"For the purpose of Sections 4(a)(i) and 4(a)(ii) of this Agreement, each party agrees to deliver the following documents:"
37,delivery_of_tax_forms,100,"(a) 	 Tax forms, documents or certificates to be delivered are:"
