index,clause_key,confidence,text
0,,100,SCHEDULE
1,,100,to the
2,,100,2002 Master Agreement
3,,100,"dated as of March 10, 2011"
4,,100,between
5,,100,"BANK OF AMERICA, N.A.,"
6,,100,"a national banking association organized and existing under the laws of the United States of America,"
7,,100,"(""Party A"")"
8,,100,and
9,,100,"NATURAL ALTERNATIVES INTERNATIONAL, INC.,"
10,,100,"a corporation organized and existing under the laws of California,"
11,,100,"(""Party B"")"
12,,100,Part 1
13,,100,Termination Provisions
14,specified_entity,100,"(a) 	 ""Specified Entity "" means in relation to Party A for the purpose of Sections 5(a)(v), 5(a)(vi), 5(a)(vii) and 5(b)(v): none;"
15,specified_entity,100,"""Specified Entity "" means in relation to Party B for the purpose of Sections 5(a)(v), 5(a)(vi), 5(a)(vii) and 5(b)(v): any Affiliate of Party B."
16,specified_transaction,95,"(b) 	 ""Specified Transaction "" will have the meaning specified in Section 14 but shall also include any transaction with respect to margin loans, cash loans and short sales of any financial instrument, and as amended by inserting the words, ""or any Affiliate of Party A"" immediately after ""Agreement"" in the second line thereof."
17,cross_default,100,"(c) 	 The ""Cross-Default "" provisions of Section 5(a)(vi):"
18,cross_default,100,will apply to Party A and
19,cross_default,100,will apply to Party B.
20,specified_indebtness,100,"In connection therewith, "" Specified Indebtedness"" will not have the meaning specified in Section 14, and such definition shall be replaced by the following: ""any obligation in"
21,specified_indebtness,100,"respect of the payment or repayment of moneys (whether present or future, contingent or otherwise, as principal or surety or otherwise), including, but without limitation, any obligation in respect of borrowed money except that such term shall not include obligations in respect of deposits received in the ordinary course of a party's banking business."""
22,threshold_amount,100,""" Threshold Amount"" means with respect to Party A an amount equal to three percent (3%) of the Shareholders' Equity of Bank of America Corporation and with respect to Party B, zero ($0)."
23,,90,""" Shareholders' Equity"" means with respect to an entity, at any time, the sum (as shown in the most recent annual audited financial statements of such entity) of (i) its capital stock (including preferred stock) outstanding, taken at par value, (ii) its capital surplus and (iii) its retained earnings, minus (iv) treasury stock, each to be determined in accordance with generally accepted accounting principles."
24,credit_event_upon_merger,100,"(d) 	 The ""Credit Event Upon Merger "" provisions of Section 5(b)(v):"
25,credit_event_upon_merger,100,will apply to Party A
26,credit_event_upon_merger,100,will apply to Party B
27,automatic_early_termination,100,"(e) 	 The ""Automatic Early Termination "" provision of Section 6(a):"
28,automatic_early_termination,100,will not apply to Party A
29,automatic_early_termination,100,will not apply to Party B.
30,termination_currency,100,"(f) 	 ""Termination Currency "" means United States Dollars."
31,additional_termination_events,100,(g) 	 Additional Termination Event will not apply.
32,,100,Part 2
33,,100,Tax Representations
34,payer_representations,100,"(a) 	 Payer Tax Representations. For the purpose of Section 3(e) of this Agreement, Party A and Party B will make the following representation:-"
35,payer_representations,100,"It is not required by any applicable law, as modified by the practice of any relevant governmental revenue authority, of any Relevant Jurisdiction to make any deduction or withholding for or on account of any Tax from any payment (other than interest under Section 9(h) of this Agreement) to be made by it to the other party under this Agreement. In making this representation, it may rely on (i) the accuracy of any representations made by the other party pursuant to Section 3(f) of this Agreement, (ii) the satisfaction of the agreement contained in Section 4(a)(i) or 4(a)(iii) of this Agreement and the accuracy and effectiveness of any document provided by the other party pursuant to Section 4(a)(i) or 4(a)(iii) of this Agreement and (iii) the satisfaction of the agreement of the other party contained in Section 4(d) of this Agreement, except that it will not be a breach of this representation where reliance is placed on clause (ii) above and the other party does not deliver a form or document under Section 4(a)(iii) by reason of material prejudice to its legal or commercial position."
36,payee_representations,100,"(b) 	 Payee Tax Representations. For the purpose of Section 3(f) of this Agreement, Party A and Party B will make the following representations specified below, if any:-"
37,payee_representations,100,(i) 	 The following representations will apply to Party A:
38,payee_representations,100,Party A is a national banking association created or organized under the laws of the United States of America and the federal taxpayer identification number is 94-1687665.
39,payee_representations,100,(ii) 	 The following representations will apply to Party B:
40,payee_representations,100,Party B is a corporation created or organized under the laws of the State of California and the federal taxpayer identification number is 84-1007839.
41,,100,Part 3
42,,100,Agreement to Deliver Documents
43,,100,"For the purpose of Section 4(a)(i) and (ii) of this Agreement, each party agrees to deliver the following documents:"
44,delivery_of_tax_forms,100,"(a) 	 Tax forms, documents or certificates to be delivered are:"
