index,clause_key,confidence,text
0,,100,ISDA®
1,,100,"International Swaps and Derivatives Association, Inc."
2,,100,SCHEDULE
3,,100,to the
4,,100,2002 Master Agreement
5,,100,"dated as of April 2, 2020"
6,,100,between
7,,100,"HSBC BANK USA, NATIONAL ASSOCIATION,"
8,,100,a national banking association organized and existing
9,,100,under the laws of the United States of America
10,,100,"(""Party A""),"
11,,100,and
12,,100,"ADVANCED ENERGY INDUSTRIES, INC.,"
13,,100,a corporation
14,,100,organized and existing under the laws of the State of Delaware
15,,100,"(""Party B"")"
16,,100,Part 1
17,,100,Termination Provisions
18,specified_entity,100,"(a)         ""Specified Entity"" means in relation to Party A for the purposes of Sections 5(a)(v), 5(a)(vi), 5(a)(vii) and 5(b)(v):"
19,specified_entity,100,None.
20,specified_entity,100,"""Specified Entity"" means in relation to Party B for the purposes of Sections 5(a)(v), 5(a)(vi), 5(a)(vii) and 5(b)(v):"
21,specified_entity,100,None.
22,specified_transaction,95,"(b)         ""Specified Transaction"" will have the meaning specified in Section 14\.  The ""Default under Specified Transaction"" provisions of Section 5(a)(v) of this Agreement will not apply with respect to Party A or Party B or any Credit Support Provider of Party B."
23,cross_default,100,"(c)         The ""Cross-Default""  provisions of Section 5(a)(vi) will apply to Party A and will apply to Party B; provided, that (i) the phrase "", or becoming capable at such time of being declared,"" is deleted from Section 5(a)(vi)(1);  (ii) the phrase ""which has resulted in such Specified Indebtedness becoming due and payable under such agreements or instruments before it would otherwise have been due and payable"" is inserted in Section 5(a)(vi)(2) immediately before the semi-colon; and (iii) an Event of Default shall not occur with respect to a party under Section 5(a)(vi) when the failure to pay or"
24,cross_default,100,"deliver, or the default, event of default or other similar condition or event, as the case may be, arises solely (A) out of a wire transfer problem or an operational or administrative error or omission (so long as the required funds or property required to make that payment or delivery were otherwise available to that party), or (B) from the general unavailability of the relevant currency due to exchange controls or other similar governmental action, but in either case only if the payment or delivery is made within three Local Business Days after the problem has been corrected, the error or omission has been discovered or the currency becomes generally available."
25,specified_indebtness,100,"In connection therewith, ""Specified Indebtedness"" will have the meaning specified in Section 14, except that such term shall not include (i) obligations in respect of deposits received in the ordinary course of a party's banking business and (ii) Non-recourse Indebtedness.  For purposes of this definition, indebtedness is ""Non-recourse Indebtedness"" to the extent that it is non‑recourse to the party incurring such indebtedness except recourse to assets acquired with such indebtedness or dividends received by such party on account of such acquired assets."
26,threshold_amount,100,"""Threshold Amount"" means with respect to (i) Party A, an amount equal to three percent (3%) of Party A's shareholders' equity as published in its most recent audited consolidated annual financial statements, or its equivalent in any other currency; and (ii) Party B, USD 50,000,000, or such larger amount used in Section 8.01(e) of the Credit Agreement with respect to a cross-default ""Event of Default"" (as such term is used in the Credit Agreement) or a similar provision in the Credit Agreement as modified after the date of this Agreement."
27,cross_default,90,"With respect to Party B, any ""Event of Default"" under and as defined in the Credit Agreement which has resulted in Party B's obligations under the Credit Agreement becoming due and payable before they would otherwise have been payable shall be an Event of Default under this Agreement."
28,,80,"""Credit Agreement"" means that certain Credit Agreement dated as of September 10, 2019 among Advanced Energy Industries, Inc.,  as Borrower, certain Subsidiaries of the Borrower party thereto, as the Guarantors, Bank of America, N.A., as the Administrative Agent, Bank of America, N.A., Bank of the West and HSBC Bank USA, N.A., as the Joint Lead Arrangers and Joint Book Runners, Citibank, N.A., as the Co-Manager,  and the Lenders from time to time party thereto, and as the same may be amended, supplemented, restated, renewed, extended, replaced or otherwise modified from time to time."
29,,80,Capitalized terms used herein and not otherwise defined herein shall have the meaning ascribed to such terms in the Credit Agreement.
30,credit_event_upon_merger,100,"(d)        The ""Credit Event Upon Merger"" provisions of Section 5(b)(v) will apply to Party A and will apply to Party B, as amended by deleting subparagraphs (2) and (3), and inserting the word ""or"" immediately after the semi-colon at the end of subparagraph (1); provided that any event permitted under the terms of the Credit Agreement which would otherwise constitute a Credit Event Upon Merger under this Agreement with respect to Party B or any Credit Support Provider of Party B, shall not constitute a Credit Event Upon Merger under this Agreement."
31,automatic_early_termination,100,"(e)         The ""Automatic Early Termination"" provision of Section 6(a) will not apply to Party A and will not apply to Party B."
32,termination_currency,100,"(f)         ""Termination Currency"" means United States Dollars."
33,additional_termination_events,100,"(g)         Additional Termination Event will apply. It shall be an Additional Termination Event, with respect to which Party B shall be the sole Affected Party, if, after the date of this Agreement, the Credit Agreement is amended, supplemented, restated, renewed, extended, replaced or otherwise modified to grant a security interest to the Lenders under the Credit Agreement (whether in the Credit Agreement or in a related security agreement securing Loans under the Credit Agreement)"
34,additional_termination_events,100,"that secures the obligations and liabilities of Party B under the Loans, but fails to also secure the obligations and liabilities of Party B under this Agreement on a pari passu basis equal in right and priority of payment with the outstanding principal obligations of Party B under the Loans (and for the avoidance of doubt, if there are multiple tranches of Loans, the most senior tranche).  Notwithstanding anything to the contrary in the Credit Agreement or in this Agreement, this Part 1(g) Additional Termination Event shall only be applied when the Lenders become secured under the Credit Agreement following the date of this Agreement."
35,failure_to_pay,100,"(h)         Failure to Pay.  Section 5(a)(i) is hereby amended by replacing the word ""first"" with the word ""third"" each time it appears."
36,other_termination_events,90,"(i)          Optional Termination.  On any Business Day (the ""Optional Termination Date""), Party B may terminate and cash settle any Transaction hereunder in whole or in part; provided that, Party B will provide at least three days' prior written notice to Party A designating the Optional Termination Date. The amount due with respect to any such termination shall be determined pursuant to Section 6 of this Agreement as if (i) the Optional Termination Date is the Early Termination Date; (ii) Party B is the sole Affected Party (for all purposes other than the election to terminate), and (iii) such Transaction is the sole Affected Transaction. If a Transaction is to be terminated in part, the notice thereof provided by Party B shall specify the portion of the Notional Amount of such Transaction to be terminated, and the parties shall execute an amendment to the Confirmation for such Transaction to reflect the revised Notional Amount and the corresponding pro rata reductions on each amortization schedule reduction date for the revised Notional Amount."
37,,100,Part 2
38,,100,Tax Representations
39,payer_representations,100,"(a)         Payer Tax Representations.  For the purpose of Section 3(e) of this Agreement, Party A and Party B will make the following representation:"
