index,clause_key,confidence,text
0,,100,ISDA ®
1,,100,"International Swaps and Derivatives Association, Inc."
2,,100,SCHEDULE
3,,100,to the
4,,100,2002 Master Agreement
5,,100,"dated as of March 22, 2011"
6,,100,between
7,,100,"BANK OF AMERICA, N.A.,"
8,,100,a national banking association organized and existing
9,,100,"under the laws of the United States of America,"
10,,100,"(""Party A"")"
11,,100,and
12,,100,"LKQ CORPORATION,"
13,,100,"a corporation organized and existing under the laws of Delaware,"
14,,100,"(""Party B"")"
15,,100,Part 1
16,,100,Termination Provisions
17,specified_entity,100,"(a) 	 ""Specified Entity "" means in relation to Party A for the purpose of Section 5(a)(v), any Affiliate of Party A, and for the purposes of Sections 5(a)(vi), 5(a)(vii) and 5(b)(v): none;"
18,specified_entity,100,"""Specified Entity "" means in relation to Party B for the purpose of Section 5(a)(v), any Affiliate of Party B, and for the purposes of Sections 5(a)(vi), 5(a)(vii) and 5(b)(v): none."
19,specified_transaction,100,"(b) 	 ""Specified Transaction "" will have the meaning specified in Section 14 but shall also include any transaction with respect to margin loans, cash loans and short sales of any financial instrument, and as amended by inserting the words, ""or any Affiliate of Party A"" immediately after ""Agreement"" in the second line thereof."
20,cross_default,100,"(c) 	 The ""Cross-Default "" provisions of Section 5(a)(vi):"
21,cross_default,100,will apply to Party A and
22,cross_default,100,will apply to Party B.
23,specified_indebtness,100,"In connection therewith, "" Specified Indebtedness"" will not have the meaning specified in Section 14, and such definition shall be replaced by the following: ""any obligation in respect of the payment or repayment of moneys (whether present or future, contingent or otherwise, as principal or surety or otherwise), including, but without limitation, any obligation in respect of borrowed money except that such term shall not include obligations in respect of deposits received in the ordinary course of a party's banking business."""
24,threshold_amount,100,""" Threshold Amount"" means with respect to Party A an amount equal to three percent (3%) of the Shareholders' Equity of Bank of America Corporation and with respect to Party B, $50,000,000."
25,other_documents,80,""" Credit Agreement"" means the Credit Agreement dated as of October 12, 2007, as amended by the First Amendment to Credit Agreement dated as of October 26, 2007 and as further amended by the Second Amendment, Waiver and Consent to Credit Agreement; and First Amendment to Guarantee and Collateral Agreement dated as of October 21, 2009 (the ""DB Credit Agreement"") among LKQ Corporation and LKQ Delaware LLP, as Borrowers, Lehman Commercial Paper Inc., as Existing Administrative Agent, Deutsche Bank AG New York Branch, as Successor Administrative Agent and the Lenders party thereto and Subsidiary Guarantors party thereto (and as defined therein), (as amended, extended, supplemented or otherwise modified in writing from time to time); and upon execution of the Credit Agreement dated on or about March/April      , 2011 (the ""JPMorgan Credit Agreement"") among LKQ Corporation and LKQ Delaware LLP, the Lenders party thereto from time to time, JPMorgan Chase Bank, N.A., as Administrative Agent, Bank of America, N.A., as Syndication Agent, and RBS Citizens, N.A. and Wells Fargo Bank, National Association, as Co-Documentation Agents, ""Credit Agreement"" shall mean to be JPMorgan Credit Agreement as amended, extended, supplemented or otherwise modified in writing from time to time."
26,,80,""" Shareholders' Equity"" means with respect to an entity, at any time, the sum (as shown in the most recent annual audited financial statements of such entity) of (i) its capital stock (including preferred stock) outstanding, taken at par value, (ii) its capital surplus and (iii) its retained earnings, minus (iv) treasury stock, each to be determined in accordance with generally accepted accounting principles."
27,credit_event_upon_merger,100,"(d) 	 The ""Credit Event Upon Merger "" provisions of Section 5(b)(v):"
28,credit_event_upon_merger,100,will apply to Party A
29,credit_event_upon_merger,100,will apply to Party B
30,automatic_early_termination,100,"(e) 	 The ""Automatic Early Termination "" provision of Section 6(a):"
31,automatic_early_termination,100,will not apply to Party A
32,automatic_early_termination,100,will not apply to Party B.
33,termination_currency,100,"(f) 	 ""Termination Currency "" means United States Dollars."
34,additional_termination_events,100,(g) 	 Additional Termination Event will apply.
35,additional_termination_events,100,"It shall be an Additional Termination Event hereunder, with respect to which Party B shall be the sole Affected Party, if (1) an Event of Default (as defined in the Credit Agreement) occurs under the Credit Agreement, or if (2) the Credit Agreement shall be paid or prepaid in full, expire, terminate, or otherwise cease to be in full effect, provided, however, that the replacement of the DB Credit Agreement with the JPMorgan Credit Agreement shall not constitute an Additional Termination Event hereunder."
36,,100,Part 2
37,,100,Tax Representations
38,payer_representations,100,"(a) 	 Payer Tax Representations. For the purpose of Section 3(e) of this Agreement, Party A and Party B will make the following representation:-"
39,payer_representations,100,"It is not required by any applicable law, as modified by the practice of any relevant governmental revenue authority, of any Relevant Jurisdiction to make any deduction or withholding for or on account of any Tax from any payment (other than interest under Section 9(h) of this Agreement) to be made by it to the other party under this Agreement. In making this representation, it may rely on (i) the accuracy of any representations made by the other party pursuant to Section 3(f) of this Agreement, (ii) the satisfaction of the agreement contained in Section 4(a)(i) or 4(a)(iii) of this Agreement and the accuracy and effectiveness of any document provided by the other party pursuant to Section 4(a)(i) or 4(a)(iii) of this Agreement and (iii) the satisfaction of the agreement of the other party contained in Section 4(d) of this Agreement, except that it will not be a breach of this representation where reliance is placed on clause (ii) above and the other party does not deliver a form or document under Section 4(a)(iii) by reason of material prejudice to its legal or commercial position."
40,payee_representations,100,"(b) 	 Payee Tax Representations. For the purpose of Section 3(f) of this Agreement, Party A and Party B will make the following representations specified below, if any:-"
41,payee_representations,100,(i) 	 The following representations will apply to Party A:
42,payee_representations,100,Party A is a national banking association created or organized under the laws of the United States of America and the federal taxpayer identification number is 94-1687665.
43,payee_representations,100,(ii) 	 The following representations will apply to Party B:
44,payee_representations,100,Party B is a corporation created or organized under the laws of the State of Delaware and the federal taxpayer identification number is 36-4215970.
45,,100,Part 3
46,,100,Agreement to Deliver Documents
47,,100,"For the purpose of Section 4(a)(i) and (ii) of this Agreement, each party agrees to deliver the following documents:"
48,delivery_of_tax_forms,100,"(a) 	 Tax forms, documents or certificates to be delivered are:"
49,delivery_of_tax_forms,100,Party required to deliver document 	    	 Document 	    	 Date by which to be delivered Party B 	    	 Internal Revenue Service Form W-9 	    	 Upon execution and delivery of this Agreement
50,other_documents,100,(b) 	 Other documents to be delivered are:-
