index,clause_key,confidence,text
0,,100,SCHEDULE
1,,100,to the
2,,100,ISDA MASTER AGREEMENT
3,,100,"This is the Schedule to that certain ISDA Master Agreement dated as of March 6, 2008 between Wells Fargo Bank, N.A.(""Party A"") and Barnes Group Inc. , a Delaware corporation (""Party B"")."
4,,100,PART 1
5,,100,Termination Provisions
6,,100,In this Agreement:
7,specified_entity,95,"(A) ""Specified Entity "" means in relation to Party A for the purpose of:"
8,specified_entity,95,"Section 5(a)(v) (Default under Specified Transaction) 	    	 None.; Section 5(a)(vi) (Cross Default), 	    	 None.; Section 5(a)(vii) (Bankruptcy), 	    	 None.; and Section 5(b)(iv) (Credit Event Upon Merger), 	    	 None."
9,specified_entity,95,"""Specified Entity "" means in relation to Party B for the purpose of:"
10,specified_entity,95,"Section 5(a)(v) (Default under Specified Transaction) 	    	 Subsidiaries, as defined in the Credit Agreement Section 5(a)(vi) (Cross Default), 	    	 Subsidiaries, as defined in the Credit Agreement Section 5(a)(vii) (Bankruptcy), 	    	 Significant Subsidiaries, as defined in the Credit Agreement; and Section 5(b)(iv) (Credit Event Upon Merger), 	    	 Subsidiaries, as defined in the Credit Agreement"
11,specified_transaction,95,"(B) ""Specified Transaction "" will have the meaning specified in Section 14 of this Agreement."
12,cross_default,95,"(C) The ""Cross-Default "" provisions of Section 5(a)(vi) of this Agreement will apply to Party A and to Party B, provided, however , that the following provision shall be inserted at the end of Section 5(a)(vi):"
13,cross_default,90,"""provided, however , that an Event of Default shall not occur under either"
14,cross_default,90,"(1) or (2) above if the default, Event of Default or other similar event or condition referenced to in (1) or the failure to pay referred to in (2) is a failure to pay caused by an error or omission of an administrative or operational nature and funds were available to such party to enable it to make the relevant payment when due and such payment is in fact made on or before the second Local Business Day following receipt of written notice from the other party of such failure to pay."""
15,specified_indebtness,95,"""Specified Indebtedness"" will have the meaning specified in Section 14; provided, however, with respect to Party A such term shall not include deposits and obligations in respect of deposits received in the ordinary course of Party A's banking business."
16,threshold_amount,95,"""Threshold Amount"" means with respect to Party A, an amount equal to 3% of the Shareholders Equity (as hereinafter defined) of Party A and with respect to Party B, (i) $0 in respect of any Specified Indebtedness owing to Party A, and (ii) $20,000,000 in respect of any other Specified Indebtedness."
17,threshold_amount,80,"For purposes of the foregoing, the term ""Shareholders Equity"" shall mean an amount equal to the greater of (x) zero and (y) an amount equal to such party's total assets minus its total liabilities, as reflected on such party's most recent audited financial statements, or if such party does not have audited financial statements, then its most recent financial statements."
18,credit_event_upon_merger,95,"(D) The ""Credit Event Upon Merger "" provisions of Section 5(b)(iv) of this Agreement will apply to Party A and to Party B."
19,automatic_early_termination,95,"(E) The ""Automatic Early Termination "" provision of Section 6(a) of this Agreement will not apply to Party A or to Party B."
20,payments_early_termination,95,"(F) Payments on Early Termination. For the purpose of Section 6(e) of this Agreement: (i) Market Quotation will apply, and (ii) Second Method will apply."
21,termination_currency,95,"(G) ""Termination Currency "" means United States Dollars."
22,additional_termination_events,95,(H) Additional Termination Event will apply. Each of the following shall constitute an Additional Termination Event:
23,specified_transaction_termination,95,"(a) The Fourth Amended and Restated Revolving Credit Agreement made as of September 19, 2007 by and among Barnes Group Inc. and Barnes Group Switzerland GmbH, as Borrowers, Bank of America, N.A. and the other lending institutions from time to time party thereto, as Lenders, Banc of America Securities LLC, as Arranger, KeyBank National Association and JPMorgan Chase Bank, N.A., as Co-Syndication Agents, and The Bank of New York and The Governor and Company of The Bank of Ireland, as Co-Documentation Agents, as amended, modified, supplemented, renewed, extended or replaced from time to time (the "" Credit Agreement""), or any promissory note, loan agreement, credit agreement, reimbursement agreement or other document or instrument evidencing a credit extension from Party A to Party B, is terminated, cancelled, voided, breached or amended in any manner which would affect Party B's ability to perform its obligations under this Agreement, determined by Party A in its sole discretion. Upon the occurrence of such event, Party B shall be deemed to be the sole Affected Party and all Transactions shall be deemed to be Affected Transactions;"
24,ownership,95,"(b) If there shall exist a ""Change of Control"" as defined in the Credit Agreement. Upon the occurrence of such event, Party B shall be deemed to be the sole Affected Party and all Transactions shall be deemed to be Affected Transactions; or"
