index,clause_key,confidence,text
0,,100,SCHEDULE
1,,100,to the
2,,100,2002 MASTER AGREEMENT
3,,100,"dated as of November 4,2016"
4,,100,between
5,,100,"MUFG Union Bank, N.A. (""Party A""), a national banking association organized and existing under the laws of the United States"
6,,100,and
7,,100,"Pricesmart, Inc. (""Party B"") a corporation organized and existing under the laws of the State of California"
8,,100,Part 1
9,,100,Termination Provisions
10,specified_entity,100,"""Specified Entity "" means in relation to Party A for the purpose of:"
11,specified_entity,100,Section 5(a)(v):None.
12,specified_entity,100,Section 5(a)(vi):None.
13,specified_entity,100,Section 5(a)(vii):None.
14,specified_entity,100,Section 5(b)(v):None.
15,specified_entity,100,and in relation to Party B for the purpose of:
16,specified_entity,100,Section 5(a)(v):None.
17,specified_entity,100,Section 5(a)(vi):None.
18,specified_entity,100,Section 5(a)(vii): _None.
19,specified_entity,100,Section 5(b)(v):None.
20,specified_transaction,100,"(b)""Specified Transaction"" will have the meaning specified in Section 14 of this Agreement."
21,cross_default,100,"(c) The ""Cross Default"" provisions of Section 5(a)(vi) will apply to Party A and will apply to Party B; provided that Section 5(a)(vi) is hereby amended by adding the following at the end thereof:"
22,failure_to_pay,90,"; provided, that notwithstanding the foregoing, an Event of Default will not occur under either (1) or above, if (a) the default, or similar event or condition referred to in (1) or the failure to pay referred to in (2) is a failure to pay or deliver caused by an error or omission of an administrative or operational nature, (b) funds were available to such party to enable it to make the relevant payment or delivery when due and (c) such relevant payment or delivery"
23,,100,30 	  [Rev. 09/28/16]
24,failure_to_pay,90,is made within two (2) Local Business Days following receipt of notice from an interested party of such failure to pay.
25,specified_indebtness,100,"""Specified Indebtedness"" has the meaning set forth in Section 14 and shall also include in respect of Party B (i) all reimbursement obligations in respect of letters of credit and bankers' acceptances, (ii) all capital and synthetic lease obligations, and (iii) all obligations arising under any transaction of the type listed in clause (a)(i) or (a)(ii) of the definition of ""Specified Transaction"", but entered into between such person and any counterparty other than Party A. Notwithstanding the foregoing, in respect of Party A such term shall not include deposits received in the normal course of business."
26,threshold_amount,100,"""Threshold Amount"" means (i) with respect to Party A, 3% of Shareholders' Equity of Party A, and (ii) with respect to Party B, any Credit Support Provider of Party B and any Specified Entity of Party B, the ""threshold amount"" designated for cross-defaults of other indebtedness under the Credit Agreement."
27,,100,"""Shareholders' Equity"" means with respect to Party A, at any time, the sum (as shown in the most recent annual audited financial statements of Party A) of"
28,,100,"(i) its capital stock (including preferred stock) outstanding, taken at par value, (ii) its capital surplus and (iii) its retained earnings, minus (iv) treasury stock, each to be determined in accordance with GAAP."
29,credit_event_upon_merger,100,"(c)""Credit Event Upon Merger"" will apply to Party A and Party B, provided, as to Party A, the definition"
30,credit_event_upon_merger,100,"of ""Designated Event"" set forth in the ""Credit Event Upon Merger"" provisions of Section 5(b)(v) of the Agreement is amended to read as follows:"
31,credit_event_upon_merger,100,"A ""Designated Event"" with respect to X means that X consolidates or amalgamates with, or merges with or into, or transfers all or substantially all its assets (or any substantial part of the assets comprising the business conducted by X as of the date of this Agreement) to, or reorganizes, reincorporates or reconstitutes into or as, another entity; or"
32,automatic_early_termination,100,"(d)The ""Automatic Early Termination"" provision of Section 6(a) will not apply to Party A and will not apply to Party B"
33,termination_currency,100,"(e)""Termination Currency"" means United States Dollars."
34,additional_termination_events,100,"(f)Additional Termination Event. The following Additional Termination Events shall apply, in respect of which Party B shall be the sole Affected Party and (except as otherwise expressly set forth below) all Transactions shall be Affected Transactions:"
35,other_termination_events,80,(i)Credit Document Events.
36,specified_transaction_termination,100,"(1)ThtTCfedifAgreement is terminated, ceases to be in full force and effect, or is not binding, or is unlawful or unenforceable in any material respect, or Party B shall assert any of the foregoing; or"
37,specified_transaction_termination,100,"(2)The loans or advances under the Credit Agreement are repaid in full, with any commitment of Party A to make further loans or advances thereunder being canceled or reduced to zero; or"
