index,clause_key,confidence,text
0,,100,Schedule to the Master Agreement
1,,100,"dated as of October 12,2005 between Brown Brothers Harriman & Co (Party A)"
2,,100,and Met - Pro Corporation ( Party B)
3,,100,Part I. Termination Provisions.
4,specified_entity,100,"(i) ""Specified Entity"" means In relation to Party A for the purpose of:"
5,specified_entity,100,Section 5(a)(v): None
6,specified_entity,100,Section 5(a)(vi): None
7,specified_entity,100,Section 5(a)(vii): None
8,specified_entity,100,Section 5(b)(iv): None
9,specified_entity,100,and in relation to Party B for the purpose of:
10,specified_entity,100,Section 5(a)(v): None
11,specified_entity,100,Section 5(a)(vi): None
12,specified_entity,100,Section 5(a)(vii): None
13,specified_entity,100,Section 5(b)(iv): None
14,specified_transaction,100,"(b) ""Specified Transaction"" will have the meaning specified in Section 14 of this Agreement."
15,cross_default,100,"I The ""Cross Default"" provisions of Section 5(a)(vi) will apply to Party A and to Party B."
16,specified_indebtness,100,"In connection therewith, Specified Indebtedness will not have the meaning specified in Section 14 and such definition shall be replaced by the following: ""any obligation in respect of the payment of monies (whether present or future, contingent or otherwise, as principal or surety or otherwise), except that such term shall not include obligations in respect of deposits received in the ordinary course of a party's banking business""."
17,threshold_amount,100,"""Threshold Amount"" means in relation to Party A, $10,000,000 or the equivalent thereof in any other currencies, and, in relation to Party B, $10,000,000 or the equivalent thereof in any"
18,threshold_amount,100,other currency.
19,credit_event_upon_merger,100,"(d) The ""Credit Event Upon Merger"" provisions of Section 5(b)(iv)"
20,credit_event_upon_merger,100,will apply to Party A and will apply to Party B.
21,automatic_early_termination,100,"The ""Automatic Early Termination"" provision of Section 6(a)"
22,automatic_early_termination,100,will not apply to Party A
23,automatic_early_termination,100,will not apply to Party B
24,payments_early_termination,100,"(f) ""Payments on Early Termination"" For the purpose of Section 6(e)"
25,payments_early_termination,100,(ii) Market Quotation will apply.
26,payments_early_termination,100,(iii) The Second Method will apply.
27,termination_currency,100,"(g) ""Termination Currency"" means U S Dollars"
28,additional_termination_events,100,"(h) ""Additional Termination Events"" shall apply."
29,other_termination_events,90,"Impossibility. The occurrence of Impossibility shall also be a Termination Event, as to which the Affected Party shall be the party subject to an Impossibility. For purposes of this Agreement, ""Impossibility"" shall mean the occurrence of a natural or man-made disaster, armed conflict, act of terrorism, riot, labor disruption. Act of state or force majeure or any other circumstance beyond its control which makes it impossible (other than as a result of its own misconduct) for such a party to perform any absolute or contingent obligation, to make a payment or delivery or to receive a payment or delivery in respect of such Transaction or to comply with any other material provision of this Agreement relating to such Transaction or whereby the convertibility, transferability or ability to hold any currency has been materially impaired between the date that the currency obligation has been entered into and the date that the currency is delivered"
30,,100,Part 2
31,,100,Tax Representations
32,payer_representations,100,(a) Payer Representations. For the purposes of Section 3(e) of this Agreement:
33,payer_representations,100,Each party makes the following representation:
34,payer_representations,100,"It is not required by any applicable law, as modified by the practice of any relevant governmental revenue authority, of any Relevant Jurisdiction to make any deduction"
35,payer_representations,100,"or withholding for or on account of any Tax from any payment (other than interest under Section 2 (e), 6(d)(ii) or 6(e) of this Agreement) to be made by it to the other party under this agreement. In making this representation, it may rely on (x) the accuracy of any representations made by the other party pursuant to Section 3(f) of this Agreement, (y) the satisfaction of the agreement contained in Section 4(a)(i) or 4(a)(iii) of this Agreement and the accuracy and effectiveness of any document provided by the other party pursuant to Section 4(a)(i) or 4(a)(iii) of this Agreement and (z) the satisfaction of the agreement of the other party contained in Section 4(d) of this Agreement provided that it shall not be a breach of this representation where reliance is placed on clause (y) and the other party does not deliver a form or document under Section 4(a)(iii) by reason of material prejudice to its legal or commercial position."
36,payee_representations,100,"(b) Payee Representations: For the purposes of Section 3(f) of this Agreement,"
37,payee_representations,100,Party A and Party B make no representation
38,,100,Part 3
39,corporate_documents,100,Agreement to Deliver Documents.
40,corporate_documents,100,"For purposes of Section 4(a)(i) and (ii) of this Agreement, Party B agrees to deliver the following documents:"
41,delivery_of_tax_forms,100,(a) Tax forms documents or certificates to be delivered:
42,delivery_of_tax_forms,100,None
43,other_documents,100,(iv) Other documents to be delivered:
44,other_documents,100,"To be delivered by: 	  Form/Document/Certificate 	  	  Date by which to be 	  	 Covered by Section 3(d) delivered 	  	 Representation Party A&B 	  Certified copies of all corporate authorizations and any documents with respect to the execution, delivery and performance of this Agreement. 	  	  Upon execution of this Agreement 	  Yes Party A & B 	 Certificate of authority and specimen signatures of individuals executing this Agreement 	  	 Upon execution and delivery of this Agreement and thereafter upon request of the other party."
45,,100,Part 4\. Miscellaneous
46,address_for_notices,100,(a) Addresses for Notices For the purpose of Section 12(a) of this Agreement:
