index,clause_key,confidence,text
0,,50,SCHEDULE to the Master Agreement
1,,50,"dated as of September 12, 2008"
2,,50,between
3,,50,"Barclays Bank PLC 	   	 and  	   	 World Financial Network Credit Card Master Note Trust (""Party A"")  	   	   	   	 (""Party B"")"
4,specified_transaction_termination,80,"The only Transaction that will be governed by the terms of this Agreement will be the Class A Swap (as defined in the Indenture). References in the Agreement to ""Transactions"" or ""Transaction"" shall be deemed to be references to the Class A Swap. Capitalized terms used herein and not otherwise defined have the meanings set forth in the ISDA Definitions or, if not defined therein, in the Indenture."
5,,50,Part  1
6,,50,Termination Provisions
7,,50,In this Agreement:-
8,specified_entity,90,"(a) 	   	 ""Specified Entity "" shall not apply to Party A or Party B."
9,document_event,80,"(b) 	   	 The ""Breach of Agreement "" provisions of Section 5(a)(ii) will apply to Party A and will not apply to Party B."
10,credit_support_provider_event,80,"(c) 	   	 The ""Credit Support Default "" provisions of Section 5(a)(iii) will apply to Party A and will not apply to Party B except that Section 5(a)(iii)(1) will apply to Party B solely in respect of Party B's obligations under Paragraph 3(b) of the Credit Support Annex."
11,document_event,80,"(d) 	   	 The ""Misrepresentation "" provisions of Section 5(a)(iv) will apply to Party A and will not apply to Party B."
12,specified_transaction,80,"(e) 	   	 The ""Default Under Specified Transaction "" provisions of Section 5(a)(v) will not apply to Party A and will not apply to Party B."
13,cross_default,90,"(f) 	   	 The ""Cross Default "" provisions of Section 5(a)(vi) will apply to Party A and will not apply to Party B."
14,specified_indebtness,90,""" Specified Indebtedness"" will have the meaning specified in Section 14, provided that Specified Indebtedness shall not include deposits received in the course of a party's ordinary banking business."
15,threshold_amount,90,""" Threshold Amount"" means, with respect to Party A (or its Credit Support Provider), 3% of its total shareholders equity as specified from time to time in the most recent annual report of Party A or its Credit Support Provider containing consolidated financial statements, prepared in accordance with accounting principles that are generally accepted"
16,,50,Schedule Page-1
17,,50,#####
18,threshold_amount,80,"for institutions of its type in the jurisdiction of its organization and certified by independent public accountants, or its equivalent in any other currency."
19,credit_event_upon_merger,80,"(g) 	   	 The ""Merger Without Assumption "" provisions of Section 5(a)(viii) will apply to Party A and will not apply to Party B."
20,automatic_early_termination,80,"(h) 	   	 The ""Bankruptcy "" provision of Section 5(a)(vii) will apply; provided that with respect to Party B the provisions of Section 5(a)(vii) clauses (2), (7) and (9) will not be applicable as an Event of Default; clause (3) will not apply to Party B to the extent it refers to any assignment, arrangement or composition that is effected by or pursuant to the Indenture; clause (4) will not apply to Party B to the extent that it refers to proceedings or petitions instituted or presented by Party A or any of its Affiliates; clause (6) will not apply to Party B to the extent that it refers to (i) any appointment that is contemplated or effected by the Indenture (as defined herein) or (ii) any appointment that Party B has not become subject to); clause (8) will not apply to Party B to the extent that it applies to Section 5(a)(vii)(2), (3), (4), (6), and (7) (except to the extent that such provisions are not disapplied with respect to Party B)."
21,tax_event,80,"(i) 	   	 "" Tax Event Upon Merger"" provisions of Section 5(b)(iii) will apply; provided that Party A shall not be entitled to designate an Early Termination Date by reason of a Tax Event Upon Merger in respect of which it is the Affected Party. Section 6(b)(ii) will apply, provided that the words ""or if a Tax Event Upon Merger occurs and the Burdened Party is the Affected Party,"" shall be deleted."
22,tax_event,80,"(j) 	   	 The ""Tax Event "" provisions of Section 5(b)(ii) will apply; provided that the words ""(x) any action taken by a taxing authority, or brought in a court of competent jurisdiction, on or after the date on which a Transaction is entered into (regardless of whether such action is taken or brought with respect to a party to this Agreement) or (y)"" shall be deleted."
23,credit_event_upon_merger,80,"(k) 	   	 The ""Credit Event Upon Merger "" provisions of Section 5(b)(iv) will not apply to Party A and will not apply to Party B."
