index,clause_key,confidence,text
0,,50,SCHEDULE to the Master Agreement
1,,50,"dated as of February 13, 2006"
2,,50,"between 	   	 HSBC Bank USA, N.A. and Volkswagen Auto Loan Enhanced Trust 2007-1 (""Party A"")                                          (""Party B"")"
3,,50,Part 1.Termination Provisions.
4,,50,(a) 	   	 The following shall apply:
5,failure_to_pay,90,"(i) Termination by Party A -- Events of Default Notwithstanding the provisions of Section 5(a), the only events which will constitute Events of Default when they occur in relation to Party B will be those events specified in Sections 5(a)(i) (Failure To Pay Or Deliver) and Section 5(a)(vii) (Bankruptcy), other than the events specified in Section 5(a)(vii)(2)."
6,additional_events_of_default,80,"Accordingly, the provisions of Section 5(a)(ii) (Breach Of Agreement), the provisions of Section 5(a)(iii) (Credit Support Default), the provisions of Section 5(a)(iv) (Misrepresentation), the provisions of Section 5(a)(v) (Default Under Specified Transaction), the provisions of Section 5(a)(vi) (Cross Default), the provisions of Section 5(a)(vii)(2) (insolvency) and the provisions of Section 5(a)(viii) (Merger Without Assumption) will in no circumstances be regarded as having given rise to an Event of Default with respect to Party B."
7,additional_termination_events,85,"(ii) Termination by Party A -- Termination Events Notwithstanding the provisions of Section 5(b), and save as otherwise provided herein, the only events which will constitute Termination Events when they occur in relation to Party B will be those events specified in Section 5(b)(i) (Illegality) and Section 5(b)(v) (Additional Termination Event). Accordingly, the provisions of Section 5(b)(iv) (Credit Event Upon"
8,credit_event_upon_merger,80,#####
9,tax_event,80,Merger) will not be regarded as having given rise to a Termination Event with respect to Party B and Party A may not designate an Early Termination Date related to the provisions of Section 5(b)(ii) (Tax Event) or the provisions of Section 5(iii) (Tax Event Upon Merger).
10,cross_default,85,"(iii) Termination by Party B \- Events of Default and Termination Events. Save as otherwise provided herein, the provisions of Section 5 will apply with respect to Party A without amendment save for Section 5(a)(vi) (Cross Default) which will in no circumstances be regarded as having given rise to an Event of Default with respect to Party A and the provisions of Section 5(b)(iii) will apply to Party A provided that Party A shall not be entitled to designate an Early Termination Date by reason of a Tax Event Upon Merger in respect of which it is the Affected Party."
11,specified_entity,95,"(b) 	   	 "" Specified Entity"" none specified in relation to either Party A or Party B."
12,specified_transaction,95,"(c) 	   	 "" Specified Transaction"" will have the meaning specified in Section 14 of this Agreement."
13,automatic_early_termination,95,"(d) 	   	 The "" Automatic Early Termination"" provision of Section 6(a) of this Agreement will not apply to Party A and will not apply to Party B."
14,payments_early_termination,95,(e) 	   	 Payments on Early Termination. For the purpose of Section 6(e) of this Agreement:
15,payments_early_termination,90,"Market Quotation will apply and the Second Method will apply; provided , however , with respect to an early termination in which Party A is the Defaulting Party or sole Affected Party in respect of an Additional Termination Event or Tax Event Upon Merger, notwithstanding Section 6 of this Agreement, the following amendment to this Agreement set forth in paragraphs (i) to (ix) below shall apply:"
16,payments_early_termination,90,"The definition of ""Market Quotation"" shall be deleted in its entirety and replaced with the following:"
17,payments_early_termination,90,"""Market Quotation "" means, with respect to one or more Terminated Transactions, a Firm Offer which is (1) made by a Reference Market-maker that is an Eligible Replacement with Rated Debt, (2) for an amount that would be paid to Party B (expressed as a negative number) or by Party B (expressed as a positive number) in consideration of an agreement between Party B and such Reference Market-maker to enter into a transaction (the ""Replacement Transaction "") that would have the effect of"
18,,50,Schedule to ISDA Master Agreement
19,,50,#####
20,payments_early_termination,90,"preserving for such party the economic equivalent of any payment or delivery (whether the underlying obligation was absolute or contingent and assuming the satisfaction of each applicable condition precedent) by the parties under Section 2(a)(i) in respect of such Terminated Transactions or group of Terminated Transactions that would, but for the occurrence of the relevant Early Termination Date, have been required after that Date, (3) made on the basis that Unpaid Amounts in respect of the Terminated Transaction or group of Transactions are to be excluded but, without limitation, any payment or delivery that would, but for the relevant Early Termination Date, have been required (assuming satisfaction of each applicable condition precedent) after that Early Termination Date is to be included and (4) made in respect of a Replacement Transaction with commercial terms substantially the same as those of this Agreement (save for the exclusion of provisions relating to Transactions that are not Terminated Transactions)."""
21,payments_early_termination,90,"(iii) The definition of ""Settlement Amount"" shall be deleted in its entirety and replaced with the following:"
22,payments_early_termination,90,"""Settlement Amount "" means, with respect to any Early Termination Date, an amount (as determined by Party B) equal to:"
23,termination_currency,85,"(a) 	   	 If a Market Quotation for the relevant Terminated Transaction or group of Terminated Transactions is accepted by Party B so as to become legally binding on or before the day falling ten Local Business Days after the day on which the Early Termination Date is designated (or such later day as Party B may specify in writing to Party A, which in any event will not be later than the Early Termination Date) (such day, the ""Latest Settlement Amount Determination Day""), the Termination Currency Equivalent of the amount (whether positive or negative) of such Market Quotation; or"
24,payments_early_termination,90,"(b) 	   	 If no Market Quotation for the relevant Terminated Transaction or group of Terminated Transactions is accepted by Party B so as to become legally binding on or before the Latest Settlement Amount Determination Day, Party B's Loss (whether positive or negative and without reference to any Unpaid Amounts) for the relevant Terminated Transaction or group of Terminated Transactions."
25,payments_early_termination,90,"(iv) For the purpose of clause (4) of the definition of Market Quotation, Party B shall determine in its sole discretion, acting in a commercially reasonable manner, whether a"
26,,50,Schedule to ISDA Master Agreement
27,,50,#####
28,payments_early_termination,90,Firm Offer is made in respect of a Replacement Transaction with commercial terms substantially the same as those of this Agreement (save for the exclusion of provisions relating to Transactions that are not Terminated Transactions).
29,payments_early_termination,90,(v) Party B undertakes to use its reasonable efforts to obtain at least one Market Quotation before the Latest Settlement Amount Determination Day.
30,payments_early_termination,90,"(vi) Party B will be deemed to have discharged its obligations under (v) above if it requests Party A to obtain Market Quotations, where such request is made in writing within two Local Business Days after the day on which the Early Termination Date is designated."
31,payments_early_termination,90,"(vii) if Party B requests Party A in writing to obtain Market Quotations, Party A shall use its reasonable efforts to do so before the Latest Settlement Amount Determination Day."
32,payments_early_termination,90,"(viii) Any amount calculated as being due in respect of an Early Termination Date will be payable in accordance with Section 6(d)(ii), provided that if such payment is owed to Party B, it will be payable on the day that notice of the amount payable is given to Party A."
33,payments_early_termination,90,"(ix) If the Settlement Amount is a negative number, Section 6(e)(i)(3) of this Agreement shall be deleted in its entirety and replaced with the following:"
34,payments_early_termination,90,"""Second Method and Market Quotation "". If Second Method and Market Quotation apply, (1) Party B shall pay to Party A an amount equal to the absolute value of the Settlement Amount in respect of the Terminated Transactions, (2) Party B shall pay to Party A the Termination Currency Equivalent of the Unpaid Amounts owing to Party A and (3) Party A shall pay to Party B the Termination Currency Equivalent of the Unpaid Amounts owing to Party B, Provided that, (i) the amounts payable under (2) and (3) shall be subject to netting in accordance with Section 2(c) of this Agreement and (ii) notwithstanding any other provision of this Agreement, any amount payable by Party A under (3) shall not be netted-off against any amount payable by Party B under (1).""."
35,termination_currency,95,"(f) 	   	 "" Termination Currency"" means U.S. Dollars."
