index,clause_key,confidence,text
0,,0,SCHEDULE
1,,0,to the
2,2002_protocol,90,2002 Master Agreement
3,,0,"dated as of March 10, 2011"
4,,0,between
5,,0,"BANK OF AMERICA, N.A.,"
6,,0,"a national banking association organized and existing under the laws of the United States of America,"
7,,0,"(""Party A"")"
8,,0,and
9,,0,"NATURAL ALTERNATIVES INTERNATIONAL, INC.,"
10,,0,"a corporation organized and existing under the laws of California,"
11,,0,"(""Party B"")"
12,,0,Part 1
13,,0,Termination Provisions
14,specified_entity,95,"(a) 	 ""Specified Entity "" means in relation to Party A for the purpose of Sections 5(a)(v), 5(a)(vi), 5(a)(vii) and 5(b)(v): none;"
15,specified_entity,95,"""Specified Entity "" means in relation to Party B for the purpose of Sections 5(a)(v), 5(a)(vi), 5(a)(vii) and 5(b)(v): any Affiliate of Party B."
16,specified_transaction,95,"(b) 	 ""Specified Transaction "" will have the meaning specified in Section 14 but shall also include any transaction with respect to margin loans, cash loans and short sales of any financial instrument, and as amended by inserting the words, ""or any Affiliate of Party A"" immediately after ""Agreement"" in the second line thereof."
17,cross_default,95,"(c) 	 The ""Cross-Default "" provisions of Section 5(a)(vi):"
18,cross_default,95,will apply to Party A and
19,cross_default,95,will apply to Party B.
20,specified_indebtness,95,"In connection therewith, "" Specified Indebtedness"" will not have the meaning specified in Section 14, and such definition shall be replaced by the following: ""any obligation in"
21,specified_indebtness,95,"respect of the payment or repayment of moneys (whether present or future, contingent or otherwise, as principal or surety or otherwise), including, but without limitation, any obligation in respect of borrowed money except that such term shall not include obligations in respect of deposits received in the ordinary course of a party's banking business."""
22,threshold_amount,95,""" Threshold Amount"" means with respect to Party A an amount equal to three percent (3%) of the Shareholders' Equity of Bank of America Corporation and with respect to Party B, zero ($0)."
23,,0,""" Shareholders' Equity"" means with respect to an entity, at any time, the sum (as shown in the most recent annual audited financial statements of such entity) of (i) its capital stock (including preferred stock) outstanding, taken at par value, (ii) its capital surplus and (iii) its retained earnings, minus (iv) treasury stock, each to be determined in accordance with generally accepted accounting principles."
24,credit_event_upon_merger,95,"(d) 	 The ""Credit Event Upon Merger "" provisions of Section 5(b)(v):"
25,credit_event_upon_merger,95,will apply to Party A
26,credit_event_upon_merger,95,will apply to Party B
27,automatic_early_termination,95,"(e) 	 The ""Automatic Early Termination "" provision of Section 6(a):"
28,automatic_early_termination,95,will not apply to Party A
29,automatic_early_termination,95,will not apply to Party B.
30,termination_currency,95,"(f) 	 ""Termination Currency "" means United States Dollars."
31,additional_termination_events,95,(g) 	 Additional Termination Event will not apply.
32,,0,Part 2
33,,0,Tax Representations
34,payer_representations,95,"(a) 	 Payer Tax Representations. For the purpose of Section 3(e) of this Agreement, Party A and Party B will make the following representation:-"
35,payer_representations,95,"It is not required by any applicable law, as modified by the practice of any relevant governmental revenue authority, of any Relevant Jurisdiction to make any deduction or withholding for or on account of any Tax from any payment (other than interest under Section 9(h) of this Agreement) to be made by it to the other party under this Agreement. In making this representation, it may rely on (i) the accuracy of any representations made by the other party pursuant to Section 3(f) of this Agreement, (ii) the satisfaction of the agreement contained in Section 4(a)(i) or 4(a)(iii) of this Agreement and the accuracy and effectiveness of any document provided by the other party pursuant to Section 4(a)(i) or 4(a)(iii) of this Agreement and (iii) the satisfaction of the agreement of the other party contained in Section 4(d) of this Agreement, except that it will not be a breach of this representation where reliance is placed on clause (ii) above and the other party does not deliver a form or document under Section 4(a)(iii) by reason of material prejudice to its legal or commercial position."
36,payee_representations,95,"(b) 	 Payee Tax Representations. For the purpose of Section 3(f) of this Agreement, Party A and Party B will make the following representations specified below, if any:-"
37,payee_representations,95,(i) 	 The following representations will apply to Party A:
38,payee_representations,95,Party A is a national banking association created or organized under the laws of the United States of America and the federal taxpayer identification number is 94-1687665.
39,payee_representations,95,(ii) 	 The following representations will apply to Party B:
40,payee_representations,95,Party B is a corporation created or organized under the laws of the State of California and the federal taxpayer identification number is 84-1007839.
41,,0,Part 3
42,,0,Agreement to Deliver Documents
43,,0,"For the purpose of Section 4(a)(i) and (ii) of this Agreement, each party agrees to deliver the following documents:"
44,delivery_of_tax_forms,95,"(a) 	 Tax forms, documents or certificates to be delivered are:"
45,delivery_of_tax_forms,95,Party required to deliver document 	    	 Document 	    	  Date by which to be delivered Party B 	    	 Internal Revenue Service Form W-9 	    	 Upon execution and delivery of this Agreement
46,other_documents,95,(b) 	 Other documents to be delivered are:-
47,corporate_documents,95,"Party required to deliver document 	    	 Form/Document/Certificate 	    	  Date by which to be delivered 	    	 Covered by Section 3(d) Representation Party A and Party B 	    	 Certified copies of all corporate, partnership or membership authorizations, as the case may be, and any other documents with respect to the execution, delivery and performance of this Agreement and any Credit Support Document 	    	 Upon execution and delivery of this Agreement 	    	 Yes Party A and Party B 	    	 Certificate of authority and specimen signatures of individuals executing this Agreement and any Credit Support Document 	    	 Upon execution and delivery of this Agreement and thereafter upon request of the other party 	    	 Yes"
48,financial_statements,95,"Party required to deliver document 	    	 Form/Document/Certificate 	    	  Date by which to be delivered 	    	 Covered by Section 3(d) Representation Party A 	    	 Annual Report of Bank of America Corporation containing audited, consolidated financial statements certified by independent certified public accountants and prepared in accordance with generally accepted accounting principles in the country in which such party is organized 	    	 To be made available on www.bankofamerica.com/investor/ as soon as available and in any event within 90 days after the end of each fiscal year of Party A 	    	 Yes Party A 	    	 Quarterly Financial Statements of Bank of America Corporation containing unaudited, consolidated financial statements of such party's fiscal quarter prepared in accordance with generally accepted accounting principles in the country in which such party is organized 	    	 To be made available on www.bankofamerica.com/investor/ as soon as available and in any event within 45 days after the end of each fiscal quarter of Party A 	    	 Yes Party B 	    	 Annual Report of Party B and of any Credit Support Provider thereof containing audited, consolidated financial statements certified by independent certified public accountants and prepared in accordance with generally accepted accounting principles in the country in which such party and such Credit Support Provider is organized 	    	 As soon as available and in any event within 90 days after the end of each fiscal year of Party B and of the Credit Support Provider 	    	 Yes Party B 	    	 Quarterly Financial Statements of Party B and any Credit Support Provider thereof containing unaudited, consolidated financial statements of such party's fiscal quarter prepared in accordance with generally accepted accounting principles in the country in which such party and such Credit Support Provider is organized 	    	 As soon as available and in any event within 45 days after the end of each fiscal quarter of Party B and of the Credit Support Provider 	    	 Yes"
49,,0,Part 4
50,,0,Miscellaneous
51,address_for_notices,95,(a) 	 Address for Notices. For the purpose of Section 12(a) of this Agreement:-
52,address_for_notices,95,Address for notice or communications to Party A:
53,address_for_notices,95,"Bank of America, N.A."
54,address_for_notices,95,Willis Tower
55,address_for_notices,95,"233 South Wacker Drive, Suite 2800"
56,address_for_notices,95,"Chicago, IL 60606"
57,address_for_notices,95,Attention: Swap Operations
58,address_for_notices,95,Telephone No.: (312) 234 2732
59,address_for_notices,95,Facsimile No.: (866) 255 1444
60,address_for_notices,95,With a copy to:-
61,address_for_notices,95,"Bank of America, N.A."
62,address_for_notices,95,"50 Rockefeller Plaza, NY1-050-10-01"
63,address_for_notices,95,"New York, New York 10020"
64,address_for_notices,95,Attention: Client Integration and Documentation Group
65,address_for_notices,95,Facsimile No.: (212) 548 8622
66,address_for_notices,95,Address for financial statements to Party A:
67,address_for_notices,95,"Bank of America, N.A."
68,address_for_notices,95,1601 I Street
69,address_for_notices,95,"Modesto, CA 95354"
70,address_for_notices,95,"Attention: Elizabeth Bertelson, Vice President"
71,address_for_notices,95,Telephone No.: 209-342-2653
72,address_for_notices,95,Address for notice or communications to Party B:
73,address_for_notices,95,"Natural Alternatives International, Inc."
74,address_for_notices,95,1185 Linda Vista Drive
75,address_for_notices,95,"San Marcos, CA 92078"
76,address_for_notices,95,"Attention: Kenneth Wolf, Chief Financial Officer"
77,address_for_notices,95,Telephone No.: 760-736-7745
78,address_for_notices,95,Facsimile No.: 760-591-9637
79,address_for_notices,95,Email Address: kwolf@nai-online.com
80,process_agent,95,(b) 	 Process Agent. For the purpose of Section 13(c):
81,process_agent,95,Party A appoints as its Process Agent: Not applicable.
