index,clause_key,confidence,text
0,,0,SCHEDULE
1,,0,to the
2,,0,Master Agreement
3,,0,"dated as of September 30, 2005"
4,,0,between
5,,0,"HSBC BANK USA, NATIONAL ASSOCIATION"
6,,0,"and 	 SUPPLEMENTAL INTEREST TRUST, STRUCTURED ASSET INVESTMENT LOAN TRUST MORTGAGE PASS-THROUGH CERTIFICATES, SERIES 2005-8 ( ""Party A"") 	  	 ( ""Party B"";')"
7,,0,Part 1.  Termination Provisions.
8,,0,(a)
9,specified_entity,90,""" Specified Entity"" means in relation to Party A for the purpose of:"
10,specified_entity,90,"Section 5(a)(v), not applicable"
11,specified_entity,90,"Section 5(a)(vi), not applicable"
12,specified_entity,90,"Section 5(a)(vii), not applicable"
13,specified_entity,90,"Section 5(b)(iv), not applicable"
14,specified_entity,90,and in relation to Party B for the purpose of:
15,specified_entity,90,"Section 5(a)(v), not applicable"
16,specified_entity,90,"Section 5(a)(vi), not applicable"
17,specified_entity,90,"Section 5(a)(vii), not applicable"
18,specified_entity,90,"Section 5(b)(iv), not applicable"
19,,0,(b)
20,specified_transaction,90,""" Specified Transaction"" will have the meaning specified in Section 14 of this Agreement."
21,,0,(c)
22,additional_events_of_default,80,"Certain Events of Default.  The following Events of Default will apply to the parties as specified below, and the definition of ""Event of Default"" in Section 14 is deemed to be modified accordingly:"
23,failure_to_pay,95,Section 5(a)(i) (Failure to Pay or Deliver) will apply to Party A and Party B.
24,document_event,80,Section 5(a)(ii) (Breach of Agreement) will not apply to Party A or Party B.
25,credit_support_provider_event,80,Section 5(a)(iii) (Credit Support Default) will not apply to Party A or Party B.
26,document_event,80,Section 5(a)(iv) (Misrepresentation) will not apply to Party A or Party B.
27,specified_transaction_termination,80,Section 5(a)(v) (Default under Specified Transaction) will not apply to Party A or Party B.
28,cross_default,95,Section 5(a)(vi) (Cross Default) will not apply to Party A or Party B.
29,credit_event_upon_merger,80,Section 5(a)(vii) (Bankruptcy) will apply to Party A and Party B; provided that clause (2) thereof shall not apply to Party B.
30,credit_event_upon_merger,80,Section 5(a)(viii) (Merger without Assumption) will apply to Party A and Party B.
31,,0,(d)
32,additional_termination_events,80,Termination Events.  The following Termination Events will apply to the parties as specified below:
33,force_majeure,80,Section 5(b)(i) (Illegality) will apply to Party A and Party B.
34,tax_event,80,Section 5(b)(ii) (Tax Event) will apply to Party A and Party B.
35,tax_event,80,Section 5(b)(iii) (Tax Event upon Merger) will apply to Party A and Party B.
36,credit_event_upon_merger,80,Section 5(b)(iv) (Credit Event upon Merger) will not apply to Party A or Party B.
37,,0,(e)
38,automatic_early_termination,95,"The "" Automatic Early Termination"" provision of Section 6(a) of this Agreement will not apply to Party A and will not apply to Party B."
39,,0,(f)
40,payments_early_termination,95,Payments on Early Termination. For the purpose of Section 6(e) of this Agreement:
41,,0,(i)
42,payments_early_termination,95,Market Quotation will apply.
43,,0,(ii)
44,payments_early_termination,95,The Second Method will apply.
45,,0,(g)
46,termination_currency,95,""" Termination Currency"" means United States Dollars."
47,,0,(h)
48,additional_termination_events,95,"Additional Termination Events.  The following Additional Termination Events will apply, in each case with respect to Party B as the sole Affected Party (unless otherwise provided below):"
49,,0,(i)
50,credit_rating_downgrade,80,"Party A fails to comply with the Downgrade Provisions as set forth in Part 5(b), after giving effect to all grace or cure periods therein.  For all purposes of this Agreement, Party A shall be the sole Affected Party with respect to the occurrence of a Termination Event described in this Part 1(h)(i)."
51,,0,(ii)
52,fund_termination,80,"Party B or the Trust Fund (as defined in the Trust Agreement, dated as of September 1, 2005, among U.S. Bank National Association (the Trustee), Wells Fargo Bank, N.A., The Murrayhill Company, Structured Asset Securities Corporation and Aurora Loan Services LLC (the Trust Agreement)) is terminated."
53,,0,(iii)
54,amendments,80,"The Trust Agreement is amended or modified without the prior written consent of Party A, where such consent is required under the terms of the Trust Agreement, or if such amendment or modification adversely affects Party A's interests under this Agreement or the ability of Party B to fully and timely perform its obligations under this Agreement."
55,,0,(iv)
56,portfolio_trigger,80,The Class Principal Amounts of the Offered Certificates and the Class B Certificates are reduced to zero.
57,,0,(v)
58,additional_termination_events,80,"Notice of the Master Servicer's or, the NIMS Insurer's intention to exercise its option to purchase the Mortgage Loans pursuant to Section 7.01 of the Trust Agreement is given by the Trustee to Certificateholders pursuant to Section 7.02 of the Trust Agreement, provided that the Early Termination Date may not be earlier than the date on which the Certificates are redeemed pursuant to Section 7.02 of the Trust Agreement."
59,additional_termination_events,80,"Notwithstanding anything in Section 6 of the Agreement to the contrary, any amounts due as result of the occurrence of an Additional Termination Event described in Part 1(h)(ii) and Part 1(h)(v) of this Schedule may be calculated prior to the Early Termination Date and shall be payable on the Early Termination Date."
60,,0,Part 2.  Tax Representations.
61,payer_representations,95,(a)
62,payer_representations,95,"Payer Representations. For the purpose of Section 3(e) of this Agreement, Party A will make the following representation and Party B will make the following representation:"
63,payer_representations,95,"It is not required by any applicable law, as modified by the practice of any relevant governmental revenue authority, of any Relevant Jurisdiction to make any deduction or withholding for or on account of any Tax from any payment (other than interest under Section 2(e), 6(d)(ii) or 6(e) of this Agreement) to be made by it to the other party under this Agreement. In making this representation, it may rely on (i) the accuracy of any representations made by the other party pursuant to Section 3(f) of this Agreement, (ii) the satisfaction of the agreement contained in Section 4(a)(i) or 4(a)(iii) of this Agreement and the accuracy and effectiveness of any document provided by the other party pursuant to Section 4(a)(i) or 4(a)(iii) of this Agreement and (iii) the satisfaction of the agreement of the other party contained in Section 4(d) of this Agreement, provided that it shall not be a breach of this representation where reliance is placed on clause (ii) and the other party does not deliver a form or document under Section 4(a)(iii) of this Agreement by reason of material prejudice to its legal or commercial position."
64,,0,(b)
65,payee_representations,95,"Payee Representations. For the purpose of Section 3(f) of this Agreement, Party A and Party B make the representations specified below, if any:"
66,,0,(i)
67,payee_representations,95,Party A represents that is a national banking association organized under the laws of the United States.
68,,0,(ii)
69,payee_representations,95,Party B represents that it is a trust created under an agreement governed by New York law.
70,,0,Part 3.  Agreement to Deliver Documents.
71,other_documents,80,"For the purpose of Sections 4(a)(i) and (ii) of this Agreement, each party agrees to deliver the following documents, as applicable:"
72,delivery_of_tax_forms,95,"(a) Tax forms, documents or certificates to be delivered are:-- Party required to deliver document 	 Form/Document/Certificate 	 Date by which to be delivered Party A and Party B 	 Subject to Section 4(a)(iii), any document required or reasonably requested to allow the other party to make payments under this Agreement without any deduction or withholding on account of any Tax. 	 (i) promptly upon reasonable demand by Party B, and (ii) promptly upon learning that any such Form previously provided by Party A has become obsolete or incorrect."
73,other_documents,80,"(b) Other documents to be delivered are:-- Party required to deliver document 	 Form/Document/Certificate 	 Date by which to be delivered 	 Covered by §3(d) Representation Party B 	 Certified copy of the Board of Directors resolution (or equivalent authorizing documentation) which sets forth the authority of each signatory to this Agreement and each Credit Support Document (if any) signing on its behalf and the authority of such party to enter into Transactions contemplated and performance of its obligations hereunder. 	 Concurrently with the execution and delivery of this Agreement. 	 Yes Party A and Party B 	 Incumbency Certificate (or, if available the current authorized signature book or equivalent authorizing documentation) specifying the names, titles, authority and specimen signatures of the persons authorized to execute this Agreement which sets forth the specimen signatures of each signatory to this Agreement, each Confirmation and each Credit Support Document (if any) signing on its behalf. 	 Concurrently with the execution and delivery of this Agreement unless previously delivered and still in full force and effect. 	 Yes Party A and B 	 An opinion of counsel to such party reasonably satisfactory in form and substance to the other party, and, in the case of Party B, opinions of counsel relating to the Trust Agreement and other deal documents reasonably satisfactory in form and substance to the Party A. 	 Concurrently with the execution and delivery of the Confirmation unless previously delivered and still in full force and effect. 	 No Party B 	 An executed copy of the Trust Agreement. 	 Within 30 days after the date of this Agreement. 	 No Party B 	 Each material amendment, supplement or waiver of the Trust Agreement, as proposed from time to time, or any other amendment or modification of the Trust Agreement that requires the written consent of Party A under the terms of the Trust Agreement. 	 Promptly upon learning of any proposed amendment, supplement or waiver. 	 No"
74,,0,Part 4.  Miscellaneous.
75,address_for_notices,95,(a)
