index,clause_key,confidence,text
0,,0,SCHEDULE
1,,0,to the
2,,0,2002 MASTER AGREEMENT
3,,0,"dated as of January  13, 2015"
4,,0,between
5,,0,"The Bank of Tokyo-Mitsubishi UFJ, Ltd. 	    	  and 	    	 Booz Allen Hamilton Inc."
6,,0,"( ""Party A"") 	    	  	    	 ( ""Party B"")"
7,,0,Part  1. 	 Termination Provisions.
8,specified_entity,90,"(a) 	 "" Specified Entity"" means, in relation to Party A for the purpose of:"
9,specified_entity,85,Section 5(a)(v): 	    	 Not Applicable Section 5(a)(vi): 	    	 Not Applicable Section 5(a)(vii): 	    	 Not Applicable Section 5(b)(v): 	    	 Not Applicable
10,specified_entity,85,and in relation to Party B for the purpose of:
11,specified_entity,85,Section 5(a)(v): 	    	 Not Applicable Section 5(a)(vi): 	    	 Not Applicable Section 5(a)(vii): 	    	 Not Applicable Section 5(b)(v): 	    	 Not Applicable
12,specified_transaction,90,"(b) 	 "" Specified Transaction"" will have the meaning specified in Section 14\."
13,cross_default,95,"(c) 	 The "" Cross Default"" provisions of Section 5(a)(vi) will apply to Party A and will apply to Party B; provided, that"
14,cross_default,90,"(i) 	 the phrase ""or becoming capable at such time of being declared"" shall be deleted from clause (1) of such Section 5(a)(vi); and"
15,cross_default,90,"(ii) 	 the following language shall be added to the end thereof: ""provided, however, that an Event of Default shall not occur under either (1) or (2) above if the default, event of default, or other similar condition or event referred to in (1) or the failure to pay referred to in (2) is caused not by the unavailability of funds but is caused solely due to a technical or administrative error which has been remedied within three Local Business Days after a notice of such failure is given to the party."""
16,specified_indebtness,90,""" Specified Indebtedness"" will have the meaning specified in Section 14 of the Agreement except that such term shall not include obligations in respect of deposits received in the ordinary course of a party's banking business."
17,threshold_amount,95,""" Threshold Amount"" means in relation to Party A, an amount equal to 3% of the shareholders' equity of Party A (on a consolidated basis) as determined in accordance with generally accepted accounting principles in Party A's jurisdiction of incorporation or organization by reference to Party A's most recently published audited financial statements (or its equivalent in another currency); and in relation to Party B, $50,000,000."
18,credit_event_upon_merger,90,"(d) 	 The "" Credit Event Upon Merger"" provisions of Section 5(b)(v) of this Agreement will not apply to Party A and will not apply to Party B."
19,automatic_early_termination,90,"(e) 	 The "" Automatic Early Termination"" provision of Section 6(a) will not apply to Party A and will not apply to Party B."
20,termination_currency,95,"(f) 	 "" Termination Currency"" means United States Dollars."
21,additional_termination_events,95,(g) 	 Additional Termination Event The following shall constitute an Additional Termination Event:
22,additional_termination_events,90,"(i) The Credit Agreement expires, terminates, or otherwise ceases to be in full force and effect; or"
23,additional_termination_events,90,"(ii) The obligations of Party B under this Agreement shall not be equally and ratably secured and guaranteed with the obligations of Party B owing to Lenders under the Credit Agreement. An Additional Termination Event shall not occur to the extent that it is caused solely by the Guarantee of any Guarantor or the grant of a security interest by any Guarantor under the Credit Agreement not applying to any obligation of Party B under this Agreement as a result of such Guarantor's failure for any reason to constitute an ""eligible contract participant"", as defined in the Commodity Exchange Act and the regulations thereunder at the time the guarantee of such Guarantor or the grant of a security interest by such Guarantor would otherwise have become effective with respect to Party B's obligations under this Agreement; provided that the foregoing shall only apply to that portion of the Guarantee provided by the Guarantor who does not constitute an ""eligible contract participant""."
24,additional_termination_events,85,"""Credit Agreement "" shall mean the credit agreement (as amended, amended and restated, supplemented, extended, refinanced, replaced, or otherwise modified from time to time, this ""Agreement"") entered into as of July 31, 2012, as amended by the First Amendment dated as of August, 16, 2013, and as further amended by the Second Amendment dated May 7, 2014 (the ""_Credit Agreement_ ,"" capitalized terms used and not otherwise defined herein shall have the meanings assigned to them in the Credit Agreement), among BOOZ ALLEN HAMILTON INC., a Delaware corporation (the ""Company "" or the ""Borrower ""), the several banks and other financial institutions or entities from time to time parties to this Agreement (the ""Lenders ""), BANK OF AMERICA, N.A., as Administrative Agent, Collateral Agent and Issuing Lender."
25,additional_termination_events,85,"For the purpose of the foregoing Additional Termination Events, Party B shall be the sole Affected Party and all transactions shall be Affected Transactions."
26,,0,Part  2. 	 Tax Representations.
27,payer_representations,90,"(a) 	 Payer Tax Representations. For the purposes of Section 3(e), Party A and Party B make the following representation:"
28,payer_representations,85,"It is not required by any applicable law, as modified by the practice of any relevant governmental revenue authority, of any Relevant Jurisdiction to make any deduction or withholding for or on account of any Tax from any payment (other than interest under Section 9(h) of this Agreement) to be made by it to the other party under this Agreement. In making this representation, it may rely on (i) the accuracy of any representations made by the other party pursuant to Section 3(f) of this Agreement, (ii) the satisfaction of the agreement contained in Section 4(a)(i) or 4(a)(iii) of this Agreement, and the accuracy and effectiveness of any document provided by the other party pursuant to Section 4(a)(i) or 4(a)(iii) of this Agreement, and (iii) the satisfaction of the agreement of the other party contained in Section 4(d) of this Agreement, provided that it shall not be a breach of this representation where reliance is placed on clause (ii) and the other party does not deliver a form or document under Section 4(a)(iii) by reason of material prejudice to its legal or commercial position."
29,payee_representations,90,(b) 	 Payee Tax Representations.
30,payee_representations,85,"For the purposes of Section 3(f), Party A makes the following representations:"
31,payee_representations,85,"(i) 	 Party A is a Japanese banking organization, organized under the laws of Japan;"
32,payee_representations,85,(ii) 	 Each payment received or to be received by Party A in connection with this Agreement will be effectively connected with the conduct of a trade or business by it in the United States; and
33,payee_representations,85,"(iii) 	 It is a ""foreign person"" as that term is used in section 1.6041-4(a)(4) of the U.S. Treasury Regulations."
34,payee_representations,85,"For purposes of Section 3(f), Party B makes the following representations:"
35,payee_representations,85,Party B represents that it is a U.S. corporation for U.S. federal income tax purposes.
36,,0,Part 3.
37,other_documents,90,Agreement to Deliver Documents
38,other_documents,85,"For the purpose of Section 4(a)(i) and (ii) of this Agreement, each party agrees to deliver the following documents:"
39,delivery_of_tax_forms,95,"(a) 	 Tax forms, documents or certificates to be delivered under Section 4(a) are:"
40,delivery_of_tax_forms,90,"Party required to deliver document 	    	  Forms/Documents/Certificates 	    	  Date by which to be delivered Party A and Party B 	    	 An executed United States Internal Revenue Service Form W-8ECI (or any successor thereto), Form W-8BEN (or any successor thereto), or W-9 (or any successor thereto), as applicable. 	    	 (i) Upon execution of this Agreement, (ii) promptly upon reasonable request by the other party, and (iii) promptly upon learning that any such form previously provided has become obsolete, incorrect, or ineffective."
41,delivery_of_tax_forms,90,"Party A and Party B 	    	 Any form, document or certificate reasonably requested by the other party in order for such other party to be able to make payments hereunder without withholding for or on account of Taxes or with such withholding at a reduced rate. 	    	 Upon earlier of (i) reasonable demand (ii) the other party learning that the form or document is required."
42,other_documents,90,(b) 	 Other documents to be delivered are:
43,other_documents,85,"Party required to deliver 	    	  Form/Document/Certificate 	    	  Date by which to be delivered 	    	  Covered by Section 3(d) Representation Party B 	    	 Certified copies of all corporate authorizations and any other documents with respect to the execution, delivery and performance of this Agreement. 	    	 Upon execution and delivery of this Agreement. 	    	 Yes Party A and Party B 	    	 Certificate of authority and specimen signatures of individuals executing this Agreement and each confirmation. 	    	 Upon execution and delivery of this Agreement and thereafter upon request of the other party. 	    	 Yes"
44,,0,Part  4. 	 Miscellaneous
45,address_for_notices,95,(a) 	 Addresses for Notices. For the purpose of Section 12(a):
46,address_for_notices,90,Address for notices or communications to Party A:
47,address_for_notices,90,"Address: 	    	 The Bank of Tokyo-Mitsubishi UFJ, Ltd."
48,address_for_notices,90,"1251 Avenue of the Americas New York, NY 10020-1104 Attention: 	    	 Managing Director, Planning Global Markets Division for the Americas Facsimile No: 	    	 (212) 782-6428 Telephone No: 	    	 (212) 782-6593"
49,address_for_notices,90,Address for notices or communications to Party B:
50,address_for_notices,90,Booz Allen Hamilton Inc.
51,address_for_notices,90,8283 Greensboro Drive
52,address_for_notices,90,McLean VA 22102
53,address_for_notices,90,Attention: Terrence Kaden
54,address_for_notices,90,Telecopy: (703) 902-3011
55,address_for_notices,90,Telephone: (703) 902-4700
56,address_for_notices,90,in each case with a copy to:
57,address_for_notices,90,Booz Allen Hamilton Inc.
58,address_for_notices,90,13200 Woodland Park Road
59,address_for_notices,90,Herndon VA 20171
