index,clause_key,confidence,text
0,,0,SCHEDULE
1,,0,to the
2,,0,2002 Master Agreement
3,,0,"dated as of August 11, 2005 between"
4,,0,"BANK OF AMERICA, N.A.,"
5,,0,a national banking association
6,,0,"organized and existing under the laws of the United States of America,"
7,,0,"(""Party A"")"
8,,0,and
9,,0,"KATY INDUSTRIES, INC.,"
10,,0,a corporation
11,,0,"organized and existing under the laws of the State of Delaware,"
12,,0,"(""Party B"")"
13,,0,PART 1:Termination Provisions
14,specified_entity,90,"(a) 	  ""Specified Entity"" means in relation to Party A for the purpose of Sections 5(a)(v), 5(a)(vi), 5(a)(vii) and 5(b)(v):"
15,specified_entity,90,None;
16,specified_entity,90,"""Specified Entity"" means in relation to Party B for the purpose of Sections 5(a)(v), 5(a)(vi), 5(a)(vii) and 5(b)(v):"
17,specified_entity,90,None.
18,specified_transaction,90,"(b) 	  ""Specified Transaction "" will have the meaning specified in Section 14."
19,cross_default,90,"(c) 	  The ""Cross-Default"" provisions of Section 5(a)(vi) (as amended in Part 5(d))"
20,cross_default,90,will apply to Party A and
21,cross_default,90,will apply to Party B.
22,specified_indebtness,90,"In connection therewith, ""Specified Indebtedness"" will not have the meaning specified in Section 14, and such definition shall be replaced by the following: ""any obligation in respect of the payment of moneys (whether present or future, contingent or otherwise, as principal or surety or otherwise), except that such term shall not include obligations in respect of deposits received in the ordinary course of a party's banking business."""
23,threshold_amount,90,"""Threshold Amount"" means with respect to Party A an amount equal to three percent (3%) of the Shareholders' Equity of Bank of America Corporation and with respect to Party B, $1,000,000.00."
24,additional_events_of_default,80,"With respect to Party B, any ""Event of Default"" (as such term is defined in the Credit Agreement) shall be an Event of Default under this Agreement."
25,additional_events_of_default,80,"""Credit Agreement"" means the Amended and Restated Loan Agreement dated as of April 13, 2004, by and among Party A, other lenders party thereto and Party B (as amended, extended, supplemented or otherwise modified in writing from time to time)."
26,,0,"""Shareholders' Equity"" means with respect to an entity, at any time, the sum (as shown in the most recent annual audited financial statements of such entity) of (i) its capital stock (including preferred stock) outstanding, taken at par value, (ii) its capital surplus and (iii) its retained earnings, minus (iv) treasury stock, each to be determined in accordance with generally accepted accounting principles."
27,credit_event_upon_merger,90,"(d) 	  The ""Credit Event Upon Merger "" provisions of Section 5(b)(v)"
28,credit_event_upon_merger,90,will apply to Party A
29,credit_event_upon_merger,90,will apply to Party B.
30,automatic_early_termination,90,"(e) 	  The ""Automatic Early Termination"" provision of Section 6(a)"
31,automatic_early_termination,90,will not apply to Party A
32,automatic_early_termination,90,will not apply to Party B.
33,termination_currency,90,"(f) 	  ""Termination Currency"" means United States Dollars."
34,additional_termination_events,90,(g) 	  Additional Termination Event will apply.
35,additional_termination_events,90,The following Additional Termination Events shall apply:
36,additional_termination_events,90,"(i) 	  In the event that at any time prior to the termination of any Transaction hedging obligations under the Credit Agreement, Party A's obligation to lend under the Credit Agreement is terminated (a ""Collateral Event""), Party B shall within three General Business Days of a Collateral Event (a) execute an ISDA Credit Support Annex, or provide other credit support, to secure the exposure of Party A, in form and substance satisfactory to Party A in its sole discretion or (b) transfer its rights and obligations under this Agreement to another party that is acceptable to Party A. Failure to take either action mentioned in the preceding sentence to the satisfaction of Party A shall constitute an Additional Termination Event under this Agreement with Party B being the sole Affected Party;"
37,additional_termination_events,90,"(ii) 	  In the event that at any time prior to the termination of any Transaction hedging obligations under the Credit Agreement, Party A (in accordance with the terms of the Credit Agreement) voluntarily sells, assigns or otherwise disposes of its obligation to lend and be a party to the Credit Agreement (a ""Credit Event""), Party A shall within three General Business Days of a Collateral Event transfer its rights and obligations under this Agreement to another party that is acceptable to Party B. Failure to take such action mentioned in the preceding sentence to the satisfaction of Party B shall constitute an Additional Termination Event under this Agreement with Party A being the sole Affected Party; and"
38,additional_termination_events,90,"(iii) 	  It shall be an Additional Termination Event hereunder, with respect to which Party B shall be the sole Affected Party, if the payment obligations of Party B hereunder are specifically subordinated to Party B's obligations to the lenders under the Credit Agreement or any new or other credit agreement to which Party B is a party."
39,,0,PART 2:Tax Representations
40,payer_representations,90,"(a) 	  Payer Tax Representations. For the purpose of Section 3(e) of this Agreement, Party A and Party B will make the following representation:"
41,payer_representations,90,"It is not required by any applicable law, as modified by the practice of any relevant governmental revenue authority, of any Relevant Jurisdiction to make any deduction or withholding for or on account of any Tax from any payment (other than interest under Section 9(h) of this Agreement) to be made by it to the other party under this Agreement. In making this representation, it may rely on (i) the accuracy of any representations made by the other party pursuant to Section 3(f) of this Agreement, (ii) the satisfaction of the agreement contained in Section 4(a)(i) or 4(a)(iii) of this Agreement and the accuracy and effectiveness of any document provided by the other party pursuant to Section 4(a)(i) or 4(a)(iii) of this Agreement and (iii) the satisfaction of the agreement of the other party contained in Section 4(d) of this Agreement, except that it will not be a breach of this representation where reliance is placed on clause (ii) above and the other party does not deliver a form or document under Section 4(a)(iii) by reason of material prejudice to its legal or commercial position."
42,payee_representations,90,"(b) 	  Payee Tax Representations. For the purpose of Section 3(f) of this Agreement, Party A and Party B will make the following representations specified below, if any:"
43,payee_representations,90,(i) 	  The following representations will apply to Party A:
44,payee_representations,90,Party A is a national banking association created or organized under the laws of the United States of America and the federal taxpayer identification number is 94-1687665.
45,payee_representations,90,(ii) 	  The following representations will apply to Party B:
46,payee_representations,90,Party B is a corporation created or organized under the laws of the State of Delaware and the federal taxpayer identification number is75-l277589.
47,,0,PART 3:Agreement to Deliver Documents
48,other_documents,80,"For the purpose of Section 4(a)(i) and (ii) of this Agreement, each party agrees to deliver the following documents:"
49,delivery_of_tax_forms,90,"(a) 	  Tax forms, documents or certificates to be delivered are:"
50,delivery_of_tax_forms,90,Party required todeliver document 	  	  Form/Document/Certificate 	  	  Date by which to be delivered Party A and Party B 	  	  Internal Revenue Service Form W-9 	  	  Upon execution and delivery of this Agreement
51,other_documents,80,(b) 	  Other documents to be delivered are:
52,financial_statements,90,"Partyrequired todeliverdocument 	  	  Form/Document/Certificate 	  	  Date bywhich to bedelivered 	  	  Covered bySection 3(d)Representation Party A 	  	  Annual Report of Bank of America Corporation containing audited, consolidated financial statements certified by independent certified public accountants and prepared in accordance with generally accepted accounting principles in the country in which such party is organized 	  	  To be made available on www.bankofameric a.com/investor/ as soon as available and in any event within 90 days after the end of each fiscal year of Party A 	  	  Yes Party B 	  	  Annual Report of Party B and of any Credit Support Provider thereof containing audited, consolidated financial statements certified by independent certified public accountants and prepared in accordance with generally accepted accounting principles in the country in which such party and such Credit Support Provider is organized 	  	  Upon request 	  	  Yes Party A 	  	  Quarterly Financial Statements of Bank of America Corporation containing unaudited, consolidated financial statements of such party's fiscal quarter prepared in accordance with generally accepted accounting principles in the country in which such party is organized 	  	  To be made available on www.bankofameric a.com/investor/ as soon as available and in any event within 30 days after the end of each fiscal quarter of Party A 	  	  Yes"
53,financial_statements,90,"Partyrequired to deliverdocument 	  	  Form/Document/Certificate 	  	  Date bywhich to be delivered 	  	  Covered bySection 3(d) Representation Party B 	  	  Quarterly Financial Statements of Party B and any Credit Support Provider thereof containing unaudited, consolidated financial statements of such party's fiscal quarter prepared in accordance with generally accepted accounting principles in the country in which such party and such Credit Support Provider is organized 	  	  Upon request 	  	  Yes Party A and Party B 	  	  Certified copies of all corporate, partnership or membership authorizations, as the case may be, and any other documents with respect to the execution, delivery and performance of this Agreement and any Credit Support Document 	  	  Upon execution and delivery of this Agreement 	  	  Yes Party A and Party B 	  	  Certificate of authority and specimen signatures of individuals executing this Agreement and any Credit Support Document 	  	  Upon execution and delivery of this Agreement and thereafter upon request of the other party 	  	  Yes"
54,,0,PART 4:Miscellaneous
55,address_for_notices,90,(a) 	  Address for Notices. For the purpose of Section 12(a) of this Agreement:
56,address_for_notices,90,Address for notice or communications to Party A:
57,address_for_notices,90,"Bank of America, N. A."
58,address_for_notices,90,Sears Tower
59,address_for_notices,90,"233 South Wacker Drive, Suite 2800"
60,address_for_notices,90,"Chicago, IL 60606"
61,address_for_notices,90,Attention: Swap Operations
