key,title,confidence,value,evidence,explanation
date,Date of the contract,95,2017-07-12,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","Date explicitly stated as 'dated as of July 12, 2017' in the header."
party_A,Party A,95,"JPMorgan Chase Bank, N.A.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","Party A named as 'JPMorgan Chase Bank, N.A., a national banking association organized under the laws of the United States of America'."
party_B,party_B,95,"CMF TT II, LLC","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","Party B named as 'CMF TT II, LLC, a limited liability corporation organized under Delaware law'."
specified_entity_A,Specified entity Party A,90,any Affiliate for purposes of Section 5(a)(v) other than J.P. Morgan Ventures Energy Corporation,"[9, 10, 11, 98, 99]",Defined in the text as 'in relation to Party A: any Affiliate for purposes of Section 5(a)(v) other than J.P. Morgan Ventures Energy Corporation'.
specified_entity_B,Specified entity Party B,95,None,"[9, 10, 11, 98, 99]","Text states 'in relation to Party B: not applicable' and 'Specified Entity means, in relation to Party B:none'."
specified_transaction,Specified transaction scope,90,NONSTD,"[12, 119, 180, 182]","The text specifies amendments to the definition of 'Specified Transaction' in Section 14, including insertion of 'margin loan' and inclusion of clearing agreements, indicating non-standard changes to Section 14."
cross_default,Cross default applicable parties,90,AB,"[13, 16, 17, 18]","The text states that the 'Cross-Default' provisions of Section 5(a)(vi) will apply, which generally applies to both parties (Party A and Party B) in an ISDA Master Agreement."
specified_indebtness_borrowed_money,Specified indebtness includes borrowed_money,80,False,[14],No mention of borrowed money being included in Specified Indebtedness; only deposits are explicitly excluded.
specified_indebtness_deposits,Specified indebtness excludes deposits,90,True,[14],Text explicitly states Specified Indebtedness shall exclude deposits received in the ordinary course of business.
threshold_amount_A_amount,amount for Party A,90,None,[15],"Threshold amount for Party A is defined as a percentage, not a fixed amount."
threshold_amount_A_currency,currency for Party A ,90,None,[15],No currency specified for Party A threshold amount.
threshold_amount_A_percent,percentage for Party A ,100,3.0,[15],Threshold amount for Party A is 3% of its total shareholders' equity.
threshold_amount_A_percent_reference,percentage reference for Party A ,100,SHAREHOLDER,[15],Percentage reference for Party A is total shareholders' equity.
threshold_amount_B_amount,amount for Party B,90,None,[15],"Threshold amount for Party B is defined as a percentage, not a fixed amount."
threshold_amount_B_currency,currency for Party B,90,None,[15],No currency specified for Party B threshold amount.
threshold_amount_B_percent,percentage for Party B,100,3.0,[15],Threshold amount for Party B is 3% of its Net Asset Value.
threshold_amount_B_percent_reference,percentage reference for Party B,100,NAV,[15],Percentage reference for Party B is Net Asset Value.
credit_event_upon_merger,Credit Event Upon Merger  applicable parties,90,NONE,[20],"The text explicitly states that the 'Credit Event Upon Merger' provisions will not apply, indicating no party is applicable."
automatic_early_termination,Automatic Early Termination  applicable parties,90,NONE,[21],"The text states that the Automatic Early Termination provisions of Section 6(a) will not apply, indicating no party is subject to automatic early termination."
termination_currency,Termination Currency,90,USD,[19],"The text defines 'Termination Currency' as United States Dollars, which corresponds to the ISO code USD."
notices_A,Email for notices for Party A,95,jpm nav data@jpmorgan.com,"[62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82]",Email for notices to Party A is explicitly given as 'jpm nav data@jpmorgan.com' in the Net Asset Value statements section.
notices_B,Email for notices for Party B,95,Patrick.egan@morganstanley.com,"[62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82]",Email for notices to Party B is explicitly given as 'Patrick.egan@morganstanley.com' under Party B's contact details.
process_agent_A,Process agent for party A,95,False,"[83, 84]",Text states 'Party A appoints as its Process Agent: Not applicable.' indicating no process agent for Party A.
process_agent_name_A,Name of process agent for party A,95,None,"[83, 84]","No process agent appointed for Party A, so no name provided."
process_agent_address_A,Address of process agent for party A,95,None,"[83, 84]","No process agent appointed for Party A, so no address provided."
process_agent_B,Process agent for party B,95,False,"[83, 84]",Text states 'Party B appoints as its Process Agent: Not applicable.' indicating no process agent for Party B.
process_agent_name_B,Name of process agent for party B,95,None,"[83, 84]","No process agent appointed for Party B, so no name provided."
process_agent_address_B,Address of process agent for party B,95,None,"[83, 84]","No process agent appointed for Party B, so no address provided."
multibranch_party_A,Party A is a Multibranch party,95,True,"[86, 87]",Text explicitly states Party A is a Multibranch Party.
multibranch_party_A_offices,Party A offices,90,any Office specified in a Confirmation,"[86, 87]",Party A may act through any Office specified in a Confirmation.
multibranch_party_B,Party B is a Multibranch party,95,False,"[86, 87]",Text explicitly states Party B is not a Multibranch Party.
multibranch_party_B_offices,Party B offices,90,None,"[86, 87]",No offices specified for Party B as it is not a Multibranch Party.
calculation_agent,Party for calculation agent,95,A,"[123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 137]","Section (6)(i) states that the Calculation Agent will be Party A, except if an Event of Default occurs and is continuing in respect of Party A, then it will be Party B or an Independent Dealer. The default party is Party A."
governing_law,Governing Law,100,NEW-YORK,[93],Text explicitly states the agreement is governed by the laws of the State of New York.
