key,title,confidence,value,evidence,explanation
date,Date of the contract,99,2008-03-06,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","The contract date is explicitly stated as 'dated as of March 6, 2008' in the introductory paragraph."
party_A,Party A,99,"Wells Fargo Bank, N.A.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","Party A is explicitly named as 'Wells Fargo Bank, N.A.' in the introductory paragraph."
party_B,party_B,99,Barnes Group Inc.,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",Party B is explicitly named as 'Barnes Group Inc.' in the introductory paragraph.
specified_entity_A,Specified entity Party A,90,None,"[6, 7, 8, 9, 10]",Text explicitly states 'None' for Specified Entity in relation to Party A for all listed sections.
specified_entity_B,Specified entity Party B,90,"Subsidiaries, as defined in the Credit Agreement; Significant Subsidiaries, as defined in the Credit Agreement","[6, 7, 8, 9, 10]","Text specifies 'Subsidiaries, as defined in the Credit Agreement' and 'Significant Subsidiaries, as defined in the Credit Agreement' for Party B in the respective sections."
specified_transaction,Specified transaction scope,90,STD,[11],"The text states that 'Specified Transaction' has the meaning specified in Section 14, indicating the standard definition per Section 14, thus 'STD'."
cross_default,Cross default applicable parties,95,AB,"[12, 13, 14]",The text states that the Cross-Default provisions apply to Party A and Party B.
specified_indebtness_borrowed_money,Specified indebtness includes borrowed_money,80,False,[15],The text does not mention borrowed money as included in Specified Indebtedness; only deposits are explicitly excluded.
specified_indebtness_deposits,Specified indebtness excludes deposits,100,True,[15],The text explicitly states that Specified Indebtedness shall not include deposits and obligations in respect of deposits received in the ordinary course of Party A's banking business.
threshold_amount_A_amount,amount for Party A,90,None,[16],"Threshold amount for Party A is expressed as a percentage, not a fixed amount."
threshold_amount_A_currency,currency for Party A ,90,None,[16],No currency specified for Party A threshold amount; it is a percentage of Shareholders Equity.
threshold_amount_A_percent,percentage for Party A ,100,3.0,[16],Party A threshold amount is 3% of Shareholders Equity as stated in the text.
threshold_amount_A_percent_reference,percentage reference for Party A ,100,SHAREHOLDER,[16],Percentage reference for Party A is Shareholders Equity as explicitly stated.
threshold_amount_B_amount,amount for Party B,100,20000000.0,[16],"Party B threshold amount is $20,000,000 for Specified Indebtedness other than that owing to Party A."
threshold_amount_B_currency,currency for Party B,80,USD,[16],Currency inferred as USD from the dollar sign ($) used in the text.
threshold_amount_B_percent,percentage for Party B,90,0.0,[16],No percentage threshold amount specified for Party B; amounts are fixed dollar values.
threshold_amount_B_percent_reference,percentage reference for Party B,90,None,[16],No percentage reference applicable for Party B as no percentage threshold is specified.
credit_event_upon_merger,Credit Event Upon Merger  applicable parties,95,AB,[18],The text explicitly states that the 'Credit Event Upon Merger' provisions apply to Party A and Party B.
automatic_early_termination,Automatic Early Termination  applicable parties,95,NONE,[19],Text explicitly states that the Automatic Early Termination provision will not apply to Party A or Party B.
termination_currency,Termination Currency,95,USD,[21],"The text defines 'Termination Currency' as United States Dollars, which corresponds to the ISO code USD."
notices_A,Email for notices for Party A,90,None,"[40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51]",No email address provided for Party A; only physical addresses and phone/fax numbers are given.
notices_B,Email for notices for Party B,90,None,"[40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51]",No email address provided for Party B; only physical addresses and fax numbers are given.
process_agent_A,Process agent for party A,95,False,[52],Text explicitly states Party A will not appoint a Process Agent.
process_agent_name_A,Name of process agent for party A,95,None,[52],"No Process Agent appointed for Party A, so no name provided."
process_agent_address_A,Address of process agent for party A,95,None,[52],"No Process Agent appointed for Party A, so no address provided."
process_agent_B,Process agent for party B,95,False,[52],Text explicitly states Party B will not appoint a Process Agent.
process_agent_name_B,Name of process agent for party B,95,None,[52],"No Process Agent appointed for Party B, so no name provided."
process_agent_address_B,Address of process agent for party B,95,None,[52],"No Process Agent appointed for Party B, so no address provided."
multibranch_party_A,Party A is a Multibranch party,100,False,"[54, 55, 56]",Text explicitly states 'Party A is not a Multibranch Party.'
multibranch_party_A_offices,Party A offices,,None,"[54, 55, 56]",No offices information provided as Party A is not a Multibranch Party.
multibranch_party_B,Party B is a Multibranch party,100,False,"[54, 55, 56]",Text explicitly states 'Party B is not a Multibranch Party.'
multibranch_party_B_offices,Party B offices,,None,"[54, 55, 56]",No offices information provided as Party B is not a Multibranch Party.
calculation_agent,Party for calculation agent,90,A,[57],"Text states 'The Calculation Agent is Party A, unless Party A is a Defaulting Party', so default calculation agent is Party A."
governing_law,Governing Law,100,NEW-YORK,[64],The text explicitly states the agreement is governed by the laws of the State of New York.
