key,title,confidence,value,evidence,explanation
date,Date of the contract,99,2017-07-12,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","The contract date is explicitly stated as 'dated as of July 12, 2017'."
party_A,Party A,99,"JPMorgan Chase Bank, N.A.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","Party A is identified as 'JPMorgan Chase Bank, N.A., a national banking association organized under the laws of the United States of America'."
party_B,party_B,99,Cambridge Master Fund L.P.,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","Party B is identified as 'Cambridge Master Fund L.P., a limited partnership formed in the United States'."
specified_entity_A,Specified entity Party A,90,any Affiliate for purposes of Section 5(a)(v) other than J.P. Morgan Ventures Energy Corporation,"[9, 10, 11, 105, 106]",Defined explicitly as 'any Affiliate for purposes of Section 5(a)(v) other than J.P. Morgan Ventures Energy Corporation' for Party A.
specified_entity_B,Specified entity Party B,95,not applicable,"[9, 10, 11, 105, 106]","Text states 'in relation to Party B: not applicable' and 'Specified Entity means, in relation to Party B:none'."
specified_transaction,Specified transaction scope,90,NONSTD,"[12, 128, 196, 198]","The text specifies amendments to the definition of 'Specified Transaction' in Section 14, including insertion of 'margin loan' and inclusion of agreements relating to clearing of derivative transactions or futures contracts, indicating non-standard changes to Section 14."
cross_default,Cross default applicable parties,90,AB,"[13, 16, 17]","The text refers to 'The ""Cross-Default"" provisions of Section 5(a)(vi) will apply' without limiting to a specific party, implying cross default applies to both Party A and Party B."
specified_indebtness_borrowed_money,Specified indebtness includes borrowed_money,80,False,[14],No mention of borrowed money being included in Specified Indebtedness; only deposits are explicitly excluded.
specified_indebtness_deposits,Specified indebtness excludes deposits,90,True,[14],Text explicitly states that Specified Indebtedness shall exclude any deposits received in the ordinary course of business.
threshold_amount_A_amount,amount for Party A,90,None,[15],"Threshold amount for Party A is specified as a percentage, no fixed amount given."
threshold_amount_A_currency,currency for Party A ,90,None,[15],No currency specified for Party A threshold amount.
threshold_amount_A_percent,percentage for Party A ,100,3.0,[15],Party A threshold amount is 3% of its total shareholders' equity.
threshold_amount_A_percent_reference,percentage reference for Party A ,100,SHAREHOLDER,[15],Percentage reference for Party A is 'total shareholders' equity'.
threshold_amount_B_amount,amount for Party B,90,None,[15],"Threshold amount for Party B is specified as a percentage, no fixed amount given."
threshold_amount_B_currency,currency for Party B,90,None,[15],No currency specified for Party B threshold amount.
threshold_amount_B_percent,percentage for Party B,100,3.0,[15],Party B threshold amount is 3% of its Net Asset Value.
threshold_amount_B_percent_reference,percentage reference for Party B,100,NAV,[15],Percentage reference for Party B is 'Net Asset Value'.
credit_event_upon_merger,Credit Event Upon Merger  applicable parties,90,NONE,[19],"The text explicitly states that the 'Credit Event Upon Merger' provisions will not apply, indicating no parties are subject to this event."
automatic_early_termination,Automatic Early Termination  applicable parties,90,NONE,[20],"The text states that the 'Automatic Early Termination' provisions of Section 6(a) will not apply, indicating no party is subject to automatic early termination."
termination_currency,Termination Currency,95,USD,[18],"The text defines 'Termination Currency' as United States Dollars, which corresponds to the ISO code USD."
notices_A,Email for notices for Party A,95,jpmnavdata@jpmorgan.com,"[65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86]",Email for Party A notices is explicitly given as 'e-mail: jpmnavdata@jpmorgan.com' in the text.
notices_B,Email for notices for Party B,95,Patrick.egan@morganstanley.com,"[65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86]",Email for Party B notices is explicitly given as 'Email: Patrick.egan@morganstanley.com' in the text.
process_agent_A,Process agent for party A,100,False,"[87, 88, 89]",Text explicitly states 'Party A appoints as its Process Agent: Not applicable.'
process_agent_name_A,Name of process agent for party A,100,None,"[87, 88, 89]",No process agent appointed for Party A as it is not applicable.
process_agent_address_A,Address of process agent for party A,100,None,"[87, 88, 89]",No process agent address provided for Party A as it is not applicable.
process_agent_B,Process agent for party B,100,False,"[87, 88, 89]",Text explicitly states 'Party B appoints as its Process Agent: Not applicable.'
process_agent_name_B,Name of process agent for party B,100,None,"[87, 88, 89]",No process agent appointed for Party B as it is not applicable.
process_agent_address_B,Address of process agent for party B,100,None,"[87, 88, 89]",No process agent address provided for Party B as it is not applicable.
multibranch_party_A,Party A is a Multibranch party,95,True,"[92, 93]",Text explicitly states Party A is a Multibranch Party.
multibranch_party_A_offices,Party A offices,90,any Office specified in a Confirmation,"[92, 93]",Party A may act through any Office specified in a Confirmation.
multibranch_party_B,Party B is a Multibranch party,95,False,"[92, 93]",Text explicitly states Party B is not a Multibranch Party.
multibranch_party_B_offices,Party B offices,,None,"[92, 93]",No offices specified for Party B as it is not a Multibranch Party.
calculation_agent,Party for calculation agent,90,AB,"[132, 133, 134, 136, 137, 138, 139, 140, 141, 142, 144, 149]","Calculation Agent is Party A by default, but if an Event of Default occurs with respect to Party A, then Calculation Agent becomes Party B or an Independent Dealer selected by Party B. Thus, both parties can act as Calculation Agent depending on circumstances."
governing_law,Governing Law,95,NEW-YORK,[99],The text explicitly states the agreement is governed by the laws of the State of New York.
