key,title,confidence,value,evidence,explanation
specified_entity_A,Specified entity Party A,100,None,"[14, 15, 16, 17, 107, 108]","The text explicitly states: 'Specified Entity' means in relation to Party A, None."
specified_entity_B,Specified entity Party B,100,None,"[14, 15, 16, 17, 107, 108]","The text explicitly states: 'Specified Entity' means in relation to Party B, None."
specified_transaction,Specified transaction scope,90,STD,"[19, 122]","The text states that 'Specified Transaction' will have the meaning specified in Section 14 of this Agreement, indicating the standard definition is used."
cross_default,Cross default applicable parties,100,AB,"[20, 21]",The text explicitly states that the Cross-Default provisions apply to Party A and to Party B.
specified_indebtness_borrowed_money,Specified indebtness includes borrowed_money,50,None,[22],"The text does not mention 'borrowed money' explicitly in the definition or exclusion, so it is unclear if it is included."
specified_indebtness_deposits,Specified indebtness excludes deposits,100,True,[22],The text explicitly states that indebtedness in respect of deposits is excluded from Specified Indebtedness.
threshold_A,Threshold amount for Party A,100,"{'amount': {'value': None, 'confidence': 1.0, 'explanation': 'No fixed amount is stated for Party A; only a percentage is given.'}, 'currency': {'value': None, 'confidence': 1.0, 'explanation': ""No currency is specified for Party A's threshold.""}, 'percent': {'value': 3.0, 'confidence': 1.0, 'explanation': ""The text states 'an amount equal to 3% of shareholder's equity' for Party A.""}, 'percent_reference': {'value': 'SHAREHOLDER', 'confidence': 1.0, 'explanation': ""The reference is 'shareholder's equity', which matches the enum SHAREHOLDER.""}}",[23],All information for Party A is explicitly stated in the text.
threshold_B,Threshold amount for Party B,100,"{'amount': {'value': None, 'confidence': 1.0, 'explanation': 'No fixed amount is stated for Party B; only a percentage is given.'}, 'currency': {'value': None, 'confidence': 1.0, 'explanation': ""No currency is specified for Party B's threshold.""}, 'percent': {'value': 3.0, 'confidence': 1.0, 'explanation': ""The text states '3% of its Net Asset Value' for Party B.""}, 'percent_reference': {'value': 'NAV', 'confidence': 1.0, 'explanation': ""The reference is 'Net Asset Value', which matches the enum NAV.""}}",[23],All information for Party B is explicitly stated in the text.
credit_event_upon_merger,Credit Event Upon Merger  applicable parties,100,AB,[24],The text explicitly states that the 'Credit Event Upon Merger' provisions apply to Party A and Party B.
automatic_early_termination,Automatic Early Termination  applicable parties,95,NONE,[25],The text explicitly states that Automatic Early Termination will not apply to Party A and Party B.
termination_currency,Termination Currency,100,USD,[26],The text explicitly states: 'Termination Currency' means USD.
notices_A,Email for notices for Party A,95,us-legal-nego@sgcib.com,"[60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82]",The email address for Party A is explicitly listed under both (i) and (ii) as 'E-mail: us-legal-nego@sgcib.com'.
notices_B,Email for notices for Party B,95,trading@uscfinvestments.com,"[60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82]","The primary email for notices to Party B is listed as 'E-mail: trading@uscfinvestments.com', with a copy to another address."
process_agent_A,Process agent for party A,100,"{'is_process_agent': {'value': True, 'confidence': 1.0, 'explanation': 'The text explicitly states that Party A appoints Societe Generale, New York Branch as its Process Agent.'}, 'process_agent_name': {'value': 'Societe Generale, New York Branch', 'confidence': 1.0, 'explanation': ""The name is explicitly stated in the text: 'Party A appoints as its Process Agent: Societe Generale, New York Branch'.""}, 'process_agent_address': {'value': '245 Park Avenue, 11th Floor, New York, NY 10167', 'confidence': 1.0, 'explanation': ""The address is explicitly stated in the text following the process agent's name.""}}","[83, 84, 85, 86, 87, 88]",All details for Party A's process agent are explicitly provided in the text.
process_agent_B,Process agent for party B,100,"{'is_process_agent': {'value': True, 'confidence': 1.0, 'explanation': ""The text states that Party B's Process Agent will be its legal officer at its address for notices.""}, 'process_agent_name': {'value': ""Party B's legal officer"", 'confidence': 1.0, 'explanation': ""The text specifies the process agent as 'its legal officer at its address for notices'.""}, 'process_agent_address': {'value': ""Party B's address for notices"", 'confidence': 1.0, 'explanation': ""The text specifies the address as 'its address for notices'.""}}","[83, 84, 85, 86, 87, 88]",The process agent for Party B is described explicitly as its legal officer at its address for notices.
multibranch_party_A,Multibranch for Party A,100,"{'is_multibranch': {'value': True, 'confidence': 1.0, 'explanation': ""The text explicitly states 'Party A is a Multibranch Party'.""}, 'multibranch_offices': {'value': ['Paris', 'London'], 'confidence': 1.0, 'explanation': ""The text specifies 'head Office in Paris and its branch Office in London'.""}}","[90, 91, 92]",Both the status and offices for Party A are explicitly stated.
multibranch_party_B,Multibranch for Party B,100,"{'is_multibranch': {'value': False, 'confidence': 1.0, 'explanation': ""The text explicitly states 'Party B is not a Multibranch Party.'""}, 'multibranch_offices': {'value': None, 'confidence': 1.0, 'explanation': 'Party B is not a Multibranch Party, so no offices are listed.'}}","[90, 91, 92]",Party B's status is explicitly stated and no offices are provided.
calculation_agent,Party for calculation agent,95,A,[93],"The text explicitly states 'The Calculation Agent is Party A, unless otherwise specified in a Confirmation', indicating Party A is the default calculation agent in business as usual situations."
governing_law,Governing Law,100,NEW-YORK,"[99, 100]",The text explicitly states that the Agreement will be governed by the laws of the State of New York.
