key,title,confidence,value,evidence,explanation
date,Date of the contract,100,2017-07-12,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","The text states '2002 ISDA Master Agreement dated as of July 12, 2017', which is the date of the contract."
party_A,Party A,100,"JPMorgan Chase Bank, N.A.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","The text lists 'JPMorgan Chase Bank, N.A.' first, and then refers to it as 'a national banking association organized under the laws of the United States of America (""Party A"")'."
party_B,party_B,100,Cambridge Master Fund L.P.,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","The text lists 'Cambridge Master Fund L.P.' second, and then refers to it as 'a limited partnership formed in the United States (""Party B"")'."
specified_entity_A,Specified entity Party A,100,none,"[9, 10, 11, 100, 101]","The text explicitly states: '""Specified Entity"" means, in relation to Party A: none.'"
specified_entity_B,Specified entity Party B,100,none,"[9, 10, 11, 100, 101]","The text explicitly states: '""Specified Entity"" means, in relation to Party B:none.'"
specified_transaction,Specified transaction scope,100,NONSTD,"[12, 121, 182, 184]","The text explicitly states amendments to the definition of 'Specified Transaction' (adding 'margin loan' and including agreements relating to clearing of derivatives/futures), and also modifies the scope by excluding certain transactions and altering the standard language from Section 14. This constitutes a non-standard (NONSTD) scope."
cross_default,Cross default applicable parties,90,AB,"[13, 16, 17, 18]","The text states that the Cross-Default provisions of Section 5(a)(vi) will apply, but does not specify only one party. In ISDA Schedules, unless specified otherwise, such provisions apply to both parties."
specified_indebtness_borrowed_money,Specified indebtness includes borrowed_money,20,None,[14],The text does not mention whether borrowed money is included in Specified Indebtedness.
specified_indebtness_deposits,Specified indebtness excludes deposits,100,True,[14],"The text explicitly states that Specified Indebtedness shall exclude, in relation to Party A, any deposits received in the ordinary course of business."
threshold_amount_A_amount,amount for Party A,100,None,[15],"No fixed amount is specified for Party A, only a percentage."
threshold_amount_A_currency,currency for Party A ,100,None,[15],"No currency is specified for Party A, as the threshold is a percentage of equity."
threshold_amount_A_percent,percentage for Party A ,100,3.0,[15],The text states 'an amount equal to 3 % of its total shareholders' equity' for Party A.
threshold_amount_A_percent_reference,percentage reference for Party A ,100,SHAREHOLDER,[15],"The reference is 'total shareholders' equity', which matches the enum SHAREHOLDER."
threshold_amount_B_amount,amount for Party B,100,None,[15],"No fixed amount is specified for Party B, only a percentage."
threshold_amount_B_currency,currency for Party B,100,None,[15],"No currency is specified for Party B, as the threshold is a percentage of NAV."
threshold_amount_B_percent,percentage for Party B,100,3.0,[15],The text states 'an amount equal to 3% of its Net Asset Value' for Party B.
threshold_amount_B_percent_reference,percentage reference for Party B,100,NAV,[15],"The reference is 'Net Asset Value', which matches the enum NAV."
credit_event_upon_merger,Credit Event Upon Merger  applicable parties,100,NONE,[20],"The text states that the 'Credit Event Upon Merger' provisions will not apply, indicating no party is applicable."
automatic_early_termination,Automatic Early Termination  applicable parties,100,NONE,[21],"The text explicitly states that the Automatic Early Termination provisions will not apply, indicating that no party is subject to these provisions."
termination_currency,Termination Currency,100,USD,[19],"The text explicitly states 'Termination Currency' means United States Dollars, which corresponds to the ISO code USD."
notices_A,Email for notices for Party A,80,None,"[62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82]","No general email address for notices to Party A is provided; only a facsimile number is listed for notices under Sections 5 or 6. The only email given is for Net Asset Value statements, not general notices."
notices_B,Email for notices for Party B,100,Patrick.egan@morganstanley.com,"[62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82]",The text explicitly states 'Email: Patrick.egan@morganstanley.com' for notices to Party B.
process_agent_A,Process agent for party A,100,False,"[83, 84, 85]",The text states 'Party A appoints as its Process Agent: Not applicable.'
process_agent_name_A,Name of process agent for party A,100,None,"[83, 84, 85]","Process agent is not applicable for Party A, so no name is provided."
process_agent_address_A,Address of process agent for party A,100,None,"[83, 84, 85]","Process agent is not applicable for Party A, so no address is provided."
process_agent_B,Process agent for party B,100,False,"[83, 84, 85]",The text states 'Party B appoints as its Process Agent: Not applicable.'
process_agent_name_B,Name of process agent for party B,100,None,"[83, 84, 85]","Process agent is not applicable for Party B, so no name is provided."
process_agent_address_B,Address of process agent for party B,100,None,"[83, 84, 85]","Process agent is not applicable for Party B, so no address is provided."
multibranch_party_A,Party A is a Multibranch party,100,True,"[87, 88, 89]",The text states 'Party A is a Multibranch Party'.
multibranch_party_A_offices,Party A offices,100,any Office specified in a Confirmation,"[87, 88, 89]",The text states Party A may act through 'any Office specified in a Confirmation'.
multibranch_party_B,Party B is a Multibranch party,100,False,"[87, 88, 89]",The text states 'Party B is not a Multibranch Party.'
multibranch_party_B_offices,Party B offices,100,None,"[87, 88, 89]","Party B is not a Multibranch Party, so no offices are specified."
calculation_agent,Party for calculation agent,95,A,"[125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139]","The text states 'the Calculation Agent will be Party A; provided, however, that if an Event of Default occurs and is continuing in respect of Party A, the Calculation Agent will be Party B or an Independent Dealer...'. The default party is Party A, with exceptions only if Party A is in default. Therefore, the extracted value is Party A."
governing_law,Governing Law,100,NEW-YORK,[95],The text explicitly states that the Agreement will be governed by the laws of the State of New York.
