key,title,confidence,value,evidence,explanation
specified_entity_A,Specified entity Party A,95,any Affiliate for purposes of Section 5(a)(v) other than J.P. Morgan Ventures Energy Corporation,"[9, 10, 11]",The text explicitly defines Specified Entity for Party A as any Affiliate for purposes of Section 5(a)(v) other than J.P. Morgan Ventures Energy Corporation.
specified_entity_B,Specified entity Party B,100,None,"[9, 10, 11]",The text explicitly states that Specified Entity in relation to Party B is not applicable.
specified_transaction,Specified transaction scope,95,NONSTD,"[12, 128, 197]","The text explicitly amends the standard Section 14 definition of 'Specified Transaction' by adding 'margin loan' and making other modifications, indicating a non-standard scope."
cross_default,Cross default applicable parties,90,AB,"[13, 16, 17]","The text states that the Cross-Default provisions of Section 5(a)(vi) will apply, but does not specify only one party. In ISDA Schedules, unless otherwise specified, this typically applies to both parties."
specified_indebtness_borrowed_money,Specified indebtness includes borrowed_money,20,None,[14],The text does not mention 'borrowed money' as included or excluded from Specified Indebtedness.
specified_indebtness_deposits,Specified indebtness excludes deposits,95,True,[14],"The text explicitly states that Specified Indebtedness shall exclude, in relation to Party A, any deposits received in the ordinary course of business."
threshold_A,Threshold amount for Party A,100,"{'amount': {'value': None, 'confidence': 1.0, 'explanation': 'No fixed amount is stated for Party A; it is defined as a percentage.'}, 'currency': {'value': None, 'confidence': 1.0, 'explanation': 'No currency is specified; threshold is a percentage of equity.'}, 'percent': {'value': 3.0, 'confidence': 1.0, 'explanation': 'Explicitly stated as 3% for Party A.'}, 'percent_reference': {'value': 'SHAREHOLDER', 'confidence': 1.0, 'explanation': ""Reference is 'total shareholders' equity', which matches the SHAREHOLDER enum.""}}",[15],All information is explicitly stated in the definition.
threshold_B,Threshold amount for Party B,100,"{'amount': {'value': None, 'confidence': 1.0, 'explanation': 'No fixed amount is stated for Party B; it is defined as a percentage.'}, 'currency': {'value': None, 'confidence': 1.0, 'explanation': 'No currency is specified; threshold is a percentage of NAV.'}, 'percent': {'value': 3.0, 'confidence': 1.0, 'explanation': 'Explicitly stated as 3% for Party B.'}, 'percent_reference': {'value': 'NAV', 'confidence': 1.0, 'explanation': ""Reference is 'Net Asset Value', which matches the NAV enum.""}}",[15],All information is explicitly stated in the definition.
credit_event_upon_merger,Credit Event Upon Merger  applicable parties,95,NONE,[20],"The text states that the 'Credit Event Upon Merger' provisions will not apply, indicating that no party is subject to these provisions."
automatic_early_termination,Automatic Early Termination  applicable parties,100,NONE,[21],"The text explicitly states that the 'Automatic Early Termination' provisions will not apply, indicating it is not applicable to any party."
termination_currency,Termination Currency,100,USD,[19],The text explicitly states 'Termination Currency' means United States Dollars; the ISO code for United States Dollars is USD.
notices_A,Email for notices for Party A,80,jpmnavdata@jpmorgan.com,"[66, 67, 68, 69, 70, 71, 72, 73, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87]","The only email provided for Party A is for Net Asset Value statements, not explicitly for notices under Sections 5 or 6, but it is the only email present for Party A."
notices_B,Email for notices for Party B,100,Patrick.egan@morganstanley.com,"[66, 67, 68, 69, 70, 71, 72, 73, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87]",The text explicitly states that all notices to Party B for purposes of Sections 5 and 6 shall be sent to this email.
process_agent_A,Process agent for party A,100,"{'is_process_agent': {'value': False, 'confidence': 1.0, 'explanation': ""The text explicitly states 'Not applicable' for Party A's process agent.""}, 'process_agent_name': {'value': None, 'confidence': 1.0, 'explanation': ""No process agent name is provided as it is 'Not applicable'.""}, 'process_agent_address': {'value': None, 'confidence': 1.0, 'explanation': ""No process agent address is provided as it is 'Not applicable'.""}}","[88, 89, 90]",The contract explicitly states that Party A does not appoint a process agent.
process_agent_B,Process agent for party B,100,"{'is_process_agent': {'value': False, 'confidence': 1.0, 'explanation': ""The text explicitly states 'Not applicable' for Party B's process agent.""}, 'process_agent_name': {'value': None, 'confidence': 1.0, 'explanation': ""No process agent name is provided as it is 'Not applicable'.""}, 'process_agent_address': {'value': None, 'confidence': 1.0, 'explanation': ""No process agent address is provided as it is 'Not applicable'.""}}","[88, 89, 90]",The contract explicitly states that Party B does not appoint a process agent.
multibranch_party_A,Multibranch for Party A,100,"{'is_multibranch': {'value': True, 'confidence': 1.0, 'explanation': ""The text explicitly states 'Party A is a Multibranch Party'.""}, 'multibranch_offices': {'value': None, 'confidence': 0.9, 'explanation': 'The text states Party A may act through any Office specified in a Confirmation, but does not list specific offices.'}}","[92, 93, 94]",Both the multibranch status and office information for Party A are directly addressed in the text.
multibranch_party_B,Multibranch for Party B,100,"{'is_multibranch': {'value': False, 'confidence': 1.0, 'explanation': ""The text explicitly states 'Party B is not a Multibranch Party.'""}, 'multibranch_offices': {'value': None, 'confidence': 1.0, 'explanation': 'Party B is not a Multibranch Party, so no offices are listed.'}}","[92, 93, 94]",The text directly states Party B is not a Multibranch Party.
calculation_agent,Party for calculation agent,95,A,"[132, 133, 135, 136, 137, 138, 139, 140, 141, 143, 144, 145, 146, 147, 148, 149]","The text states: 'the Calculation Agent will be Party A; provided, however, that if an Event of Default occurs and is continuing in respect of Party A, the Calculation Agent will be Party B or an Independent Dealer ...' This means that under normal (business as usual) circumstances, Party A is the Calculation Agent."
governing_law,Governing Law,100,NEW-YORK,[100],The text explicitly states that the agreement will be governed by the laws of the State of New York.
