key,title,confidence,value,evidence,explanation
specified_entity_A,Specified entity Party A,100,None,"[8, 9, 10, 11]","The text states that for all relevant sections, Specified Entity is 'Not applicable' in relation to Party A."
specified_entity_B,Specified entity Party B,100,None,"[8, 9, 10, 11]","The text states that for all relevant sections, Specified Entity is 'Not applicable' in relation to Party B."
specified_transaction,Specified transaction scope,100,STD,[12],"The text states that 'Specified Transaction' will have the meaning specified in Section 14 of this Agreement, indicating the standard definition is used."
cross_default,Cross default applicable parties,95,NONE,[14],"The text explicitly states that the Cross Default provisions will not apply to Party A and Party B, indicating that cross default is not applicable to either party."
credit_event_upon_merger,Credit Event Upon Merger  applicable parties,95,NONE,[26],"The text explicitly states that the 'Credit Event Upon Merger' provisions will not apply to Party A or Party B, indicating it applies to no party."
automatic_early_termination,Automatic Early Termination  applicable parties,95,NONE,[27],The text explicitly states that Automatic Early Termination will not apply to Party A and Party B.
termination_currency,Termination Currency,100,USD,[31],"The text explicitly states 'Termination Currency' means United States Dollars, which corresponds to the ISO code USD."
notices_A,Email for notices for Party A,95,dg.dggmgcidfaxnotices@bofasecurities.com,"[61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 121]",The text explicitly lists an email for Party A under 'With a copy to the following address:- Email: dg.dggmgcidfaxnotices@bofasecurities.com'.
notices_B,Email for notices for Party B,95,kee.chan.sin@one.verizon.com,"[61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 121]",The text explicitly lists an email for Party B: 'Email: kee.chan.sin@one.verizon.com'.
process_agent_A,Process agent for party A,100,"{'is_process_agent': {'value': False, 'confidence': 1.0, 'explanation': ""The text explicitly states 'Not applicable' for Party A's process agent.""}, 'process_agent_name': {'value': None, 'confidence': 1.0, 'explanation': ""No process agent name is provided; 'Not applicable' is stated.""}, 'process_agent_address': {'value': None, 'confidence': 1.0, 'explanation': ""No process agent address is provided; 'Not applicable' is stated.""}}","[76, 77, 78]",Both the appointment and details are explicitly marked as not applicable for Party A.
process_agent_B,Process agent for party B,100,"{'is_process_agent': {'value': False, 'confidence': 1.0, 'explanation': ""The text explicitly states 'Not applicable' for Party B's process agent.""}, 'process_agent_name': {'value': None, 'confidence': 1.0, 'explanation': ""No process agent name is provided; 'Not applicable' is stated.""}, 'process_agent_address': {'value': None, 'confidence': 1.0, 'explanation': ""No process agent address is provided; 'Not applicable' is stated.""}}","[76, 77, 78]",Both the appointment and details are explicitly marked as not applicable for Party B.
multibranch_party_A,Multibranch for Party A,100,"{'is_multibranch': {'value': True, 'confidence': 1.0, 'explanation': ""The text explicitly states 'Party A is a Multibranch Party'.""}, 'multibranch_offices': {'value': ['Charlotte'], 'confidence': 1.0, 'explanation': 'The text states Party A may act through the following Office: Charlotte.'}}","[80, 81, 82, 83]",Both the status and office for Party A are explicitly stated.
multibranch_party_B,Multibranch for Party B,100,"{'is_multibranch': {'value': False, 'confidence': 1.0, 'explanation': ""The text explicitly states 'Party B is not a Multibranch Party.'""}, 'multibranch_offices': {'value': None, 'confidence': 1.0, 'explanation': 'Party B is not a Multibranch Party, so no offices are listed.'}}","[80, 81, 82, 83]",Party B's status is explicitly stated as not a Multibranch Party.
calculation_agent,Party for calculation agent,95,A,[84],"The text explicitly states 'The Calculation Agent is Party A, unless otherwise specified in the Confirmation in relation to the relevant Transaction.' This is a clear assignment for business as usual situations."
governing_law,Governing Law,100,NEW-YORK,[92],The text explicitly states that the agreement will be governed by the laws of the State of New York.
