key,title,confidence,value,evidence,explanation
date,Date of the contract,100,2017-07-12,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","The text states 'dated as of July 12, 2017', which is the date of the contract."
party_A,Party A,100,"JPMorgan Chase Bank, N.A.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","The text specifies 'JPMorgan Chase Bank, N.A., a national banking association... (""Party A"")'."
party_B,party_B,100,"CMF TT II, LLC","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","The text specifies 'CMF TT II, LLC, a limited liability corporation... (""Party B"")'."
specified_entity_A,Specified entity Party A,,None,"[9, 10, 11, 98, 99]",
specified_entity_B,Specified entity Party B,,None,"[9, 10, 11, 98, 99]",
specified_transaction,Specified transaction scope,100,NONSTD,"[12, 119, 182]","The text explicitly amends the definition of 'Specified Transaction' from Section 14 by adding 'margin loan' and making other modifications, indicating a non-standard scope."
cross_default,Cross default applicable parties,90,AB,"[13, 16, 17, 18]","The text states that the 'Cross-Default' provisions of Section 5(a)(vi) will apply, but does not specify only one party. In ISDA Schedules, unless specified otherwise, this generally means both parties (Party A and Party B) are subject to Cross Default. No exclusion language is present."
specified_indebtness_borrowed_money,Specified indebtness includes borrowed_money,,None,[14],
specified_indebtness_deposits,Specified indebtness excludes deposits,,None,[14],
threshold_amount_A_amount,amount for Party A,100,None,[15],"The threshold for Party A is defined as a percentage, not a fixed amount."
threshold_amount_A_currency,currency for Party A ,100,None,[15],No currency is specified since the threshold is a percentage of shareholders' equity.
threshold_amount_A_percent,percentage for Party A ,100,3.0,[15],The text states 'an amount equal to 3 % of its total shareholders' equity' for Party A.
threshold_amount_A_percent_reference,percentage reference for Party A ,100,SHAREHOLDER,[15],"The reference is 'total shareholders' equity', which matches the 'SHAREHOLDER' enum."
threshold_amount_B_amount,amount for Party B,100,None,[15],"The threshold for Party B is defined as a percentage, not a fixed amount."
threshold_amount_B_currency,currency for Party B,100,None,[15],No currency is specified since the threshold is a percentage of Net Asset Value.
threshold_amount_B_percent,percentage for Party B,100,3.0,[15],The text states 'an amount equal to 3% of its Net Asset Value' for Party B.
threshold_amount_B_percent_reference,percentage reference for Party B,100,NAV,[15],"The reference is 'Net Asset Value', which matches the 'NAV' enum."
credit_event_upon_merger,Credit Event Upon Merger  applicable parties,,None,[20],
automatic_early_termination,Automatic Early Termination  applicable parties,,None,[21],
termination_currency,Termination Currency,,None,[19],
notices_A,Email for notices for Party A,90,jpm nav data@jpmorgan.com,"[62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82]","The text specifies that Net Asset Value statements shall be sent by e-mail to 'jpm nav data@jpmorgan.com'. While this is not explicitly stated as the general notice address for Party A, it is the only email provided for Party A."
notices_B,Email for notices for Party B,100,Patrick.egan@morganstanley.com,"[62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82]",The text explicitly states 'Email: Patrick.egan@morganstanley.com' for Party B for purposes of Sections 5 and 6 and Confirmations.
process_agent_A,Process agent for party A,,None,"[83, 84]",
process_agent_name_A,Name of process agent for party A,,None,"[83, 84]",
process_agent_address_A,Address of process agent for party A,,None,"[83, 84]",
process_agent_B,Process agent for party B,,None,"[83, 84]",
process_agent_name_B,Name of process agent for party B,,None,"[83, 84]",
process_agent_address_B,Address of process agent for party B,,None,"[83, 84]",
multibranch_party_A,Party A is a Multibranch party,,None,"[86, 87]",
multibranch_party_A_offices,Party A offices,,None,"[86, 87]",
multibranch_party_B,Party B is a Multibranch party,,None,"[86, 87]",
multibranch_party_B_offices,Party B offices,,None,"[86, 87]",
calculation_agent,Party for calculation agent,99,A,"[123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137]","The text states: 'the Calculation Agent will be Party A; provided, however, that if an Event of Default occurs and is continuing in respect of Party A, the Calculation Agent will be Party B or an Independent Dealer...'. For business as usual situations (i.e., absent an Event of Default), Party A is the Calculation Agent."
governing_law,Governing Law,,None,[93],
