key,title,confidence,value,evidence,explanation
date,Date of the contract,100,2008-03-06,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","The date is explicitly stated as 'ISDA Master Agreement dated as of March 6, 2008'."
party_A,Party A,100,"Wells Fargo Bank, N.A.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","Party A is clearly identified as 'Wells Fargo Bank, N.A.(""Party A"")'."
party_B,party_B,100,Barnes Group Inc.,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","Party B is clearly identified as 'Barnes Group Inc., a Delaware corporation (""Party B"")'."
specified_entity_A,Specified entity Party A,100,None,"[7, 8, 9, 10]","For all relevant sections (5(a)(v), 5(a)(vi), 5(a)(vii), 5(b)(iv)), the text states 'None' for Party A."
specified_entity_B,Specified entity Party B,100,"Subsidiaries (for 5(a)(v), 5(a)(vi), 5(b)(iv)); Significant Subsidiaries (for 5(a)(vii)), as defined in the Credit Agreement","[7, 8, 9, 10]","The text specifies 'Subsidiaries, as defined in the Credit Agreement' for 5(a)(v), 5(a)(vi), and 5(b)(iv), and 'Significant Subsidiaries, as defined in the Credit Agreement' for 5(a)(vii) for Party B."
specified_transaction,Specified transaction scope,100,STD,[11],"The text states that 'Specified Transaction' will have the meaning specified in Section 14, which is the standard definition."
cross_default,Cross default applicable parties,100,AB,"[12, 13, 14]","The text states that the Cross-Default provisions will apply to Party A and to Party B, indicating both parties are covered."
specified_indebtness_borrowed_money,Specified indebtness includes borrowed_money,50,None,[15],The text does not mention whether borrowed money is included or excluded from Specified Indebtedness.
specified_indebtness_deposits,Specified indebtness excludes deposits,100,True,[15],The text explicitly states that Specified Indebtedness shall not include deposits and obligations in respect of deposits for Party A.
threshold_amount_A_amount,amount for Party A,100,None,"[16, 17]",No fixed amount is specified for Party A; only a percentage is given.
threshold_amount_A_currency,currency for Party A ,100,None,"[16, 17]",No currency is specified for Party A; threshold is defined as a percentage of Shareholders Equity.
threshold_amount_A_percent,percentage for Party A ,100,3.0,"[16, 17]",The text states 'an amount equal to 3% of the Shareholders Equity (as hereinafter defined) of Party A.'
threshold_amount_A_percent_reference,percentage reference for Party A ,100,SHAREHOLDER,"[16, 17]",The percentage is explicitly referenced to 'Shareholders Equity.'
threshold_amount_B_amount,amount for Party B,100,20000000.0,"[16, 17]","The text states '$20,000,000 in respect of any other Specified Indebtedness' for Party B."
threshold_amount_B_currency,currency for Party B,100,USD,"[16, 17]","The amount for Party B is stated in dollars ('$20,000,000'), which refers to USD."
threshold_amount_B_percent,percentage for Party B,100,None,"[16, 17]",No percentage threshold is specified for Party B; only fixed amounts are given.
threshold_amount_B_percent_reference,percentage reference for Party B,100,None,"[16, 17]",No percentage threshold is specified for Party B.
credit_event_upon_merger,Credit Event Upon Merger  applicable parties,100,AB,[18],The text states that the 'Credit Event Upon Merger' provisions will apply to Party A and to Party B.
automatic_early_termination,Automatic Early Termination  applicable parties,100,NONE,[19],"The text states that Automatic Early Termination will not apply to Party A or to Party B, so it applies to no party."
termination_currency,Termination Currency,100,USD,[21],The text explicitly states: 'Termination Currency' means United States Dollars. The ISO code for United States Dollars is USD.
notices_A,Email for notices for Party A,100,None,"[40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51]","The provided text lists physical addresses, telephone, and facsimile numbers for Party A (Wells Fargo Bank, N.A.), but does not mention any email address for notices."
notices_B,Email for notices for Party B,100,None,"[40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51]","The provided text lists physical addresses and a facsimile number for Party B (Barnes Group Inc.), but does not mention any email address for notices."
process_agent_A,Process agent for party A,100,False,[52],The text explicitly states that neither Party A nor Party B will appoint a Process Agent.
process_agent_name_A,Name of process agent for party A,100,None,[52],"No process agent is appointed for Party A, so no name is provided."
process_agent_address_A,Address of process agent for party A,100,None,[52],"No process agent is appointed for Party A, so no address is provided."
process_agent_B,Process agent for party B,100,False,[52],The text explicitly states that neither Party A nor Party B will appoint a Process Agent.
process_agent_name_B,Name of process agent for party B,100,None,[52],"No process agent is appointed for Party B, so no name is provided."
process_agent_address_B,Address of process agent for party B,100,None,[52],"No process agent is appointed for Party B, so no address is provided."
multibranch_party_A,Party A is a Multibranch party,100,False,"[54, 55, 56]",The text explicitly states 'Party A is not a Multibranch Party.'
multibranch_party_A_offices,Party A offices,100,None,"[54, 55, 56]","Party A is not a Multibranch Party, so no offices are specified."
multibranch_party_B,Party B is a Multibranch party,100,False,"[54, 55, 56]",The text explicitly states 'Party B is not a Multibranch Party.'
multibranch_party_B_offices,Party B offices,100,None,"[54, 55, 56]","Party B is not a Multibranch Party, so no offices are specified."
calculation_agent,Party for calculation agent,100,A,[57],"The text states 'The Calculation Agent is Party A', making Party A the calculation agent except in default situations."
governing_law,Governing Law,100,NEW-YORK,[64],The text explicitly states that the Agreement will be governed by the laws of the State of New York.
