key,title,confidence,value,evidence,explanation
date,Date of the contract,100,2017-07-12,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","The text states '2002 ISDA Master Agreement dated as of July 12, 2017', which is the date of the contract."
party_A,Party A,100,"JPMorgan Chase Bank, N.A.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","The text specifies 'JPMorgan Chase Bank, N.A., a national banking association... (""Party A"")'."
party_B,party_B,100,Cambridge Master Fund L.P.,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","The text specifies 'Cambridge Master Fund L.P., a limited partnership... (""Party B"")'."
specified_entity_A,Specified entity Party A,100,none,"[9, 10, 11, 105, 106]","The text explicitly states: 'Specified Entity' means, in relation to Party A: none."
specified_entity_B,Specified entity Party B,100,none,"[9, 10, 11, 105, 106]","The text explicitly states: 'Specified Entity' means, in relation to Party B: none."
specified_transaction,Specified transaction scope,100,NONSTD,"[12, 128, 198]","The text explicitly amends the definition of 'Specified Transaction' in Section 14 by adding 'margin loan' and making other modifications, indicating a non-standard scope."
cross_default,Cross default applicable parties,90,AB,"[13, 16]","The text states that the 'Cross-Default' provisions will apply, but does not specify only one party, so by default, both parties (Party A and Party B) are covered."
specified_indebtness_borrowed_money,Specified indebtness includes borrowed_money,10,None,[14],The text does not mention whether borrowed money is included in Specified Indebtedness; it only refers to the definition in Section 14.
specified_indebtness_deposits,Specified indebtness excludes deposits,100,True,[14],"The text explicitly states that Specified Indebtedness shall exclude, in relation to Party A, any deposits received in the ordinary course of business."
threshold_amount_A_amount,amount for Party A,100,None,[15],"The threshold for Party A is defined as a percentage, not a fixed amount."
threshold_amount_A_currency,currency for Party A ,100,None,[15],No currency is specified since the threshold is a percentage of shareholders' equity.
threshold_amount_A_percent,percentage for Party A ,100,3.0,[15],The text states 'an amount equal to 3% of its total shareholders' equity' for Party A.
threshold_amount_A_percent_reference,percentage reference for Party A ,100,SHAREHOLDER,[15],"The reference is 'total shareholders' equity', which matches the SHAREHOLDER enum."
threshold_amount_B_amount,amount for Party B,100,None,[15],"The threshold for Party B is defined as a percentage, not a fixed amount."
threshold_amount_B_currency,currency for Party B,100,None,[15],No currency is specified since the threshold is a percentage of Net Asset Value.
threshold_amount_B_percent,percentage for Party B,100,3.0,[15],The text states 'an amount equal to 3% of its Net Asset Value' for Party B.
threshold_amount_B_percent_reference,percentage reference for Party B,100,NAV,[15],"The reference is 'Net Asset Value', which matches the NAV enum."
credit_event_upon_merger,Credit Event Upon Merger  applicable parties,100,NONE,[19],"The text explicitly states that the 'Credit Event Upon Merger' provisions will not apply, indicating no party is subject to these provisions."
automatic_early_termination,Automatic Early Termination  applicable parties,100,NONE,[20],"The text explicitly states that Automatic Early Termination will not apply, so it is not applicable to any party."
termination_currency,Termination Currency,100,USD,[18],"The text explicitly states 'Termination Currency' means United States Dollars, which corresponds to the ISO code USD."
notices_A,Email for notices for Party A,90,None,"[65, 66, 67, 68, 69, 70, 71, 72, 73, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86]","No general email address for notices to Party A is provided; only a specific email for Net Asset Value statements (jpmnavdata@jpmorgan.com), which is not stated as the general notice address for Sections 5 or 6."
notices_B,Email for notices for Party B,100,Patrick.egan@morganstanley.com,"[65, 66, 67, 68, 69, 70, 71, 72, 73, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86]",The text explicitly states 'Email: Patrick.egan@morganstanley.com' as the address for notices to Party B.
process_agent_A,Process agent for party A,100,False,"[87, 88, 89]",The text states 'Party A appoints as its Process Agent: Not applicable.' indicating no process agent for Party A.
process_agent_name_A,Name of process agent for party A,100,None,"[87, 88, 89]","Process agent is not applicable for Party A, so no name is provided."
process_agent_address_A,Address of process agent for party A,100,None,"[87, 88, 89]","Process agent is not applicable for Party A, so no address is provided."
process_agent_B,Process agent for party B,100,False,"[87, 88, 89]",The text states 'Party B appoints as its Process Agent: Not applicable.' indicating no process agent for Party B.
process_agent_name_B,Name of process agent for party B,100,None,"[87, 88, 89]","Process agent is not applicable for Party B, so no name is provided."
process_agent_address_B,Address of process agent for party B,100,None,"[87, 88, 89]","Process agent is not applicable for Party B, so no address is provided."
multibranch_party_A,Party A is a Multibranch party,100,True,"[91, 92, 93]",The text states 'Party A is a Multibranch Party'.
multibranch_party_A_offices,Party A offices,100,any Office specified in a Confirmation,"[91, 92, 93]",The text states Party A may act through 'any Office specified in a Confirmation'.
multibranch_party_B,Party B is a Multibranch party,100,False,"[91, 92, 93]",The text states 'Party B is not a Multibranch Party.'
multibranch_party_B_offices,Party B offices,100,None,"[91, 92, 93]","Party B is not a Multibranch Party, so no offices are specified."
calculation_agent,Party for calculation agent,95,A,"[132, 133, 134, 136, 137, 138, 139, 140, 141, 142, 144, 145, 146, 147, 148, 149]","The text states 'the Calculation Agent will be Party A' except in the case of an Event of Default in respect of Party A, in which case it will be Party B or an Independent Dealer. For business as usual situations, Party A is the Calculation Agent."
governing_law,Governing Law,100,NEW-YORK,[99],The text explicitly states that the agreement will be governed by the laws of the State of New York.
