key,title,confidence,value,evidence,explanation
date,Date of the contract,95,2012-11-15,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","The date is explicitly mentioned in the text as 'dated as of November 15, 2012'."
party_A,Party A,95,THE BANK OF NOVA SCOTIA,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",Party A is clearly identified in the text as 'THE BANK OF NOVA SCOTIA'.
party_B,party_B,95,Halifax Funding LLC,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",Party B is clearly identified in the text as 'Halifax Funding LLC'.
specified_entity_A,Specified entity Party A,100,None,"[11, 12]",The text explicitly states that the Specified Entity for Party A is 'none'.
specified_entity_B,Specified entity Party B,100,KKR Asset Management LLC,"[11, 12]",The text specifies 'KKR Asset Management LLC' as the Specified Entity for Party B.
specified_transaction,Specified transaction scope,85,STD,"[13, 14]","The definition of 'Specified Transaction' aligns with the standard definition in Section 14 of the ISDA Master Agreement, covering a broad range of financial transactions."
cross_default,Cross default applicable parties,95,AB,"[15, 16]",The text explicitly states that the 'Cross Default' provisions apply to both Party A and Party B.
specified_indebtness_borrowed_money,Specified indebtness includes borrowed_money,,None,[17],The text does not mention borrowed money in the context of specified indebtedness.
specified_indebtness_deposits,Specified indebtness excludes deposits,95,True,[17],The text explicitly states that specified indebtedness shall not include obligations in respect of deposits.
threshold_amount_A_amount,amount for Party A,,None,[18],The text does not specify an exact amount for Party A.
threshold_amount_A_currency,currency for Party A ,,None,[18],The text does not specify a currency for Party A.
threshold_amount_A_percent,percentage for Party A ,100,3.0,[18],The text explicitly states '3% of the total shareholders' equity of Party A'.
threshold_amount_A_percent_reference,percentage reference for Party A ,100,SHAREHOLDER,[18],The percentage is based on 'total shareholders' equity of Party A'.
threshold_amount_B_amount,amount for Party B,,None,[18],The text does not specify an exact amount for Party B.
threshold_amount_B_currency,currency for Party B,,None,[18],The text does not specify a currency for Party B.
threshold_amount_B_percent,percentage for Party B,100,3.0,[18],The text explicitly states '3% of its Net Asset Value' for Party B.
threshold_amount_B_percent_reference,percentage reference for Party B,100,NAV,[18],The percentage is based on 'Net Asset Value' for Party B.
credit_event_upon_merger,Credit Event Upon Merger  applicable parties,95,AB,[19],The text states that the 'Credit Event Upon Merger' provisions apply to both Party A and Party B.
automatic_early_termination,Automatic Early Termination  applicable parties,90,NONE,[20],"The text explicitly states that 'Automatic Early Termination' will not apply to Party A and will not apply to Party B, except under specific conditions not generally applicable."
termination_currency,Termination Currency,95,USD,[22],"The text explicitly states 'Termination Currency' means United States Dollars, which corresponds to the ISO code 'USD'."
notices_A,Email for notices for Party A,80,None,"[61, 62, 63, 64, 65, 66, 67, 68]",The text does not mention an email address for notices to Party A.
notices_B,Email for notices for Party B,80,None,"[61, 62, 63, 64, 65, 66, 67, 68]",The text does not mention an email address for notices to Party B.
process_agent_A,Process agent for party A,100,False,"[69, 70, 71]",The text explicitly states 'Party A appoints as its Process Agent: Not applicable.'
process_agent_name_A,Name of process agent for party A,100,None,"[69, 70, 71]","Since process agent is not applicable for Party A, no name is provided."
process_agent_address_A,Address of process agent for party A,100,None,"[69, 70, 71]","Since process agent is not applicable for Party A, no address is provided."
process_agent_B,Process agent for party B,100,True,"[69, 70, 71]","The text states 'Party B appoints as its Process Agent: Halifax Funding LLC is: National Registered Agents, Inc.' indicating a process agent is appointed."
process_agent_name_B,Name of process agent for party B,100,"National Registered Agents, Inc.","[69, 70, 71]","The text specifies 'Halifax Funding LLC is: National Registered Agents, Inc.' as the process agent for Party B."
process_agent_address_B,Address of process agent for party B,100,"160 Greentree Drive, Suite 101, Dover, Delaware 19904","[69, 70, 71]","The address '160 Greentree Drive, Suite 101, Dover, Delaware 19904' is provided for the process agent of Party B."
multibranch_party_A,Party A is a Multibranch party,100,True,"[73, 74, 75]",The text explicitly states 'Party A is a Multibranch Party.'
multibranch_party_A_offices,Party A offices,100,New York and Toronto Offices,"[73, 74, 75]",The text specifies 'acting out of its New York and Toronto Offices.'
multibranch_party_B,Party B is a Multibranch party,100,False,"[73, 74, 75]",The text explicitly states 'Party B is not a Multibranch Party.'
multibranch_party_B_offices,Party B offices,100,None,"[73, 74, 75]","Since Party B is not a Multibranch Party, there are no offices listed."
calculation_agent,Party for calculation agent,90,A,"[76, 77, 78, 79]",The text explicitly states 'The Calculation Agent is Party A unless otherwise agreed in a Confirmation in respect to the relevant Transaction.' This indicates that Party A is the default Calculation Agent.
governing_law,Governing Law,95,NEW-YORK,[86],The text explicitly states that the agreement is governed by the laws of the State of New York.
