key,title,confidence,value,evidence,explanation
date,Date of the contract,95,2017-07-12,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","The date is explicitly mentioned in the text as 'dated as of July 12, 2017'."
party_A,Party A,95,"JPMorgan Chase Bank, N.A.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","Party A is identified as 'JPMorgan Chase Bank, N.A.' in the text."
party_B,party_B,95,Cambridge Master Fund L.P.,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",Party B is identified as 'Cambridge Master Fund L.P.' in the text.
specified_entity_A,Specified entity Party A,90,any Affiliate for purposes of Section 5(a)(v) other than J.P. Morgan Ventures Energy Corporation,"[9, 10, 11, 105, 106]",The text specifies that 'Specified Entity' in relation to Party A includes any Affiliate except J.P. Morgan Ventures Energy Corporation.
specified_entity_B,Specified entity Party B,100,not applicable,"[9, 10, 11, 105, 106]",The text explicitly states that 'Specified Entity' in relation to Party B is 'not applicable.'
specified_transaction,Specified transaction scope,90,NONSTD,"[12, 128, 198]","The text specifies amendments to the definition of 'Specified Transaction' in Section 14, indicating non-standard modifications."
cross_default,Cross default applicable parties,90,AB,"[13, 16, 17]","The text states that the 'Cross-Default' provisions of Section 5(a)(vi) will apply, which typically involves both parties in an ISDA Master Agreement. Therefore, it is inferred that the cross-default applies to both Party A and Party B."
specified_indebtness_borrowed_money,Specified indebtness includes borrowed_money,,None,[14],The text does not mention borrowed money in relation to specified indebtedness.
specified_indebtness_deposits,Specified indebtness excludes deposits,95,True,[14],The text explicitly states that specified indebtedness shall exclude deposits received in the ordinary course of business for Party A.
threshold_amount_A_amount,amount for Party A,,None,[15],The text does not specify a fixed amount for Party A.
threshold_amount_A_currency,currency for Party A ,,None,[15],The text does not specify a currency for Party A.
threshold_amount_A_percent,percentage for Party A ,100,3.0,[15],The text states 'an amount equal to 3% of its total shareholders' equity' for Party A.
threshold_amount_A_percent_reference,percentage reference for Party A ,100,SHAREHOLDER,[15],The text specifies 'total shareholders' equity' as the reference for Party A.
threshold_amount_B_amount,amount for Party B,,None,[15],The text does not specify a fixed amount for Party B.
threshold_amount_B_currency,currency for Party B,,None,[15],The text does not specify a currency for Party B.
threshold_amount_B_percent,percentage for Party B,100,3.0,[15],The text states 'an amount equal to 3% of its Net Asset Value' for Party B.
threshold_amount_B_percent_reference,percentage reference for Party B,100,NAV,[15],The text specifies 'Net Asset Value' as the reference for Party B.
credit_event_upon_merger,Credit Event Upon Merger  applicable parties,95,NONE,[19],"The text explicitly states that the 'Credit Event Upon Merger' provisions will not apply, indicating no party is applicable."
automatic_early_termination,Automatic Early Termination  applicable parties,95,NONE,[20],"The text explicitly states that the 'Automatic Early Termination' provisions will not apply, indicating no party is subject to these provisions."
termination_currency,Termination Currency,95,USD,[18],"The text explicitly states 'Termination Currency' means United States Dollars, which corresponds to the ISO currency code 'USD'."
notices_A,Email for notices for Party A,95,jpmnavdata@jpmorgan.com,"[65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86]",The email for Party A is explicitly mentioned in the section regarding Net Asset Value statements.
notices_B,Email for notices for Party B,95,Patrick.egan@morganstanley.com,"[65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86]",The email for Party B is explicitly mentioned in the section detailing notices to Party B.
process_agent_A,Process agent for party A,100,False,"[87, 88, 89]",The text explicitly states 'Party A appoints as its Process Agent: Not applicable.'
process_agent_name_A,Name of process agent for party A,100,None,"[87, 88, 89]","Since process agent is not applicable for Party A, no name is provided."
process_agent_address_A,Address of process agent for party A,100,None,"[87, 88, 89]","Since process agent is not applicable for Party A, no address is provided."
process_agent_B,Process agent for party B,100,False,"[87, 88, 89]",The text explicitly states 'Party B appoints as its Process Agent: Not applicable.'
process_agent_name_B,Name of process agent for party B,100,None,"[87, 88, 89]","Since process agent is not applicable for Party B, no name is provided."
process_agent_address_B,Address of process agent for party B,100,None,"[87, 88, 89]","Since process agent is not applicable for Party B, no address is provided."
multibranch_party_A,Party A is a Multibranch party,100,True,"[91, 92, 93]",The text explicitly states 'Party A is a Multibranch Party.'
multibranch_party_A_offices,Party A offices,100,any Office specified in a Confirmation,"[91, 92, 93]",The text specifies 'may act through any Office specified in a Confirmation.'
multibranch_party_B,Party B is a Multibranch party,100,False,"[91, 92, 93]",The text explicitly states 'Party B is not a Multibranch Party.'
multibranch_party_B_offices,Party B offices,100,None,"[91, 92, 93]","Since Party B is not a Multibranch Party, no offices are specified."
calculation_agent,Party for calculation agent,90,A,"[132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149]","The text specifies that the Calculation Agent will be Party A, unless an Event of Default occurs for Party A, in which case it will be Party B or an Independent Dealer selected by Party B. The primary designation is Party A."
governing_law,Governing Law,95,NEW-YORK,[99],The text explicitly states that the agreement is governed by the laws of the State of New York.
