key,fallback_from_key,priority,guideline,guideline_matched,confidence,evidence,explanation
G04,,medium,Specified entity for party Party A should be none (not applicable),True,100,[8],"The text explicitly states that 'Specified Entity' shall not apply to Party A, which means the specified entity for Party A is none (not applicable)."
G05,,medium,Specified transaction scope should be standard,True,100,"[4, 12, 121, 140, 146]","The text explicitly states that the only Transaction governed by the Agreement is the Class A Swap, and that no additional Confirmations or Transactions will be entered into. This clearly defines a standard, limited scope for the specified transaction."
G06,,medium,Cross default should be standard,False,95,[13],"The text states that Cross Default applies only to Party A and not to Party B. Standard practice is for Cross Default to apply to both parties. Therefore, the guideline is not satisfied."
G07,,medium,Specified indebtness for party A should include borrowed_money,True,100,[14],"The text does not exclude borrowed money from the definition of Specified Indebtedness; it only specifically excludes deposits. Therefore, borrowed money is included."
G08,,medium,Specified indebtness for party A should include deposits,False,100,[14],"The text explicitly states that Specified Indebtedness shall not include deposits received in the course of a party's ordinary banking business, so deposits are excluded."
G09,,medium,threshold amount should be 3% of shareholder's equity for party A,True,100,"[15, 18]","The text explicitly defines 'Threshold Amount' for Party A as 3% of its total shareholders equity, directly matching the guideline requirement."
G10,,medium,Automatic Early Termination should be applicable at least to party A,False,100,[24],"The text explicitly states that Automatic Early Termination will not apply to Party A, which means the guideline is not satisfied."
G11,,medium,Termination Currency should be EUR,False,100,[25],"The text defines Termination Currency as United States Dollars, not EUR."
G12,G11,medium,"Termination currency can be USD, EUR, GBP, JPY",True,100,[25],"The text defines Termination Currency as United States Dollars, which is one of the allowed currencies (USD, EUR, GBP, JPY)."
G13,,medium,Party A should be a multibrach party with offices in New-York and London,True,100,"[103, 104, 105]",The text explicitly states that Party A is a Multibranch Party and may act through its London and New York Offices.
G14,,high,Governing Law should be English law or New-York law,True,100,[89],"The text explicitly states that the Agreement will be governed by the laws of the State of New York, which satisfies the requirement for governing law to be English law or New York law."
G01,,high,The contract should be a 2002 ISDA master agreement (92 not allowed),False,20,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","The text refers to a 'Master Agreement' and references ISDA Definitions, but does not specify whether it is a 2002 or 1992 ISDA Master Agreement. Without explicit mention, we cannot confirm compliance."
G02,,medium,The name of party A should be clearly defined,True,95,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","Party A is clearly defined as 'World Financial Network Credit Card Master Note Trust (""Party A"")' in the opening paragraph."
G03,,medium,The name of party B should be clearly defined,True,95,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","Party B is clearly defined as 'Barclays Bank PLC (""Party B"")' in the opening paragraph."
