key,guideline,guideline_matched,confidence,explanation,evidence
G04,Specified entity for party Party A should be none (not applicable),True,100,"The text explicitly states: 'Specified Entity means in relation to Party A, None,' which satisfies the requirement that the specified entity for Party A should be none (not applicable).","[14, 15, 16, 17, 107, 108]"
G05,Specified transaction scope should be standard,True,90,"The text refers to 'Specified Transaction' as defined in Section 14 of the Agreement, and further clarifies the scope by listing exceptions (repurchase, reverse repurchase, buy/sell-back, securities lending transactions) and specifying that transactions confirmed by standard industry practice (e.g., SWIFT) are included. This indicates a standard and well-defined transaction scope.","[19, 122]"
G06,Cross default should be standard,True,95,"The text confirms that Cross-Default provisions of Section 5(a)(vi) will apply to both parties, with some negotiated modifications. The core cross-default mechanism remains standard, with only specific carve-outs for administrative errors, which are common in market practice. Therefore, the guideline is satisfied.","[20, 21]"
G07,Specified indebtness for party A should include borrowed_money,True,90,"The text does not explicitly mention 'borrowed money,' but refers to 'Specified Indebtedness' as defined in Section 14, which typically includes borrowed money. There is no exclusion for borrowed money, so it is likely included.",[22]
G08,Specified indebtness for party A should include deposits,False,100,The text explicitly states that indebtedness in respect of deposits received in the ordinary course of business is excluded from 'Specified Indebtedness.',[22]
G09,threshold amount should be 3% of shareholder's equity for party A,True,100,"The text explicitly defines the 'Threshold Amount' for Party A as 3% of shareholder's equity, which matches the guideline requirement.",[23]
G10,Automatic Early Termination should be applicable at least to party A,False,100,"The text explicitly states that the 'Automatic Early Termination' provision will not apply to Party A and Party B, so the guideline requiring it to be applicable at least to Party A is not satisfied.",[25]
G11,Termination Currency should be EUR,False,100,"The text defines Termination Currency as USD, not EUR.",[26]
G12,"Termination currency can be USD, EUR, GBP, JPY",True,100,"The text defines Termination Currency as USD, which is one of the allowed currencies (USD, EUR, GBP, JPY).",[26]
G13,Party A should be a multibrach party with offices in New-York and London,False,100,"The text states that Party A is a Multibranch Party and may act through its head office in Paris and its branch office in London, but there is no mention of an office in New York. Therefore, the requirement for offices in both New York and London is not satisfied.","[90, 91, 92]"
G14,Governing Law should be English law or New-York law,True,100,"The text explicitly states that the Agreement will be governed by the laws of the State of New York, which satisfies the requirement for governing law to be English law or New York law.","[99, 100]"
G01,The contract should be a 2002 ISDA master agreement (92 not allowed),True,100,"The text explicitly refers to the '2002 Master Agreement' and not the 1992 version, satisfying the requirement for a 2002 ISDA master agreement.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
G02,The name of party A should be clearly defined,True,100,'SOCIÉTÉ GÉNÉRALE' is clearly defined as 'Party A' in the text.,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
G03,The name of party B should be clearly defined,True,100,"'Party B' is defined as each entity listed on Appendix I to the Schedule, severally and not jointly, and this is reiterated in the text.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
