key,guideline,guideline_matched,confidence,explanation,evidence
G04,Specified entity for party Party A should be none (not applicable),True,100,"The text explicitly states that the 'Specified Entity' for Party A is 'none' in multiple places, directly satisfying the guideline.","[16, 17, 18, 19, 109, 110]"
G05,Specified transaction scope should be standard,True,100,"The text states that 'Specified Transaction' will have the meaning specified in Section 14, indicating that a standard definition is referenced. There is no indication of a non-standard or customized scope in the provided text.",[20]
G06,Cross default should be standard,True,95,"The text explicitly states that the Cross-Default provisions of Section 5(a)(vi) will apply to both Party A and Party B, which is standard. The modifications (deletion and insertion of certain phrases) are common market adjustments and do not remove the cross-default mechanism. Additional carve-outs for operational errors and currency controls are also standard in many agreements. Therefore, the guideline is satisfied.","[21, 22, 25]"
G07,Specified indebtness for party A should include borrowed_money,True,90,"The text references 'Specified Indebtedness' as defined in Section 14, which typically includes borrowed money. There is no exclusion for borrowed money, so it is included.",[23]
G08,Specified indebtness for party A should include deposits,False,100,The text explicitly states that 'obligations in respect of deposits received in the ordinary course of a party's banking business' are excluded from 'Specified Indebtedness.',[23]
G09,threshold amount should be 3% of shareholder's equity for party A,True,100,"The text explicitly defines the 'Threshold Amount' for Party A as 3% of the Stockholders' Equity of Citibank, N.A., which matches the guideline requirement.",[24]
G10,Automatic Early Termination should be applicable at least to party A,False,100,"The text explicitly states that Automatic Early Termination will not apply to Party A, which means the guideline is not satisfied.",[30]
G11,Termination Currency should be EUR,False,100,"The text defines 'Termination Currency' as United States Dollars, not EUR.",[31]
G12,"Termination currency can be USD, EUR, GBP, JPY",True,100,"The text defines 'Termination Currency' as United States Dollars, which is one of the permitted currencies (USD, EUR, GBP, JPY).",[31]
G13,Party A should be a multibrach party with offices in New-York and London,False,80,"The text states that Party A is a Multibranch Party and may act through its New York Office, but there is no mention of a London office. Therefore, the requirement for offices in both New York and London is not satisfied.","[93, 94, 95]"
G14,Governing Law should be English law or New-York law,True,100,"The text explicitly states that the agreement is governed by the laws of the State of New York, which satisfies the requirement for governing law to be English law or New York law.","[103, 104]"
G01,The contract should be a 2002 ISDA master agreement (92 not allowed),True,100,"The text explicitly states '2002 Master Agreement', which confirms it is not a 1992 ISDA master agreement.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
G02,The name of party A should be clearly defined,True,100,"Party A is clearly defined as 'BANK X, N.A., a national banking association organized and existing under the laws of the United States of America (""Party A"")'.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
G03,The name of party B should be clearly defined,True,100,"Party B is clearly defined as 'NEW INDUSTRIES, INC., a corporation organized and existing under the laws of the State of Delaware (""Party B"")'.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
