filename,contract_type,contract_type_confidence,contract_type_explanation,contract_date,contract_date_confidence,contract_date_explanation,amendment_date,amendment_date_confidence,amendment_date_explanation,version_type,version_type_confidence,version_type_explanation,status,status_confidence,status_explanation,parties,parties_confidence,parties_explanation
00fb0862161354c996ba812525e0c209.txt,ISDA,100,"The document is titled 'ISDA MASTER AGREEMENT' and references the International Swap Dealers Association, Inc. Master Agreement, which matches the ISDA contract type.",2010-02-04,100,"The agreement is stated to be 'dated as of February 4, 2010' in both the heading and body of the text.",,100,There is no indication that this document is an amendment; it is the original master agreement.,INITIAL,100,"The document is titled as a Master Agreement dated as of the stated date, with no reference to amendment or restatement.",EXECUTED,90,"The agreement is dated and presented as a formal contract, which typically indicates it is executed. There is no indication that it is a draft.","BARCLAYS BANK PLC; NATIONAL CINEMEDIA, LLC",95,"The two parties are clearly listed at the top: 'BARCLAYS BANK PLC' and 'NATIONAL CINEMEDIA, LLC'. The text also refers to them as 'Party A' and 'Party B', but does not specify which is which."
013f592ccc84517182f4c5a3b7641149.txt,GMRA (Global Master Repurchase Agreement),100,"The document is titled 'GLOBAL MASTER REPURCHASE AGREEMENT' and references TBMA/ISMA, which is the standard for GMRA agreements.",2013-04-23,100,"The agreement is dated as of April 23, 2013, as stated in the heading.",,100,"Although the agreement is 'amended and restated', no specific amendment date is provided; only the main contract date is given.",RESTATED (amended and restated),100,"The agreement is labeled 'AMENDED AND RESTATED' in the title, indicating it is an amended and restated version.",EXECUTED,90,"The agreement is dated and formatted as a final contract, not a draft, which strongly suggests it is executed.","JPMORGAN CHASE BANK, N.A., LONDON BRANCH | Party A; RACE STREET FUNDING LLC | Party B",100,The parties are explicitly named as 'Party A' and 'Party B' in the agreement.
025cb4065e6e551db1bfe44ef44eb83b.txt,ISDA,100,"The document is titled 'ISDA MASTER AGREEMENT (SERIES 2008-A CLASS A)' and references the International Swap Dealers Association, Inc. Master Agreement, which matches the ISDA code.",2008-09-12,100,"The agreement is stated as 'dated as of September 12, 2008', which is the main contract date.",,100,There is no indication that this document is an amendment; it is an initial master agreement.,INITIAL,100,The document is an ISDA Master Agreement with no indication of being amended or restated; it is the initial contract.,EXECUTED,90,"The agreement is dated and presented as a formal contract, which typically indicates execution. There is no indication that it is a draft.",Barclays Bank PLC; World Financial Network Credit Card Master Note Trust,95,"The parties are listed as 'Barclays Bank PLC' and 'World Financial Network Credit Card Master Note Trust'. Party A and Party B are referenced, but explicit roles (e.g., Seller/Buyer) are not specified in the provided text."
051bb5d2c633574eb9aab46bc62231ab.txt,VSA (Credit Support Annex),100,"The document is titled '2016 Credit Support Annex for Variation Margin (VM)' and repeatedly refers to the ISDA Credit Support Annex, making this a VSA (Credit Support Annex).",2017-07-12,95,"The text states 'ISDA Master Agreement dated July 12, 2017', which is the main date referenced for the agreement.",,100,There is no indication that this document is an amendment; it is a standalone annex.,INITIAL (initial contract),95,There is no language indicating this is an amendment or restatement; it appears to be the initial annex.,EXECUTED,80,"The annex supplements an existing executed ISDA Master Agreement, so it is likely executed, though explicit signatures are not shown in the excerpt.","JPMORGAN CHASE BANK, N.A. | Party A; SECOR MASTER FUND L.P. | Party B",100,"The parties are explicitly listed as 'JPMORGAN CHASE BANK, N.A.' (Party A) and 'SECOR MASTER FUND L.P.' (Party B)."
057d9f25d7635925b66afd94be03fa10.txt,ISDA,100,"The document is titled 'ISDA International Swap Dealers Association, Inc. MASTER AGREEMENT' and references the schedule and confirmations, which matches the ISDA Master Agreement code.",2008-10-27,100,"The agreement is stated as 'dated as of October 27, 2008', which is the effective date.",,100,There is no indication that this document is an amendment; it appears to be the initial agreement.,INITIAL,100,There is no language indicating this is an amendment or restatement; it is the original master agreement.,EXECUTED,90,"The agreement is dated and written in the present tense ('have entered and/or anticipate entering'), which is typical of executed contracts, though actual signatures are not shown in the excerpt.",BRANCH BANKING AND TRUST COMPANY | Party A; ROANOKE GAS COMPANY | Party B,100,The parties are clearly listed as 'BRANCH BANKING AND TRUST COMPANY' (Party A) and 'ROANOKE GAS COMPANY' (Party B).
072e2c5f957e5bce8aea0b2f6e82b01d.txt,ISDA,100,"The document is titled 'ISDA 2002 MASTER AGREEMENT' and references the International Swaps and Derivatives Association, Inc., which matches the ISDA contract type.",2022-06-13,100,"The agreement is stated to be 'dated as of June 13th, 2022' near the top of the document.",,100,There is no indication that this document is an amendment; it is an initial agreement.,INITIAL,100,The document is a '2002 MASTER AGREEMENT' with no indication of being amended or restated; it is the initial contract.,EXECUTED,90,"The agreement is dated and the language indicates the parties 'have entered and/or anticipate entering into' transactions, which typically means the agreement is executed, though the actual signatures are not shown in the excerpt.","SOCIETE GENERALE | Party A; Each entity listed on Appendix I to the Schedule hereto, severally and not jointly | Party B",95,"The parties are explicitly named as 'SOCIETE GENERALE (""Party A"")' and 'Each entity listed on Appendix I to the Schedule hereto... (""Party B"")'."
07723bbef4c15ad594583954bfe733e5.txt,ISDA (ISDA Master Agreement),100,"The document is titled 'ISDA International Swap Dealers Association, Inc. MASTER AGREEMENT' and references the ISDA Master Agreement and schedule.",2008-04-23,100,"The agreement is stated as 'dated as of April 23, 2008'.",,100,There is no indication that this document is an amendment; it is the initial master agreement.,INITIAL,100,"The document is the original ISDA Master Agreement, not an amendment or restated version.",EXECUTED,90,"The agreement is dated and presented as the operative contract, implying execution, though explicit signatures are not shown in the excerpt.","HSBC BANK USA, National Association; Nissan Auto Lease Trust 2008-A",100,Both parties are explicitly named in the agreement preamble.
07fa350f98f25961a33573aabd9da6d6.txt,ISDA,100,"The document is titled 'ISDA MASTER AGREEMENT' and references the International Swap Dealers Association, Inc., indicating it is an ISDA Master Agreement.",2005-02-22,100,"The agreement is dated as of February 22, 2005, as stated in the heading.",,100,There is no indication that this document is an amendment; it is an initial master agreement.,INITIAL,100,The document is a master agreement and there is no indication it is an amendment or restated version.,EXECUTED,95,"The document is labeled 'Execution copy', which typically indicates an executed agreement.","GREENWICH CAPITAL DERIVATIVES, INC. | Party A; NOVASTAR MORTGAGE SUPPLEMENTAL INTEREST TRUST, SERIES 2005-1, a New York common law trust | Party B",100,Both parties are clearly named in the agreement with their respective roles as Party A and Party B.
0a0acc69e9325b0e94a7611d0ce572d0.txt,SWAP (Currency Swap Agreement),90,The document is titled 'SWAP TRANSFER AND ASSIGNMENT AGREEMENT' and references a swap transaction and transfer of swap rights and obligations.,2012-04-12,95,"The agreement is stated as 'dated as of April 12, 2012' at the top of the document.",,100,There is no indication that this document is an amendment; it is a transfer and assignment agreement.,INITIAL (initial contract),85,"This is the original transfer and assignment agreement, not an amendment or restatement.",EXECUTED (Executed),80,"The agreement references the delivery of executed counterparts as a condition to effectiveness, indicating it is intended to be executed.","Merrill Lynch International | Transferee/Assignee; Merrill Lynch Capital Services, Inc. | Transferor/Assignor; PPLUS Trust Series GSC-2 | Counterparty",95,"The parties are explicitly named in the agreement: MLI (Merrill Lynch International), MLCS (Merrill Lynch Capital Services, Inc.), and PPLUS Trust Series GSC-2 as Counterparty."
0b4058ba0dcd589c94e0ef1969f2fe13.txt,ISDA,100,"The document is titled 'ISDA MASTER AGREEMENT' and refers to the International Swap Dealers Association, Inc. Master Agreement, which matches the ISDA contract type.",2012-11-15,100,"The agreement is stated to be 'dated as of November 15, 2012', which is the main contract date.",,100,There is no indication that this document is an amendment; it is the initial master agreement.,INITIAL,100,The document is the original ISDA Master Agreement and not an amendment or restated version.,EXECUTED,90,"The agreement is dated and appears to be a finalized contract, not a draft. While explicit signatures are not shown, the context and format indicate it is executed.",THE BANK OF NOVA SCOTIA; HALIFAX FUNDING LLC,95,Both 'THE BANK OF NOVA SCOTIA' and 'HALIFAX FUNDING LLC' are listed as parties to the agreement. Their specific roles are not explicitly stated in the provided text.
